EXTINCT DISCREET basic
WASTE FORGET basket
BASEBALL OVAL basketball
CELLO METICULOUS bass
SWATTER FREEZER bat
SUDS REFEREE bath
BEDROOM SWORD bathroom
SECLUDED TIGER beach
SUPPORT POETRY beam
STALK DRAWING bean
ANIMAL NERVE bear
SHAVE WEIGHTS beard
ANTELOPE PUT beast
OVERPOWER INTERVIEW beat
WATERFALL DIVISION beautiful
SOFA CLENCH bed
BATHROOM FLING bedroom
WASP DIRECTIONS bee
CORNBEEF WISDOM beef
CHAMPAGNE AMUSE beer
FORESIGHT DUSK before
STEAL PROCESS beg
START PROFESSIONAL begin
AMATEUR CRUST beginner
BIRTH IMPEDIMENT beginning
BACK UNSOLVED behind
EXISTENCE GEOMETRY being
CONCEPT PORK belief
DOUBT LEMON believe
RING SKI bell
DESCENT STAMP below
ASTEROID BENT belt
DENT VAN bend
PEAK FRAGILE best
GOOD VEER better
RELIGIOUS URGE bible
RIDE OLYMPICS bicycle
TREES INSTANT big
RACK RASPBERRY bike
GOAT STUMP billy
FUNGI BALLOT biology
EARLY BRAKE bird
SCRAP OBVIOUS bit
ROOMMATE TURNIP bitch
SCRATCH MAJORITY bite
SOOT ENOUGH black
RIDICULE GATHER blame
PILLOW VICTORY blanket
STARCH VICE bleach
PEROXIDE CERAMICS blonde
HOUND DAILY blood
NOSE ACID blow
ADJECTIVE ROOMMATE blue
FLUSH GRAMMAR blush
CORK TOP board
GRAVY SAND boat
ABDOMEN SAUCE body
NUCLEAR SQUARE bomb
BURY CONSTRUCT bone
CONTENT TENSE book
COWBOY FEATURE boots
BOTTLE TREES booze
EXCITED SOBER bored
SYMPHONY DESIGNER boring
SELL IDENTICAL borrow
CAPTAIN HURRY boss
OFFEND PERCEIVE bother
VIOLIN FLEA bow
SQUARE ARTIST box
CHAMPION MATTER boxer
CUDDLE IMPOSSIBLE boy
HANDSOME BADGE boyfriend
HUSKY SADDLE boys
ADJUSTMENT PUMP bra
ANKLE DARK bracelet
EINSTEIN HEM brain
PERCH CHALKBOARD branch
SOLDIER COMPLIMENT brave
COURAGE BEHAVIOR bravery
FLOUR CHINESE bread
MEND MASON break
EGG FAULT breakfast
OXYGEN HAY breathe
HOUSE HEADBAND brick
WEDDING BELONG bride
BRITANNICA MULE britain
VEGETABLES NOTEBOOK broccoli
RIBS NEPHEW broken
SIBLING DISBELIEF brother
BLUES METEOR brothers
BROOM ASCENT brush
SOAP PHONY bubble
TUB THINK bucket
HERD AROUND buffalo
RODENT MOWER bug
LUMBER INSANE build
CREATOR WATERFALL builder
COMPLEX WHAT building
