cue,target,fsg,bsg,msg,qcon,tcon,qfr,tfr,jcn,lsa
a,alphabet,0.066,0.046,0.002,NULL,NULL,9999,2,12.066656,0.172241
a,apple,0.013,0,0,NULL,7,9999,9,9.910312,0.283583
a,grade,0.059,0.277,0,NULL,3.7,9999,35,6.890896,0.237872
a,letter,0.039,0,0.003,NULL,5.16,9999,145,0.613748,0.174882
a,one,0.013,0,0,NULL,3.72,9999,3292,3.78547,0.94194
a,plus,0.033,0,0,NULL,2.18,9999,52,8.342649,0.349832
a,word,0.013,0,0,NULL,5.13,9999,274,6.36015,0.272445
aardvark,animal,0.322,0,0.021,NULL,5.65,0,68,8.804444,-0.012422
aardvark,ant,0.197,0,0.017,NULL,6,0,6,15.241811,-0.018456
aardvark,anteater,0.059,0.117,0.003,NULL,6.16,0,1,0,0.072975
aardvark,dictionary,0.013,0,0,NULL,6.29,0,57,21.913005,0.109493
aardvark,fur,0.013,0,0.007,NULL,6.69,0,13,22.868643,0.048143
aardvark,music,0.02,0,0,NULL,5.15,0,216,17.087299,-0.010793
aardvark,nose,0.02,0,0,NULL,6.26,0,60,21.867005,0.047534
aardvark,shell,0.013,0,0,NULL,5.93,0,22,19.89535,-0.015446
aardvark,zoo,0.013,0,0.007,NULL,5.79,0,9,23.712978,-0.041931
abdomen,belly,0.013,0,0.012,6.83,6.04,6,23,0,0.157081
abdomen,body,0.072,0,0.02,6.83,6.58,6,276,10.106829,0.379092
abdomen,cramp,0.013,0,0,6.83,NULL,6,2,21.869874,0.227784
abdomen,intestine,0.013,0,0.028,6.83,NULL,6,1,12.643823,0.286157
abdomen,muscle,0.046,0,0.007,6.83,6,6,42,10.711684,0.309572
abdomen,organ,0.02,0,0.012,6.83,5.81,6,26,7.894217,0.30421
abdomen,pain,0.02,0,0.023,6.83,4.22,6,88,18.8292,0.233988
abdomen,sex,0.013,0,0.001,6.83,5.33,6,84,17.249707,0.123531
abdomen,stomach,0.566,0.021,0.01,6.83,6.04,6,37,0,0.293251
abduct,capture,0.013,0,0,NULL,NULL,0,17,5.527855,-0.014275
abduct,kidnap,0.453,0.079,0.001,NULL,NULL,0,0,0,0.000352
abduct,open,0.013,0,0,NULL,3.72,0,319,18.048913,-0.000315
abduct,steal,0.067,0,0.071,NULL,3.59,0,5,18.756096,0.02477
abduct,take,0.18,0,0.166,NULL,3.2,0,611,4.412362,-0.014572
ability,athlete,0.014,0,0.001,2.03,NULL,74,9,11.550278,0.188712
ability,can,0.014,0,0.015,2.03,3.61,74,1772,11.772323,0.332574
ability,capability,0.119,0.282,0.006,2.03,2.42,74,14,1.417451,0.185486
ability,capacity,0.014,0.086,0.002,2.03,2.41,74,83,2.626864,0.499566
ability,competence,0.063,0.175,0,2.03,1.86,74,18,3.655265,0.471061
ability,do,0.021,0,0.003,2.03,2.72,74,1363,6.916203,0.25584
ability,inability,0.042,0.046,0,2.03,NULL,74,17,8.46081,0.334056
ability,knowledge,0.014,0,0.005,2.03,1.56,74,145,2.268479,0.424212
ability,mind,0.014,0,0,2.03,2.6,74,325,3.554115,0.199892
ability,potential,0.021,0.089,0.007,2.03,1.9,74,67,15.040082,0.335683
ability,power,0.035,0,0.005,2.03,3.32,74,342,0,0.158098
ability,skill,0.056,0.102,0.004,2.03,3.24,74,42,3.911001,0.594189
ability,sport,0.014,0,0.003,2.03,4.18,74,17,12.640467,0.091635
ability,strength,0.056,0.028,0.01,2.03,2.9,74,136,1.999468,0.292915
ability,talent,0.035,0.048,0.015,2.03,2.88,74,40,4.163232,0.433068
ability,work,0.014,0,0.002,2.03,3.88,74,760,7.077191,0.231786
absence,attendance,0.039,0.034,0,NULL,NULL,53,12,9.120343,0.171114
absence,class,0.026,0,0.005,NULL,5.03,53,207,12.652462,0.14167
absence,empty,0.013,0,0.002,NULL,3.65,53,64,19.693956,0.105706
absence,excuse,0.013,0,0,NULL,3.05,53,27,18.615734,0.223121
absence,good,0.145,0,0.001,NULL,2.53,53,807,14.42939,0.167381
absence,here,0.026,0,0.023,NULL,2.81,53,750,17.210223,0.128653
absence,illness,0.013,0,0.002,NULL,4.05,53,20,8.489469,0.355857
absence,mind,0.013,0,0,NULL,2.6,53,325,17.026783,0.249168
absence,presence,0.059,0.138,0.002,NULL,3.37,53,76,10.032807,0.497168
absence,present,0.099,0,0.003,NULL,3.37,53,377,14.391802,0.29916
absence,school,0.02,0,0.012,NULL,5.25,53,492,14.494014,0.117023
absence,sick,0.079,0,0.009,NULL,3.89,53,51,19.914765,0.183713
absence,void,0.013,0,0,NULL,NULL,53,10,15.229973,0.177644
absent,present,0.294,0.062,0.001,NULL,3.37,28,377,15.267176,0.216423
absent,school,0.042,0,0.001,NULL,5.25,28,492,17.283396,0.174831
absent,sick,0.056,0,0,NULL,3.89,28,51,18.732906,0.046554
abstract,art,0.233,0.013,0.029,NULL,4.36,34,208,9.79173,0.491558
abstract,black,0.014,0,0,NULL,4.66,34,203,14.416077,0.015365
abstract,complex,0.014,0,0,NULL,2.53,34,91,7.161323,0.291148
abstract,concrete,0.041,0.027,0,NULL,5.5,34,48,16.976488,0.371303
abstract,draw,0.014,0,0.017,NULL,4.32,34,56,8.534681,0.139883
abstract,geometry,0.014,0,0,NULL,3.33,34,9,11.246823,0.336937
abstract,idea,0.014,0,0.003,NULL,2.87,34,195,2.250899,0.205044
abstract,math,0.014,0,0.007,NULL,3.78,34,4,8.487235,0.113772
abstract,mind,0.021,0,0.004,NULL,2.6,34,325,5.717128,0.277693
abstract,painting,0.103,0,0,NULL,6.18,34,59,14.959982,0.431456
abstract,think,0.014,0,0.008,NULL,3.38,34,433,5.852471,0.086657
abstract,thought,0.021,0,0.009,NULL,1.28,34,442,2.250899,0.17161
abstract,weird,0.034,0,0.001,NULL,2.39,34,10,11.669701,0.026422
abstract,wild,0.021,0,0,NULL,3.72,34,56,15.986699,0.040345
abundance,famine,0.013,0,0,NULL,3.71,13,3,20.688514,0.202558
abundance,food,0.033,0,0.005,NULL,5.84,13,147,13.491089,0.123779
abundance,lack,0.026,0,0.001,NULL,3,13,110,17.516509,0.232382
abundance,large,0.013,0,0,NULL,3.14,13,361,9.749154,0.25282
abundance,little,0.013,0,0.038,NULL,3.48,13,831,14.812182,0.063146
abundance,lots,0.224,0,0.001,NULL,NULL,13,42,16.299919,0.028868
abundance,money,0.039,0,0.012,NULL,5.77,13,265,14.754268,0.055862
abundance,more,0.013,0,0.027,NULL,2.77,13,2216,16.488046,0.361403
abundance,much,0.033,0,0.018,NULL,2.38,13,937,14.60771,0.242804
abundance,people,0.013,0,0.004,NULL,5.51,13,847,13.416516,0.217697
abundance,plenty,0.125,0.077,0.009,NULL,2.88,13,55,1.225855,0.219302
abundance,scarcity,0.026,0.027,0,NULL,NULL,13,3,7.799521,0.207625
abundance,variety,0.013,0,0,NULL,NULL,13,85,11.641308,0.296267
abundance,water,0.013,0,0.001,NULL,6.27,13,442,15.449265,0.113121
abuse,alcohol,0.03,0.041,0.001,2.17,6.87,1,13,17.010853,0.42036
abuse,bad,0.025,0,0.006,2.17,3,1,142,14.901131,0.106994
abuse,beat,0.076,0.017,0.002,2.17,3.67,1,68,6.220259,0.024992
abuse,child,0.293,0,0.005,2.17,5.72,1,213,16.538767,0.284521
abuse,drug,0.045,0.061,0.003,2.17,5.54,1,24,15.345897,0.769855
abuse,fight,0.01,0,0.003,2.17,4.16,1,98,13.260489,0.050016
abuse,hit,0.091,0,0.019,2.17,4.39,1,115,13.395668,0.030209
abuse,hurt,0.141,0,0.028,2.17,3.66,1,37,14.557312,0.081926
abuse,mistreat,0.045,0.462,0,2.17,NULL,1,0,0,0.156901
abuse,neglect,0.066,0.193,0,2.17,NULL,1,8,2.814959,0.441642
abuse,pain,0.025,0,0.073,2.17,4.22,1,88,17.728296,0.305816
abuse,spouse,0.01,0,0,2.17,6.12,1,3,16.81407,0.139401
abuse,use,0.015,0.192,0.001,2.17,2.88,1,589,3.31286,0.189466
accelerate,fast,0.271,0,0.146,NULL,2.93,24,78,19.135094,0.286854
accelerate,gas,0.029,0,0.005,NULL,5.34,24,98,18.406715,0.009245
accelerate,go,0.014,0,0.009,NULL,3.33,24,626,9.307174,0.041617
accelerate,increase,0.029,0.014,0,NULL,NULL,24,195,4.068034,0.157182
accelerate,pedal,0.014,0,0,NULL,5.95,24,4,19.209712,0.426452
accelerate,race,0.014,0,0.007,NULL,4.46,24,103,16.262278,0.11477
accelerate,slow,0.014,0,0.186,NULL,2.89,24,60,18.087108,0.333
accelerate,speed,0.386,0.02,0.023,NULL,3.56,24,83,0,0.567961
accelerate,stop,0.014,0,0.008,NULL,2.93,24,120,15.917484,0.14662
accept,acknowledge,0.02,0.069,0,NULL,2.86,72,12,1.236149,0.236026
accept,agree,0.074,0,0.001,NULL,NULL,72,51,2.337759,0.502574
accept,allow,0.034,0,0.003,NULL,2.64,72,72,3.890808,0.308939
accept,believe,0.027,0.067,0,NULL,1.85,72,200,0.645457,0.390222
accept,deny,0.094,0.048,0.007,NULL,2.63,72,47,7.877179,0.32329
accept,gift,0.013,0,0.001,NULL,5.28,72,33,10.952783,0.17552
accept,give,0.013,0,0.075,NULL,3.18,72,291,0.509634,0.330794
accept,like,0.013,0,0,NULL,2.82,72,1290,5.070583,0.23489
accept,receive,0.013,0,0.01,NULL,2.98,72,76,2.676652,0.201879
accept,reject,0.107,0.169,0.004,NULL,2.82,72,10,4.813964,0.559508
accept,take,0.168,0,0.009,NULL,3.2,72,611,0,0.248665
accept,understand,0.047,0,0.002,NULL,2.33,72,137,2.668702,0.278368
accept,want,0.013,0,0,NULL,2.95,72,329,9.239241,0.240513
accident,ambulance,0.014,0.116,0,4.26,7,33,6,22.130748,0.483979
accident,bad,0.027,0,0.002,4.26,3,33,142,18.070439,0.2008
accident,car,0.358,0,0.056,4.26,6.35,33,274,17.537399,0.204491
accident,crash,0.128,0.132,0.007,4.26,4.28,33,20,1.471538,0.312027
accident,danger,0.014,0.027,0,4.26,3.68,33,70,18.219914,0.336695
accident,fall,0.014,0,0.002,4.26,3.86,33,147,2.35981,0.197552
accident,hurt,0.02,0,0.028,4.26,3.66,33,37,10.964912,0.370357
accident,injury,0.034,0.042,0.001,4.26,5.51,33,27,1.359422,0.694818
accident,mistake,0.074,0.029,0,4.26,2.7,33,34,17.821817,0.169252
accident,pain,0.02,0,0.02,4.26,4.22,33,88,18.312335,0.234207
accident,problem,0.014,0,0.002,4.26,3.64,33,313,17.538629,0.075665
accident,purpose,0.02,0,0,4.26,2.4,33,149,16.128772,0.078734
accident,tragedy,0.014,0.077,0,4.26,2.59,33,49,3.304267,0.115476
accident,victim,0.02,0,0,4.26,5.49,33,27,18.485313,0.435201
accident,wreck,0.054,0.257,0.006,4.26,4.88,33,8,1.471538,0.107759
accomplish,achieve,0.122,0.076,0.016,2.78,NULL,24,51,0,0.579881
accomplish,complete,0.054,0,0.037,2.78,2.4,24,181,0.115594,0.218251
accomplish,do,0.143,0.039,0.005,2.78,2.72,24,1363,0.17204,0.339207
accomplish,finish,0.34,0,0.024,2.78,2.78,24,39,0.115594,0.135325
accomplish,succeed,0.075,0.028,0.005,2.78,3,24,15,0.668787,0.41646
accomplish,win,0.027,0,0.025,2.78,2.88,24,55,0.668787,0.112516
account,balance,0.014,0,0.003,3.63,NULL,117,32,2.711239,0.649281
account,bank,0.277,0.035,0.01,3.63,5.69,117,83,12.26407,0.279691
account,book,0.021,0,0,3.63,6.09,117,193,4.946993,0.048123
account,charge,0.021,0.064,0,3.63,3.5,117,122,0.470074,0.207868
account,checkbook,0.021,0.041,0.001,3.63,NULL,117,5,14.838997,0.361203
account,list,0.021,0,0,3.63,4.93,117,133,4.136915,0.111084
account,log,0.014,0,0,3.63,6.86,117,11,5.470789,0.02174
account,money,0.312,0,0.236,3.63,5.77,117,265,10.266203,0.143631
account,number,0.092,0,0,3.63,3.76,117,472,3.429626,0.146155
account,store,0.014,0,0,3.63,5.44,117,74,14.964683,0.09234
accumulate,acquire,0.026,0.041,0.001,NULL,NULL,3,27,10.579212,0.084293
accumulate,add,0.053,0,0.002,NULL,2.95,3,88,15.466947,0.143911
accumulate,build,0.04,0,0,NULL,3.93,3,86,7.36632,0.129281
accumulate,collect,0.159,0,0.069,NULL,NULL,3,16,0,0.162555
accumulate,gain,0.04,0,0.002,NULL,3.21,3,74,7.996354,0.135879
accumulate,gather,0.205,0,0.045,NULL,NULL,3,20,0,0.063363
accumulate,grow,0.02,0,0.001,NULL,4.05,3,63,4.606469,0.054465
accumulate,paper,0.013,0,0.001,NULL,5.96,3,157,17.392817,0.044496
accumulate,pile,0.066,0,0,NULL,5,3,25,17.534631,0.118919
accumulate,save,0.02,0,0.005,NULL,3.07,3,62,3.41961,0.211456
accumulate,store,0.02,0,0,NULL,5.44,3,74,0.264417,0.056968
accuse,blame,0.159,0.185,0.002,NULL,2.15,10,34,2.242479,0.155264
accuse,charge,0.015,0,0.001,NULL,3.5,10,122,0,0.003823
accuse,claim,0.015,0,0,NULL,NULL,10,98,15.37279,0.241996
accuse,court,0.03,0,0.024,NULL,5.05,10,230,16.675282,0.333672
accuse,defend,0.023,0,0.004,NULL,3.4,10,21,14.51442,0.078369
accuse,deny,0.023,0,0,NULL,2.63,10,47,15.783326,0.142827
accuse,judge,0.023,0,0.013,NULL,6.25,10,77,12.089559,0.404007
accuse,lie,0.023,0,0.007,NULL,4.04,10,59,14.089865,0.081024
accuse,point,0.03,0,0.008,NULL,4.54,10,395,15.063644,0.068725
accuse,police,0.015,0,0,NULL,6.69,10,155,17.405834,0.17297
accuse,prosecute,0.038,0.013,0,NULL,NULL,10,2,16.680289,0.228648
accuse,tell,0.023,0,0,NULL,3.02,10,268,12.602712,0.074819
accuse,yell,0.023,0,0,NULL,4.29,10,9,15.847861,0.110173
ace,bandage,0.131,0.026,0,3.78,6.35,15,4,15.724259,0.042491
ace,cards,0.303,0,0.062,3.78,5.61,15,26,13.624349,0.035179
ace,expert,0.021,0,0,3.78,3.87,15,30,3.096761,0.124149
ace,hole,0.062,0,0,3.78,4.81,15,58,11.077264,0.01567
ace,jack,0.014,0,0,3.78,5.2,15,92,5.629141,0.108804
ace,king,0.021,0,0,3.78,5.54,15,88,5.873094,0.086743
ace,one,0.014,0,0,3.78,3.72,15,3292,0,0.167254
ace,poker,0.028,0,0.044,3.78,4.92,15,6,15.696123,0.162376
ace,smart,0.014,0,0.002,3.78,3,15,21,17.110396,0.131811
ace,tennis,0.021,0,0,3.78,5.54,15,15,16.952313,0.179833
ace,top,0.021,0,0,3.78,4.31,15,204,10.025163,0.00474
ace,winner,0.014,0,0,3.78,4.08,15,8,13.51041,0.120006
ache,back,0.042,0.034,0.016,4.33,4.89,4,967,14.089865,0.351636
ache,belly,0.014,0.069,0,4.33,6.04,4,23,18.522978,0.316476
ache,head,0.188,0.082,0.007,4.33,5.98,4,424,13.293806,0.250276
ache,hurt,0.153,0,0.285,4.33,3.66,4,37,0,0.396626
ache,pain,0.507,0.013,0.082,4.33,4.22,4,88,2.739546,0.295702
ache,sore,0.021,0.056,0.002,4.33,4.77,4,10,22.912132,0.334042
ache,tooth,0.014,0.123,0,4.33,6.15,4,20,21.235029,0.10147
achieve,accomplish,0.076,0.122,0.004,NULL,2.78,51,24,0,0.579881
achieve,conquer,0.015,0,0.001,NULL,NULL,51,4,13.69394,0.05865
achieve,do,0.038,0.011,0.011,NULL,2.72,51,1363,10.953142,0.229442
achieve,earn,0.015,0,0,NULL,3.45,51,16,12.740639,0.1547
achieve,fail,0.038,0,0.006,NULL,3.23,51,37,13.44574,0.371831
achieve,finish,0.023,0,0.026,NULL,2.78,51,39,12.505002,0.08766
achieve,gain,0.053,0.016,0.001,NULL,3.21,51,74,11.366995,0.330115
achieve,get,0.045,0,0.007,NULL,2.86,51,750,10.200855,0.098645
achieve,grade,0.023,0,0.001,NULL,3.7,51,35,13.311148,0.111361
achieve,reach,0.015,0.014,0.003,NULL,3.55,51,106,0,0.267281
achieve,receive,0.015,0,0.005,NULL,2.98,51,76,10.819466,0.184714
achieve,strive,0.03,0.139,0,NULL,NULL,51,7,14.522641,0.47452
achieve,succeed,0.038,0.017,0.008,NULL,3,51,15,0.668787,0.41737
achieve,win,0.076,0,0.024,NULL,2.88,51,55,0.668787,0.103144
