"Prime","TargetWord","index","PLength","PSubFreq","PLogSubFreq","PLogHAL","POrthoN","PFreqGreater","PBGSum","PBGMean","PPOS","PELP.NT.RT","PELP.NT.Z","PELP.NT.Acc","Relation1","Relation2","FAS","BAS","CueFanOut","LSA","NT.200ms.RT","NT.200ms.Z","NT.200ms.Acc","NT.1200ms.RT","NT.1200ms.Z","NT.1200ms.Acc","NT.200ms.RT.Priming","NT.200ms.Z.Priming","NT.200ms.Acc.Priming","NT.1200ms.RT.Priming","NT.1200ms.Z.Priming","NT.1200ms.Acc.Priming","TLength","TSubFreq","TLogSubFreq","TLogHAL","TOrthoN","TFreqGreater","TBGSum","TBGMean","TPOS","TELP_LDT_RT","TELP_LDT_Z","TELP_LDT_Acc","TargetFanIn","first","second","root","raw","affix","old","jcn.x","lsa.x","fsg.x","bsg.x","word_1","word_2","distance","CUE","TARGET","FSG","BSG","MSG","OSG","QSS","QFR","QCON","QPS","TSS","TFR","TCON","TPS","cue","target","fsg.y","bsg.y","msg","qcon","tcon","qfr","tfr","jcn.y","lsa.y","X.x","TCosine_Set","Traw_feat_set","Troot_feat_set","X.y","PCosine_Set","Praw_feat_set","Proot_feat_set"
"bacteria","fungus","bacteria.fungus",8,3.04,2.19,8.44,0,NA,17931,2561.57,"NN",608.61,-0.48,1,"supraordinate","",0.141,0.042,19,0.64,610.666666666667,0.0126496232499783,0.925925925925926,558.1,0.143302192924452,1,-33.9743589743589,0.0620992817742297,-0.0740740740740741,-11.2794871794872,-0.0921525390346408,0.0256410256410257,6,2.2,2.05,6.79,0,NA,8029,1605.8,"NN|JJ",708.59,-0.31,0.9,7,NA,NA,0,0,0,NA,NA,NA,NA,NA,"fungus","bacteria",0.478846,"bacteria","fungus",0.141,"4.2000000000000003E-2","2E-3","9.4999999999999998E-3",19,8,"6.38","N","16","2","6.1","N","bacteria","fungus",0.141,0.042,0.002,"6.38","6.1",8,2,15.064779,0.51171,1668,209,30,13,254,8,11,5
"baggage","luggage","baggage.luggage",7,6.24,2.5,7.54,0,NA,4409,734.83,"NN",674.46,-0.27,0.96,"synonym","",0.401,0.137,10,0.48,573.071428571429,-0.145666946313185,0.964285714285714,532,0.101647383962983,1,16.4047619047619,0.570281417037175,-0.0357142857142857,20.9130434782609,0.179051927520045,0.0434782608695652,7,11.12,2.75,7.41,0,NA,3746,624.33,"NN",733.61,-0.42,0.97,7,"baggage","luggage",0.379566986677985,0.300866088857647,0.119758945457785,"NULL","0","0.377409","0.401","0.137","luggage","baggage",0.270025,"baggage","luggage",0.401,"0.13700000000000001","7.0000000000000001E-3","3.1899999999999998E-2",10,4,"NULL","N","15","10","NULL","N","baggage","luggage",0.401,0.137,0.007,"NULL","NULL",4,10,0,0.377409,2360,63,35,14,259,8,8,6
"balcony","ledge","balcony.ledge",7,7.31,2.57,6.99,0,NA,11157,1859.5,"NN",597.24,-0.49,1,"unclassified","",0.093,0.034,18,0.23,568.724137931035,0.0580410571294007,1,535.225806451613,0.203670799686849,0.967741935483871,14.5258620689655,0.0872420941640205,0.0357142857142857,-25.9227761485826,-0.317124719441557,-0.032258064516129,5,3.51,2.26,7.36,3,2,9250,2312.5,"NN",614,-0.52,0.91,5,"balcony","ledge",0.250995933598609,0.249567241914941,0,"NULL","19.760112","0.164017","0.093","0.034","ledge","balcony",0.593432,"balcony","ledge",0.093,"3.4000000000000002E-2","0","1.6999999999999999E-3",18,5,"NULL","N","14","6","4.93","N","balcony","ledge",0.093,0.034,0,"NULL","4.93",5,6,19.760112,0.164017,2260,23,12,7,265,34,9,6
"ball","bat","ball.bat",4,104.96,3.73,10.56,19,4,5458,1819.33,"NN",570.44,-0.68,1,"instrument","",0.19,0.252,17,0.84,540.114285714286,-0.0270021664005678,1,533.78125,-0.22545931913234,1,-63.7025210084034,-0.300631000178978,0,-24.34375,-0.00331871868550171,0.03125,3,20.63,3.02,8.77,19,15,4958,2479,"NN|VB",583.71,-0.63,1,12,NA,NA,0,0,0,NA,NA,NA,NA,NA,"bat","ball",0.624451,"ball","bat",0.19,"0.252","2.1000000000000001E-2","3.5999999999999999E-3",17,110,"6.08","N","17","18","5.6","N","ball","bat",0.19,0.252,0.021,"6.08","5.6",110,18,9.405922,0.781171,299,67,11,5,266,80,9,9
"ballet","dance","ballet.dance",6,10.25,2.72,7.42,6,3,10228,2045.6,"NN",697.31,-0.14,0.96,"supraordinate","",0.428,0.081,17,0.81,535.820512820513,-0.280733044461546,1,537,-0.295482876873444,1,-32.7490842490843,-0.0138989853735747,0,37.7307692307693,0.460617100446845,0,5,148.04,3.88,10.17,3,0,7047,1761.75,"NN|VB",530.32,-0.9,0.97,62,NA,NA,0,0,0,NA,NA,NA,NA,NA,"dance","ballet",0.471122,"ballet","dance",0.428,"8.1000000000000003E-2","8.0000000000000002E-3","4.3E-3",17,45,"5.23","N","19","90","4.9800000000000004","V","ballet","dance",0.428,0.081,0.008,"5.23","4.98",45,90,2.171647,0.792216,1062,67,9,5,267,2,11,5
"ban","deodorant","ban.deodorant",3,3.14,2.21,9.37,17,12,4260,2130,"NN|VB",565.43,-0.79,1,"supraordinate","",0.182,0,19,0.08,647.04,0.750572586110215,1,639.2,0.799230746105142,1,-23.32125,-0.0908292973629141,0.03125,11.4749999999999,0.441791497114917,0,9,1.61,1.92,5.18,0,NA,16331,2041.38,"NN",718.91,-0.2,1,10,NA,NA,0,0,0,NA,NA,NA,NA,NA,"deodorant","ban",0.88948,"ban","deodorant",0.182,"0","0","0",19,7,"NULL","V","17","2","6.19","N","ban","deodorant",0.182,0,0,"NULL","6.19",7,2,24.86078,0.084696,1120,49,15,6,270,2,14,5
"banana","fruit","banana.fruit",6,10.73,2.74,7.97,0,NA,10597,2119.4,"NN",642.89,-0.58,1,"supraordinate","",0.215,0.065,13,0.53,548.694444444444,0.065555625837814,1,657.791666666667,0.673644540918279,1,21.8655555555555,0.117147272459155,0,-60.5059523809523,-0.503057759792726,0,5,21.73,3.04,9.28,0,NA,3655,913.75,"NN",583.55,-0.73,0.97,53,"fruit","banana",0.144720768366971,0.131027381007109,0.326162568078865,"0.188498795","5.491428","0.449439","0.065","0.215","fruit","banana",0.526642,"banana","fruit",0.215,"6.5000000000000002E-2","3.9E-2","4.1700000000000001E-2",13,4,"6.29","N","17","35","6","N","banana","fruit",0.215,0.065,0.039,"6.29","6",4,35,5.491428,0.449439,1655,35,9,5,271,304,36,31
"bandaid","cut","bandaid.cut",7,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"instrument","",0.371,0,14,NA,507.35,-0.369800388708762,0.95,508.631578947368,-0.335267058857467,1,7.22142857142853,0.21536764721211,0.0214285714285714,25.9684210526316,0.221988578771018,0.05,3,229.76,4.07,11.5,13,3,1599,799.5,"VB|NN",632.66,-0.65,1,83,NA,NA,0,0,0,NA,NA,NA,NA,NA,"cut","bandaid",0.786758,"bandaid","cut",0.371,"0","5.2999999999999999E-2","4.8999999999999998E-3",14,0,"NULL","N","21","192","4.1500000000000004","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1049,258,26,26,273,9,9,5
"banjo","guitar","banjo.guitar",5,1.63,1.92,6.93,0,NA,4456,1114,"NN",659.22,-0.27,1,"category","",0.384,0.034,14,0.38,535.714285714286,0.00913891860835982,1,568.153846153846,0.0722432616392235,1,6.83571428571429,0.225760722455165,0,-53.3977485928706,-0.132151476146215,0,6,15.59,2.9,10.12,0,NA,7832,1566.4,"NN",642.66,-0.51,1,17,"banjo","guitar",0.864747203470789,0.842291184024038,0.945291218106472,"0.876614205","6.400533","0.323459","0.384","0.034","guitar","banjo",0.429623,"banjo","guitar",0.384,"3.4000000000000002E-2","2.1000000000000001E-2","3.8399999999999997E-2",14,2,"6.33","N","16","19","6.73","N","banjo","guitar",0.384,0.034,0.021,"6.33","6.73",2,19,6.400533,0.323459,1818,33,14,13,276,52,12,10
"bargain","sale","bargain.sale",7,12,2.79,8.25,0,NA,12476,2079.33,"NN|VB",625.89,-0.54,1,"synonym","",0.317,0.131,16,0.36,532.71875,-0.21665475105603,1,547.875,-0.152793356469483,1,-41.4110576923077,-0.0572915380232851,0,-19.2083333333334,0.0322393670870714,0.0370370370370371,4,25.39,3.11,11.47,19,1,7216,2405.33,"NN",597.61,-0.66,1,25,"bargain","sale",0.625552148536983,0.577207240064814,0.408370202542101,"0.700425334","5.448136","0.322032","0.317","0.131","bargain","sale",0.629111,"bargain","sale",0.317,"0.13100000000000001","3.0000000000000001E-3","1.32E-2",16,7,"2.71","N","17","44","3.6","N","bargain","sale",0.317,0.131,0.003,"2.71","3.6",7,44,5.448136,0.322032,3343,33,16,7,284,41,27,11
"basement","attic","basement.attic",8,21.06,3.03,8.45,2,0,13846,1978,"NN",592.21,-0.64,1,"antonym","category",0.143,0.205,19,0.55,521.75,-0.337549606738678,1,478.958333333333,-0.224441426474414,0.958333333333333,41.0214285714286,0.616732569590319,0.142857142857143,97.0816666666666,0.432248158400863,-0.0416666666666666,5,7.84,2.6,7.24,1,0,11922,2980.5,"NN",716.19,-0.27,0.94,6,"attic","basement",0.441168227308229,0.434593403827882,0.798767370101933,"0.471944427","5.974537","0.46136","0.205","0.143","attic","basement",0.439048,"basement","attic",0.143,"0.20499999999999999","3.0000000000000001E-3","1.3299999999999999E-2",19,31,"6.83","N","21","16","NULL","N","basement","attic",0.143,0.205,0.003,"6.83","NULL",31,16,5.974537,0.46136,220,89,19,13,293,57,18,18
"bashful","shy","bashful.shy",7,1.24,1.81,5.36,0,NA,4991,831.83,"JJ",596.25,-0.51,1,"synonym","",0.73,0.076,4,0.32,493.269230769231,-0.38641226992389,1,470.861111111111,-0.565000920488826,0.972222222222222,-10.9615384615385,-0.095435785295403,0.0384615384615384,12.0674603174604,0.056098219600148,0.0436507936507936,3,18.37,2.97,8.32,9,6,1544,772,"JJ|NN|VB",628.7,-0.59,1,33,NA,NA,0,0,0,NA,NA,NA,NA,NA,"shy","bashful",0.531924,"bashful","shy",0.73,"7.5999999999999998E-2","1E-3","0",4,2,"NULL","AJ","16","13","NULL","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3514,1,8,5,294,4,6,5
"basket","weave","basket.weave",6,13.18,2.83,7.94,4,0,4707,941.4,"NN",584.07,-0.63,1,"fpa","",0.21,0.065,19,0.18,519.625,0.142766011886624,1,554,0.153056889118291,1,38.6527777777778,0.119407285537889,0,30.4285714285714,0.229076242713618,0,5,2.06,2.03,7.03,3,2,4583,1145.75,"VB|NN",599.57,-0.64,0.91,4,NA,NA,0,0,0,NA,NA,NA,NA,NA,"weave","basket",0.758124,"basket","weave",0.21,"6.5000000000000002E-2","0","0",19,17,"5.93","N","18","4","4.45","V","basket","weave",0.21,0.065,0,"5.93","4.45",17,4,15.94464,0.140176,4314,10,9,5,296,94,10,10
"bathtub","shower","bathtub.shower",7,6.1,2.49,6.9,0,NA,7733,1288.83,"NN",604.96,-0.53,1,"category","",0.24,0,14,0.35,491.814814814815,-0.42598522750393,1,503.846153846154,-0.585370092004683,1,27.1451851851852,0.200821973359675,0,-10.0769230769231,0.222718264843076,0.0256410256410257,6,41.12,3.32,8.84,2,2,9821,1964.2,"NN|VB",653.45,-0.6,0.97,19,"shower","bathtub",0.393147991718014,0.361550402857364,0.219631995397234,"0.551364851","NULL","NULL","NULL","NULL","shower","bathtub",0.47306,"bathtub","shower",0.24,"0","1.2E-2","4.1399999999999999E-2",14,4,"NULL","N","17","15","5.88","N","bathtub","shower",0.24,0,0.012,"NULL","5.88",4,15,17.598198,0.306214,3508,73,27,10,304,121,17,16
"bay","water","bay.water",3,24.24,3.09,10.4,19,8,1200,600,"NN|VB",557.67,-0.74,1,"script","",0.349,0,15,0.17,512.793103448276,-0.0521196032881004,1,517.470588235294,-0.311131289897931,1,14.5957854406131,-0.120731069395425,0,-18.8936651583711,-0.13285012872926,0,5,225.06,4.06,11.57,6,1,15402,3850.5,"NN|VB",564.88,-0.84,1,276,NA,NA,0,0,0,NA,NA,NA,NA,NA,"water","bay",0.861341,"bay","water",0.349,"0","3.1E-2","2.3E-3",15,57,"NULL","N","18","442","6.27","N","bay","water",0.349,0,0.031,"NULL","6.27",57,442,4.331404,0.140069,4305,36,15,9,308,116,8,6
"be","am","be.am",2,5746.76,5.47,14.95,5,0,858,858,"VB",626.84,-0.57,1,"unclassifed","",0.099,NA,29,0.3,585.214285714286,0.18191309362838,0.952380952380952,552.111111111111,0.137103807448136,1,-41.2698412698412,-0.208471628091992,-0.0476190476190477,39.1146953405018,0.432899056937272,0.0967741935483871,2,1106.63,4.75,13.21,7,3,945,945,"VB",747.31,-0.17,0.91,4,NA,NA,0,0,0,NA,NA,NA,NA,NA,"am","be",0.423686,"be","am",0.099,"NULL","NULL","NULL",29,6377,"2.21","V","NULL","NULL","NULL","NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,6,5,5,311,6,8,5
"bead","necklace","bead.necklace",4,1.12,1.76,7.51,13,10,3724,1241.33,"NN|VB",758.52,0.01,0.91,"supraordinate","",0.384,0.021,20,0.06,514.555555555556,-0.106349081594505,1,527.1,0.0306259082688438,1,6,-0.067637922964809,0,25.4882352941177,0.175963969772779,0,8,9.75,2.7,7.05,0,NA,9771,1395.86,"NN",731.13,-0.36,0.88,12,NA,NA,0,0,0,NA,NA,NA,NA,NA,"necklace","bead",0.596839,"bead","necklace",0.384,"2.1000000000000001E-2","1.2E-2","1.2999999999999999E-2",20,1,"5.61","N","12","3","6.12","N","bead","necklace",0.384,0.021,0.012,"5.61","6.12",1,3,5.702847,0.044575,2613,54,26,22,313,47,10,6
"bean","green","bean.green",4,6.84,2.54,8.18,14,8,6156,2052,"NN",638,-0.48,1,"bpa","",0.149,0.014,19,0.18,561.210526315789,0.217147558525408,0.973684210526316,502,-0.268721231209366,1,-66.1720647773279,-0.38521291063077,-0.0263157894736842,-17.6296296296296,-0.0671582243585011,0,5,72.47,3.57,11.42,4,0,9976,2494,"JJ|NN|VB",623.47,-0.66,1,126,"green","bean",0.0718885939856528,0.010508324988269,0,"0.0796073","3.744182","0.175223","0.014","0.149","green","bean",0.776191,"bean","green",0.149,"1.4E-2","8.0000000000000002E-3","8.9999999999999998E-4",19,5,"6","N","17","116","5.46","N","bean","green",0.149,0.014,0.008,"6","5.46",5,116,3.744182,0.175223,1790,80,21,12,316,374,35,32
"beans","rice","beans.rice",5,14.43,2.87,8.49,8,3,8012,2003,"NN",641.16,-0.44,1,"category","fpa",0.153,0.041,21,0.63,538.214285714286,-0.635485412245712,1,505.96875,-0.271438962229517,1,-4.193009118541,0.643421956827425,0,40.4026785714286,0.346418374212764,0,4,15.08,2.89,9.71,15,5,6798,2266,"NN",577.85,-0.64,1,11,"beans","rice",0.390907201437116,0.305458489821717,0.803318224980827,"0.30545849","NULL","NULL","0.153","0.041","rice","beans",0.631188,"beans","rice",0.153,"4.1000000000000002E-2","0","7.1000000000000004E-3",21,9,"6","N","19","33","6.04","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3257,91,12,11,317,169,18,17
"beard","mustache","beard.mustache",5,12.61,2.81,8.06,3,3,6266,1566.5,"NN",670.85,-0.43,0.93,"category","",0.31,0.446,13,0.61,701.761904761905,0.759465329656349,1,557.8,0.20543040933448,1,-60.7619047619048,-0.490711195889586,0,16.4631578947369,0.393978923399603,0.105263157894737,8,4.94,2.4,6.19,0,NA,11996,1713.71,"NN",691.61,-0.2,0.97,3,"beard","mustache",0.858101485022386,0.843334957017526,0.521052849840732,"0.837927099","6.267588","0.49925","0.31","0.446","beard","mustache",0.394145,"beard","mustache",0.31,"0.44600000000000001","2E-3","4.2900000000000001E-2",13,26,"5.68","N","9","1","5.77","N","beard","mustache",0.31,0.446,0.002,"5.68","5.77",26,1,6.267588,0.49925,2585,17,12,5,319,53,15,5
"beast","animal","beast.animal",5,24.55,3.1,9.7,6,2,7690,1922.5,"NN",624.33,-0.45,1,"unclassifed","",0.4,0.011,15,0.35,508.214285714286,-0.278104377681077,1,498.096774193548,-0.275401257133643,1,102.160714285714,0.421580645575026,0,22.1446051167965,0.184493862697115,0.0344827586206896,6,45.49,3.37,10.12,0,NA,10631,2126.2,"NN",619.88,-0.54,1,156,NA,NA,0,0,0,NA,NA,NA,NA,NA,"animal","beast",0.54554,"beast","animal",0.4,"1.0999999999999999E-2","1.2E-2","1.6999999999999999E-3",15,7,"6.51","N","28","68","5.65","N","beast","animal",0.4,0.011,0.012,"6.51","5.65",7,68,0,0.321388,123,88,22,10,320,73,9,6
"beautiful","pretty","beautiful.pretty",9,279.73,4.15,10.35,0,NA,10807,1350.88,"JJ",613.14,-0.53,1,"synonym","",0.389,0.095,8,0.41,567.709677419355,0.127533430506561,1,509.3,0.035392089051381,1,-19.0596774193549,0.190224744890612,0.05,50.6629629629629,0.139233376748745,0.0370370370370371,6,392.22,4.3,11.78,0,NA,8614,1722.8,"RB|JJ",613.88,-0.65,0.97,71,"beautiful","pretty",0.111520393526322,0.117799253546834,0,"0.237547366","NULL","NULL","0.389","0.095","pretty","beautiful",0.473681,"beautiful","pretty",0.389,"9.5000000000000001E-2","7.4999999999999997E-2","0.1169",8,127,"3.89","AJ","11","107","2.9","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3044,20,10,7,323,11,7,6
"beauty","beast","beauty.beast",6,48.24,3.39,9.45,0,NA,4785,957,"NN",580.96,-0.49,1,"antonym","",0.233,0.079,17,0.31,563.421052631579,0.115395566291997,0.947368421052632,567.290322580645,0.346744296062308,1,47.320882852292,0.707975091990114,0.0764006791171477,-3.507713884993,0.0911089267320641,0.0434782608695652,5,24.55,3.1,9.7,6,2,7690,1922.5,"NN",622.21,-0.64,0.97,6,NA,NA,0,0,0,NA,NA,NA,NA,NA,"beast","beauty",0.599062,"beauty","beast",0.233,"7.9000000000000001E-2","0","2.2000000000000001E-3",17,71,"3.31","N","15","7","6.51","N","beauty","beast",0.233,0.079,0,"3.31","6.51",71,7,10.12966,0.278135,320,73,9,6,324,12,8,5
"beaver","dam","beaver.dam",6,4.82,2.39,7.45,5,1,11119,2223.8,"NN|VB",661.26,-0.33,1,"fpa","",0.271,0.154,16,0.21,582.666666666667,0.109270499170754,1,520.607142857143,-0.327351125905454,1,-44.9166666666666,0.20599309779118,0.0625,-27.3293650793651,0.161789190769573,0,3,5.75,2.47,8.12,13,10,1479,739.5,"NN|VB",704.67,-0.19,0.91,3,NA,NA,0,0,0,NA,NA,NA,NA,NA,"dam","beaver",0.759444,"beaver","dam",0.271,"0.154","0","1.46E-2",16,2,"6.5","N","11","5","NULL","N","beaver","dam",0.271,0.154,0,"6.5","NULL",2,5,15.124017,0.211282,1058,9,11,5,325,239,21,21
"because","why","because.why",7,1071.02,4.74,13.13,0,NA,7930,1321.67,"minor",626,-0.38,1,"unclassifed","",0.466,0.455,12,0.55,476.84,-0.529877077526412,1,572.84,0.257954118583865,1,20.3028571428572,-0.027124566986248,0,-88.604705882353,-0.58284730296909,0,3,2248.76,5.06,12.8,5,2,481,240.5,"minor",561.65,-0.82,0.91,14,"because","why",0.212142707890821,0.159492967034013,0.468725478834835,"NULL","NULL","NULL","0.466","0.455","why","because",0.226682,"because","why",0.466,"0.45500000000000002","0.02","0",12,883,"1.92","C","6","404","2.63","AD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4348,4,14,5,326,7,11,5
"bee","sting","bee.sting",3,10.35,2.72,8.1,11,7,1728,864,"NN",601.54,-0.47,1,"fpa","",0.362,0.603,7,0.62,540.647058823529,-0.114302089346514,1,522.473684210526,0.0599789304892314,1,67.4719887955182,0.572742851424193,0.0238095238095238,24.904694167852,-0.101937560107881,0.0540540540540541,5,7.02,2.56,7.98,6,1,19156,4789,"NN|VB",597.09,-0.54,1,8,NA,NA,0,0,0,NA,NA,NA,NA,NA,"sting","bee",0.57841,"bee","sting",0.362,"0.60299999999999998","6.0000000000000001E-3","4.0000000000000002E-4",7,11,"5.93","N","9","5","4.5199999999999996","V","bee","sting",0.362,0.603,0.006,"5.93","4.52",11,5,22.056067,0.562918,3765,16,12,5,331,80,26,13
"beef","cow","beef.cow",4,19.71,3,8.57,6,2,2175,725,"NN|VB",605.52,-0.68,1,"unclassified","",0.291,0,10,0.38,490.096774193548,-0.519459371594032,1,492.407407407407,-0.455885204629181,1,20.3380084151472,0.453032538007253,0,42.0783068783069,0.3461678603229,0.0571428571428572,3,25.51,3.11,8.89,18,9,3159,1579.5,"NN|VB",580.72,-0.75,0.94,49,NA,NA,0,0,0,NA,NA,NA,NA,NA,"cow","beef",0.622503,"beef","cow",0.291,"0","4.4999999999999998E-2","0",10,32,"6.23","N","10","29","6.12","N","beef","cow",0.291,0,0.045,"6.23","6.12",32,29,3.663098,0.268775,961,263,47,43,332,31,7,5
"before","after","before.after",6,794.14,4.61,12.75,0,NA,9191,1838.2,"minor|RB|NN",665.57,-0.37,1,"antonym","",0.859,0.571,4,0.81,496.685714285714,-0.453862532653536,0.971428571428571,497.192307692308,-0.311927229774102,1,NA,NA,NA,-82.6208791208791,-0.161648594445698,0.0714285714285714,5,682.59,4.54,12.93,2,0,10949,2737.25,"minor",658.06,-0.58,1,13,NA,NA,0,0,0,NA,NA,NA,NA,NA,"before","after",0.285152,"before","after",0.859,"0.57099999999999995","0","0",4,1016,"2.52","AD","10","1070","2.33","PP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,8,8,5,338,9,6,5
"beg","plead","beg.plead",3,50.98,3.42,8.43,13,9,1292,646,"VB",601.7,-0.68,1,"synonym","",0.25,0.493,18,0.25,523.615384615385,0.15546054168367,1,519,-0.209771221009233,1,145.241758241758,0.678586575018817,0,45.7333333333333,0.299111950341742,0,5,7,2.55,6.93,2,1,7059,1764.75,"VB",624.33,-0.43,0.97,4,"beg","plead",0.234564784107336,0.171682672305735,0,"0.127364575","0.976915","0.168336","0.25","0.493","beg","plead",0.560216,"beg","plead",0.25,"0.49299999999999999","0","2.7000000000000001E-3",18,11,"2.96","V","9","5","3.08","V","beg","plead",0.25,0.493,0,"2.96","3.08",11,5,0.976915,0.168336,2958,102,17,17,339,93,28,13
"beginner","novice","beginner.novice",8,1.94,2,8.25,0,NA,17568,2509.71,"NN",611.52,-0.61,1,"synonym","",0.199,0.283,18,0.18,565.733333333333,0.19225063287519,0.933333333333333,590.842105263158,0.395435216842616,0.868421052631579,49.3435897435897,0.623255392379416,0.0487179487179488,138.465587044534,0.727949941876046,-0.0161943319838056,6,0.8,1.62,8.56,1,1,6031,1206.2,"NN",739.04,-0.19,0.85,5,"beginner","novice",0.685042251599116,0.666061003482096,0.433219822784441,"0.473369351","0","0.154792","0.199","0.283","beginner","novice",0.412003,"beginner","novice",0.199,"0.28299999999999997","2E-3","8.6999999999999994E-3",18,1,"NULL","N","10","3","NULL","N","beginner","novice",0.199,0.283,0.002,"NULL","NULL",1,3,0,0.154792,2669,5,11,5,342,14,13,5
"being","human","being.human",5,485.9,4.39,12.8,1,0,11982,2995.5,"VB|NN",639.81,-0.52,1,"bpa","",0.34,0.244,13,0.41,573.076923076923,0.366273756298087,1,634.583333333333,0.76212029585184,1,-13.7435897435897,-0.246404826685797,0,-66.3833333333333,-0.533633955190286,0.05,5,124.76,3.8,12.1,0,NA,6083,1520.75,"JJ|NN",562.55,-0.77,0.97,18,NA,NA,0,0,0,NA,NA,NA,NA,NA,"being","human",0.646751,"being","human",0.34,"0.24399999999999999","1.4E-2","2.0199999999999999E-2",13,712,"2.2799999999999998","N","16","299","6.37","N","being","human",0.34,0.244,0.014,"2.28","6.37",712,299,0.121217,0.323571,1993,17,11,5,346,43,10,5
"believe","faith","believe.faith",7,625.14,4.5,12.25,1,0,8974,1495.67,"VB",591.74,-0.61,1,"synonym","",0.101,0,23,0.41,572.3,0.114643990042336,1,522.527777777778,-0.0736568091869356,1,13.4659574468086,0.0588493802491482,0.0212765957446809,12.3293650793651,0.114712717619415,0,5,46.33,3.37,10.3,0,NA,4847,1211.75,"NN",573.25,-0.8,0.94,16,NA,NA,0,0,0,NA,NA,NA,NA,NA,"faith","believe",0.524525,"believe","faith",0.101,"0","8.0000000000000002E-3","1.52E-2",23,200,"1.85","V","12","111","2.71","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1458,13,11,5,348,6,9,5
"below","above","below.above",5,28.04,3.16,11.41,0,NA,4747,1186.75,"minor|NN",602.57,-0.56,1,"antonym","",0.503,0.564,9,0.79,591.2,0.00742529435502478,1,461.44,-0.575966400513723,1,-34.9352941176471,-0.207887705196282,0,43.4129411764706,0.346379700619246,0,5,48.88,3.4,12.089,1,0,4212,1053,"minor|JJ|NN",564.333,-0.855,0.94,15,NA,NA,0,0,0,NA,NA,NA,NA,NA,"below","above",0.337824,"below","above",0.503,"0.56399999999999995","2.1000000000000001E-2","5.9999999999999995E-4",9,145,"NULL","AD","9","188","NULL","AD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,43,8,6,352,13,6,5
"beneath","under","beneath.under",7,11.63,2.77,8.66,0,NA,14268,2378,"minor",645.17,-0.41,1,"synonym","",0.481,0.074,11,0.44,483.105263157895,-0.378762221482917,1,515.444444444444,-0.259884669610704,1,8.57215619694398,0.226080922935032,0,-36.3968253968254,-0.220589399493115,0,5,261.92,4.13,12.43,1,0,12379,3094.75,"minor|RB|JJ",576.29,-0.77,1,19,NA,NA,0,0,0,NA,NA,NA,NA,NA,"under","beneath",0.556222,"beneath","under",0.481,"7.3999999999999996E-2","4.4999999999999998E-2","3.61E-2",11,57,"NULL","AD","11","707","3.15","PP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4164,3,5,5,356,13,8,5
"benefit","help","benefit.help",7,14.35,2.87,10.33,0,NA,10373,1728.83,"NN|VB",597.19,-0.57,1,"unclassifed","",0.174,0,21,0.29,502.888888888889,-0.309360481602537,1,550.481481481482,-0.246090987531292,1,20.5847953216374,0.243040661603327,0,-15.7891737891738,0.0992473188976029,0,4,921.12,4.67,12.72,7,0,3566,1188.67,"VB|NN",601.97,-0.63,0.94,105,NA,NA,0,0,0,NA,NA,NA,NA,NA,"help","benefit",0.78398,"benefit","help",0.174,"0","8.0000000000000002E-3","1E-3",21,63,"3.68","N","23","311","2.82","V","benefit","help",0.174,0,0.008,"3.68","2.82",63,311,2.099676,0.257021,1913,18,19,5,357,4,7,5
"best","worst","best.worst",4,404.37,4.31,12.51,16,0,8912,2970.67,"JJ|RB",568.15,-0.7,1,"antonym","",0.536,0.504,10,0.35,630.903225806452,-0.0282504065304365,1,520.789473684211,-0.160747723738405,1,-1.30322580645156,0.534354466336673,0,16.0021929824561,-0.0382197582650777,0,5,56.35,3.46,10.08,1,1,8126,2031.5,"JJ|RB|NN|VB",701.67,-0.41,0.97,4,NA,NA,0,0,0,NA,NA,NA,NA,NA,"worst","best",0.407924,"best","worst",0.536,"0.504","3.0000000000000001E-3","2E-3",10,351,"2.67","AJ","10","34","2.23","AJ","best","worst",0.536,0.504,0.003,"2.67","2.23",351,34,4.149171,0.318194,4399,15,9,5,359,11,10,5
