"Prime","TargetWord","index","PLength","PSubFreq","PLogSubFreq","PLogHAL","POrthoN","PFreqGreater","PBGSum","PBGMean","PPOS","PELP.NT.RT","PELP.NT.Z","PELP.NT.Acc","Relation1","Relation2","FAS","BAS","CueFanOut","LSA","NT.200ms.RT","NT.200ms.Z","NT.200ms.Acc","NT.1200ms.RT","NT.1200ms.Z","NT.1200ms.Acc","NT.200ms.RT.Priming","NT.200ms.Z.Priming","NT.200ms.Acc.Priming","NT.1200ms.RT.Priming","NT.1200ms.Z.Priming","NT.1200ms.Acc.Priming","TLength","TSubFreq","TLogSubFreq","TLogHAL","TOrthoN","TFreqGreater","TBGSum","TBGMean","TPOS","TELP_LDT_RT","TELP_LDT_Z","TELP_LDT_Acc","TargetFanIn","first","second","root","raw","affix","old","jcn.x","lsa.x","fsg.x","bsg.x","word_1","word_2","distance","CUE","TARGET","FSG","BSG","MSG","OSG","QSS","QFR","QCON","QPS","TSS","TFR","TCON","TPS","cue","target","fsg.y","bsg.y","msg","qcon","tcon","qfr","tfr","jcn.y","lsa.y","X.x","TCosine_Set","Traw_feat_set","Troot_feat_set","X.y","PCosine_Set","Praw_feat_set","Proot_feat_set"
"acquire","get","acquire.get",7,2.65,2.13,8.78,0,NA,7818,1303,"VB",639.44,-0.37,0.96,"synonym","",0.397,0.039,17,0.16,514.34375,0.0781857100766277,1,477.909090909091,-0.355747125297842,1,-13.9548611111111,-0.404985190389814,0,58.0242424242423,0.230393796546989,0,3,4583.76,5.37,13.79,14,0,2565,1282.5,"VB",629.94,-0.52,0.97,32,"acquire","get",0.724258626526592,0.724258626526592,0.761329522289418,"0.724258627","0","0.130352","0.397","0.039","get","acquire",0.77492,"acquire","get",0.397,"3.9E-2","3.1E-2","1.18E-2",17,27,"NULL","V","23","750","2.86","V","acquire","get",0.397,0.039,0.031,"NULL","2.86",27,750,0,0.130352,1710,191,33,33,28,324,33,33
"acre","land","acre.land",4,1.82,1.97,7.35,3,0,6802,2267.33,"NN",751.5,0.09,0.96,"supraordinate","",0.675,0.02,9,0.58,509.642857142857,-0.0434080380062926,1,549.95,-0.28620893560252,1,63.1263736263736,0.0885427251952701,0,-29.9000000000001,-0.0111577948741977,0,4,88.12,3.65,11.23,11,1,7264,2421.33,"NN|VB",594.15,-0.68,0.97,53,NA,NA,0,0,0,NA,NA,NA,NA,NA,"land","acre",0.502234,"acre","land",0.675,"0.02","8.9999999999999993E-3","1.1000000000000001E-3",9,9,"5.91","N","25","217","6.07","N","acre","land",0.675,0.02,0.009,"5.91","6.07",9,217,9.1457,0.561832,2219,87,27,12,29,30,12,7
"act","play","act.play",3,109.12,3.75,11.19,5,0,2603,1301.5,"NN|VB",626.69,-0.43,1,"unclassified","",0.182,0,16,0.18,566.636363636364,0.000588717662029806,1,538.807692307692,-0.145662647330271,1,-9.2579852579853,0.0509928601478371,0,32.6684981684982,0.113966428863074,0,4,354.53,4.26,11.92,6,0,3219,1073,"VB|NN",537.91,-0.96,1,96,NA,NA,0,0,0,NA,NA,NA,NA,NA,"play","act",0.616915,"act","play",0.182,"0","4.7E-2","1.8E-3",16,283,"3.79","N","21","200","4.22","V","act","play",0.182,0,0.047,"3.79","4.22",283,200,0,0.135837,2951,65,20,5,31,10,11,5
"actor","actress","actor.actress",5,26.33,3.13,9.26,0,NA,6723,1680.75,"NN",555.71,-0.74,1,"category","",0.578,0.507,14,0.59,528.153846153846,-0.150753371582569,1,553.037037037037,-0.116780898731504,1,21.8461538461538,0.191311326776416,0.0333333333333333,-63.7293447293447,-0.182979877326901,0,7,16.02,2.91,8.52,0,NA,14893,2482.17,"NN",687.53,-0.49,1,3,"actor","actress",0.555309569976801,0.300187372781219,0.460301645917163,"0.336859256","0.847032","0.568679","0.578","0.507","actor","actress",0.275584,"actor","actress",0.578,"0.50700000000000001","1E-3","6.6E-3",14,24,"5.45","N","11","6","NULL","N","actor","actress",0.578,0.507,0.001,"5.45","NULL",24,6,0.847032,0.568679,35,47,17,7,34,55,25,8
"actress","actor","actress.actor",7,16.02,2.91,8.52,0,NA,14893,2482.17,"NN",611.85,-0.56,0.96,"category","",0.507,0.578,11,0.59,528.1875,-0.0914357838432351,1,519.111111111111,-0.230946377137861,1,-39.9970238095238,-0.0625744831030331,0,-48.5611111111111,-0.283951701000458,0,5,26.33,3.13,9.26,0,NA,6723,1680.75,"NN",539.97,-0.83,0.97,25,"actor","actress",0.555309569976801,0.300187372781219,0.460301645917163,"0.336859256","0.847032","0.568679","0.578","0.507","actress","actor",0.275584,"actress","actor",0.507,"0.57799999999999996","1E-3","6.6E-3",11,6,"NULL","N","14","24","5.45","N","actress","actor",0.507,0.578,0.001,"NULL","5.45",6,24,0.847032,0.568679,34,55,25,8,35,47,17,7
"add","subtract","add.subtract",3,33.06,3.23,11.64,6,1,1257,628.5,"VB",579.57,-0.66,1,"antonym","",0.685,0.692,11,0.36,578.85,0.072005401712641,1,568.115384615385,0.234245829439683,1,55.15,0.466708160301472,0.0714285714285714,-6.36538461538464,0.151086932258508,0,8,0.55,1.46,7.51,0,NA,8685,1240.71,"VB",678.88,-0.42,0.97,9,"add","subtract",0.217309283093124,0.105324256879788,0.401682899072269,"0.25623097","8.470915","0.353388","0.685","0.692","subtract","add",0.567689,"add","subtract",0.685,"0.69199999999999995","7.0000000000000001E-3","5.5999999999999999E-3",11,88,"2.95","V","6","2","2.86","V","add","subtract",0.685,0.692,0.007,"2.95","2.86",88,2,8.470915,0.353388,3826,13,13,7,38,28,11,5
"admission","ticket","admission.ticket",9,3.55,2.26,8.7,0,NA,15647,1955.88,"NN",637.04,-0.45,1,"script","",0.245,0.048,16,0.1,551.142857142857,-0.236691272695181,1,514.5,-0.0491477453051394,1,56.7545787545788,0.367134028028361,0.0256410256410257,-18.0625,-0.124706966867313,0,6,45.57,3.37,9.56,4,0,10263,2052.6,"NN|VB",629.32,-0.64,1,20,NA,NA,0,0,0,NA,NA,NA,NA,NA,"ticket","admission",0.67185,"admission","ticket",0.245,"4.8000000000000001E-2","0","2.2000000000000001E-3",16,33,"NULL","N","19","16","7","N","admission","ticket",0.245,0.048,0,"NULL","7",33,16,15.042797,0.058032,4001,3,13,7,46,4,13,5
"admit","confess","admit.confess",5,59.2,3.48,10.21,0,NA,4682,1170.5,"VB",583.7,-0.64,1,"synonym","",0.131,0.119,18,0.4,547.37037037037,0.205242641404021,1,630.071428571429,0.492500653757808,0.928571428571429,-0.279461279461202,-0.0809347559024226,0,-65,-0.258849017797308,-0.0714285714285714,7,15.84,2.91,7.9,1,0,14046,2341,"VB",660.75,-0.38,1,2,NA,NA,0,0,0,NA,NA,NA,NA,NA,"confess","admit",0.406908,"admit","confess",0.131,"0.11899999999999999","0","2.93E-2",18,37,"NULL","V","15","11","NULL","V","admit","confess",0.131,0.119,0,"NULL","NULL",37,11,1.518354,0.350349,890,9,15,6,47,236,21,21
"adorable","cute","adorable.cute",8,10.53,2.73,6.84,0,NA,13105,1872.14,"JJ",622.48,-0.4,1,"synonym","",0.689,0.064,8,0.39,510.75,-0.204656436332756,1,473.25,-0.667623145866113,1,8.52272727272725,-0.212859509163119,0,52.4891304347826,0.616126378068776,0,4,87.75,3.65,9.31,6,1,5994,1998,"JJ|NN",582.79,-0.71,0.97,37,"adorable","cute",0.180853307758283,0.148486694132385,0.400142298114833,"0.229071064","NULL","NULL","0.689","0.064","cute","adorable",0.294693,"adorable","cute",0.689,"6.4000000000000001E-2","6.0000000000000001E-3","1.18E-2",8,3,"NULL","AJ","18","5","3.1","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050,6,8,5,50,8,11,5
"advance","forward","advance.forward",7,15.98,2.91,11.28,0,NA,8102,1350.33,"NN|VB",587.13,-0.67,1,"synonym","",0.23,0,21,0.29,558.578947368421,0.216578547956902,1,525.944444444444,0.199840684027859,1,-4.29769736842104,0.0584623568667522,0,7.2037037037037,-0.186181723674823,0,7,72.33,3.57,10.97,0,NA,7673,1278.83,"RB|JJ|VB|NN",577.84,-0.61,1,15,"advance","forward",0.625114677796701,0.412119345512498,0.670182538222555,"NULL","12.841916","0.223671","0.23","0","forward","advance",0.801829,"advance","forward",0.23,"0","1.0999999999999999E-2","9.7999999999999997E-3",21,60,"NULL","V","13","115","NULL","AJ","advance","forward",0.23,0,0.011,"NULL","NULL",60,115,12.841916,0.223671,1612,32,11,6,52,12,7,5
