TargetWord,Length,SubFreq,LogSubFreq,LogHAL,OrthoN,FreqGreater,BGSum,BGMean,POS,ELP_LDT_RT,ELP_LDT_Z,ELP_LDT_Acc,TargetFanIn
abandon,7,8.1,2.62,8.232,0,,12222,2037,VB|NN,695.719,-0.312,0.97,5
ability,7,19.22,2.99,10.949,1,0,8681,1446.833,NN,619.677,-0.481,0.97,18
abnormal,8,2.9,2.17,7.698,0,,9895,1413.571,JJ,684.909,-0.185,1,10
above,5,48.88,3.4,12.089,1,0,4212,1053,minor|JJ|NN,564.333,-0.855,0.94,15
abuse,5,10.25,2.72,10.163,2,0,5023,1255.75,VB,608.688,-0.703,0.97,12
accept,6,52.78,3.43,10.808,1,0,4357,871.4,VB,556.394,-0.86,0.97,17
account,7,44.71,3.36,11.018,0,,10710,1785,NN|VB,619.382,-0.679,1,7
accuse,6,5.69,2.46,8.242,0,,5844,1168.8,VB,626.364,-0.522,1,7
ache,4,2.49,2.11,6.741,3,2,4730,1576.667,VB|NN,631.655,-0.496,0.91,15
achieve,7,7.33,2.57,9.65,0,,7701,1283.5,VB,702.82,-0.49,0.97,13
act,3,109.12,3.75,11.19,5,0,2603,1301.5,NN|VB,635.18,-0.56,1,28
action,6,61.08,3.49,11.26,0,,14494,2898.8,NN,566.73,-0.79,1,31
active,6,11.45,2.77,10.48,0,,10154,2030.8,JJ,632.74,-0.59,1,10
actor,5,26.33,3.13,9.26,0,,6723,1680.75,NN,539.97,-0.83,0.97,25
actress,7,16.02,2.91,8.52,0,,14893,2482.17,NN,687.53,-0.49,1,3
add,3,33.06,3.23,11.64,6,1,1257,628.5,VB,657.55,-0.58,1,28
addition,8,7.75,2.6,10.76,1,0,17202,2457.43,NN,603.63,-0.58,0.91,6
adjective,9,0.49,1.42,6.95,0,,11226,1403.25,NN,671.35,-0.41,0.94,5
adolescent,10,1.84,1.98,7.33,0,,20185,2242.78,NN|JJ,780.13,0.08,0.97,9
adventure,9,13.43,2.84,9.46,0,,16492,2061.5,NN,631.23,-0.46,0.94,10
advice,6,47.98,3.39,10.7,1,0,5813,1162.6,NN,599.59,-0.67,1,10
africa,6,18.76,2.98,9.75,0,,7579,1515.8,NN,683.91,-0.31,0.97,15
after,5,682.59,4.54,12.93,2,0,10949,2737.25,minor,658.06,-0.58,1,13
again,5,792.71,4.61,12.43,0,,9212,2303,RB,577.24,-0.75,1,19
against,7,201.73,4.01,12.06,0,,14633,2438.83,minor,634.15,-0.58,0.97,25
age,3,79.2,3.61,11.11,10,2,1995,997.5,NN|VB,530.91,-0.9,1,21
agreement,9,17.49,2.95,10.07,0,,16530,2066.25,NN,668.3,-0.43,0.91,9
air,3,139.02,3.85,11.3,5,0,1728,864,NN|VB,589.8,-0.71,1,78
airplane,8,10.92,2.75,8.46,0,,10550,1507.14,NN,677.47,-0.37,0.97,23
alcohol,7,16.57,2.93,9.56,0,,8157,1359.5,NN,668.84,-0.47,0.97,44
alert,5,20.61,3.02,9.1,1,0,13645,3411.25,JJ|NN|VB,582.75,-0.7,0.97,12
alive,5,154.47,3.9,9.9,3,0,8586,2146.5,JJ,603.16,-0.61,0.94,21
all,3,5161.86,5.42,14.35,5,0,4681,2340.5,minor|RB,592.33,-0.55,0.97,18
alligator,9,3.49,2.25,6.58,0,,17162,2145.25,NN,637.97,-0.51,0.97,4
allow,5,44.37,3.35,11.25,3,0,6836,1709,VB|NN,591.38,-0.59,1,19
alone,5,308.53,4.2,10.84,3,2,11414,2853.5,RB|JJ,571.5,-0.73,0.94,42
alright,7,79.29,3.61,8.71,0,,7592,1265.33,RB,597.87,-0.53,0.91,2
aluminum,8,2.25,2.06,8.76,0,,13443,1920.43,NN|JJ,815.6,-0.02,0.94,7
always,6,655.25,4.52,12.21,0,,4411,882.2,RB,594.7,-0.69,0.97,23
am,2,1106.63,4.75,13.21,7,3,945,945,VB,747.31,-0.17,0.91,4
ambulance,9,22.41,3.06,7.24,0,,11460,1432.5,NN,863.5,0.01,1,4
america,7,77.92,3.6,11.27,0,,15817,2636.17,NN,658.74,-0.47,1,22
american,8,102.22,3.72,11.69,1,0,19300,2757.14,JJ|NN,643.67,-0.48,0.97,20
amount,6,24.75,3.1,11.03,0,,8458,1691.6,NN|VB,644.88,-0.59,1,32
amuse,5,2.61,2.13,6.47,1,1,4800,1200,VB,749.36,-0.41,0.97,2
angel,5,78.27,3.6,9.81,1,0,10347,2586.75,NN,636.56,-0.61,1,13
anger,5,19.43,3,9.06,2,1,14775,3693.75,NN|VB,604.24,-0.59,1,55
angry,5,58.98,3.48,9.51,0,,8784,2196,JJ,559.97,-0.81,0.97,30
animal,6,45.49,3.37,10.12,0,,10631,2126.2,NN,619.88,-0.54,1,156
ankle,5,8.02,2.61,7.9,1,1,7322,1830.5,NN,637.39,-0.59,0.97,7
annoy,5,2.51,2.11,8.26,0,,4787,1196.75,VB,650.03,-0.48,0.97,22
annoying,8,11.12,2.75,9.5,0,,15745,2249.29,JJ|VB|NN,631.94,-0.44,1,16
annually,8,0.49,1.42,7.92,0,,10782,1540.29,RB,755.44,-0.23,1,2
answer,6,176.2,3.95,11.6,0,,12181,2436.2,NN|VB,572.1,-0.73,1,55
ant,3,5.35,2.44,7.93,7,6,6501,3250.5,NN,592.87,-0.61,0.94,11
anxiety,7,6.76,2.54,7.89,0,,6949,1158.17,NN,608.7,-0.59,0.97,12
apart,5,47.02,3.38,10,0,,5939,1484.75,RB,617.97,-0.62,0.97,19
apartment,9,83.04,3.63,9.1,0,,14606,1825.75,NN,637.47,-0.52,0.97,19
ape,3,9.67,2.69,8.26,10,5,2536,1268,NN|VB,620.38,-0.6,1,12
apology,7,15.76,2.91,8.32,0,,5356,892.67,NN,678.94,-0.45,1,2
appear,6,23.37,3.08,10.75,1,0,7822,1564.4,VB,599.53,-0.67,0.97,5
apple,5,23.67,3.08,11.1,2,0,5572,1393,NN,618.53,-0.83,0.97,48
april,5,20.65,3.02,10.52,0,,6523,1630.75,NN,663.72,-0.45,0.94,3
area,4,74.92,3.58,11.99,3,0,9322,3107.33,NN,579.6,-0.69,0.94,35
argue,5,19.75,3,9.95,0,,4051,1012.75,VB,642.63,-0.58,0.97,16
argument,8,17,2.94,10.81,0,,12853,1836.14,NN,613.85,-0.56,1,16
arm,3,65.41,3.52,9.92,5,2,3548,1774,NN|VB,671.86,-0.48,1,43
armor,5,7.29,2.57,9.49,2,0,7266,1816.5,NN,699.65,-0.2,0.94,5
arms,4,59.8,3.48,10.4,6,1,3745,1248.33,NN|VB,589.11,-0.73,1,11
army,4,85.69,3.64,10.43,2,0,3648,1216,NN,586.91,-0.61,0.97,59
around,6,736.73,4.57,12.5,2,0,10401,2080.2,minor|RB,581.06,-0.63,1,22
arrogant,8,5.22,2.43,8.28,0,,13307,1901,JJ,744.6,-0.18,0.94,12
arrow,5,7.84,2.6,8.9,0,,6372,1593,NN,629.19,-0.52,0.97,12
art,3,70.8,3.56,11.04,8,2,3968,1984,NN,521.74,-0.84,0.91,52
artist,6,28.63,3.16,9.74,0,,15069,3013.8,NN,615.18,-0.67,1,21
ashtray,7,3.25,2.22,5.54,0,,8304,1384,NN,716.43,-0.23,0.94,3
asia,4,5.29,2.43,9.54,1,0,4270,1423.33,NN,563.41,-0.8,0.97,6
ask,3,483.14,4.39,11.84,4,0,1678,839,VB,552,-0.77,0.94,25
asleep,6,49.82,3.41,8.6,0,,6842,1368.4,RB|JJ,687.5,-0.44,1,8
ass,3,226.37,4.06,10.3,4,1,3023,1511.5,NN|VB,649.38,-0.57,1,10
assistant,9,32.22,3.22,9.61,0,,19423,2427.88,NN,660.91,-0.41,0.97,7
assume,6,33.47,3.23,10.67,1,0,6254,1250.8,VB,572.84,-0.71,0.94,5
atom,4,2.75,2.15,8.13,1,0,6764,2254.67,NN,636.33,-0.5,0.97,14
attack,6,75.55,3.59,10.74,1,0,9136,1827.2,NN|VB,564.18,-0.75,1,23
attempt,7,19.12,2.99,10.64,0,,11500,1916.67,NN|VB,608.35,-0.61,1,2
attic,5,7.84,2.6,7.24,1,0,11922,2980.5,NN,716.19,-0.27,0.94,6
aunt,4,55.2,3.45,7.95,4,1,5342,1780.67,NN,646.58,-0.58,1,8
