TargetWord,Length,SubFreq,LogSubFreq,LogHAL,OrthoN,FreqGreater,BGSum,BGMean,POS,ELP_LDT_RT,ELP_LDT_Z,ELP_LDT_Acc,TargetFanIn
australia,9,8.43,2.63,10.48,0,,17231,2153.88,NN,810.29,-0.11,0.97,3
auto,4,7.67,2.59,9.65,1,0,2776,925.33,NN,592.32,-0.66,1,13
average,7,16.65,2.93,11.03,1,0,13551,2258.5,JJ|NN|VB,634.56,-0.56,1,20
awake,5,26.71,3.13,8.16,2,1,2119,529.75,JJ|VB,576.85,-0.69,1,16
award,5,12.88,2.82,9.66,1,1,4483,1120.75,NN|VB,673.16,-0.47,0.97,16
aware,5,35.65,3.26,10.52,2,0,8397,2099.25,JJ|NN,622.55,-0.64,0.97,12
away,4,730.9,4.57,11.92,2,0,1313,437.67,RB|minor,605.5,-0.46,0.97,57
ax,2,4.33,2.35,8.05,8,7,94,94,NN|VB,641.3,-0.53,0.88,6
baby,4,509.37,4.41,10.49,1,0,1855,618.33,NN|VB,523.82,-0.92,0.97,91
back,4,2009.16,5.01,12.88,17,0,3183,1061,RB|JJ|NN|VB,528.47,-0.81,0.94,50
backpack,8,3.65,2.27,7.57,0,,6707,958.14,NN,687.21,-0.3,0.97,10
backward,8,3.12,2.2,8.37,1,0,7472,1067.43,RB|JJ|NN,675.97,-0.33,0.97,3
bacon,5,11.86,2.78,8.05,2,0,9320,2330,NN,693.56,-0.38,1,13
bad,3,545.18,4.44,11.94,19,1,1828,914,JJ|NN|RB,602.03,-0.64,1,229
bag,3,94.04,3.68,9.71,20,6,1561,780.5,NN|VB,593.43,-0.6,1,36
bake,4,6.33,2.51,7.84,17,12,2006,668.67,VB|JJ|NN,673.27,-0.38,0.88,16
ball,4,104.96,3.73,10.56,19,4,5458,1819.33,NN,643.9,-0.6,0.94,85
ballet,6,10.25,2.72,7.42,6,3,10228,2045.6,NN,622.65,-0.54,0.94,9
balloon,7,8.67,2.65,8.44,0,,12459,2076.5,NN|VB,745.48,-0.43,0.97,7
band,4,53.41,3.44,10.8,14,2,6022,2007.33,NN|VB,653.41,-0.45,1,37
bank,4,84.98,3.64,10.58,16,2,4546,1515.33,NN|VB,561.25,-0.85,0.97,37
bar,3,85.98,3.64,10.36,15,6,3742,1871,NN|VB,572.97,-0.66,0.97,46
bargain,7,12,2.79,8.25,0,,12476,2079.33,NN|VB,710.03,-0.33,0.97,9
base,4,35.37,3.26,10.99,14,1,4260,1420,NN|VB,540.81,-0.81,0.97,8
baseball,8,25.25,3.11,9.82,0,,9957,1422.43,NN,651.03,-0.59,0.97,50
basic,5,15.57,2.9,11.2,3,0,6219,1554.75,JJ|NN,585.52,-0.63,1,6
basket,6,13.18,2.83,7.94,4,0,4707,941.4,NN,649.88,-0.37,1,16
basketball,10,21.39,3.04,9.19,0,,10226,1136.22,NN,602.74,-0.59,0.97,33
bass,4,7.55,2.59,9.75,14,3,3800,1266.67,NN,612.61,-0.62,0.97,10
bat,3,20.63,3.02,8.77,19,15,4958,2479,NN|VB,583.71,-0.63,1,12
bath,4,31.12,3.2,8.63,11,3,6281,2093.67,NN,603.85,-0.64,0.97,20
bathroom,8,61.67,3.5,8.77,0,,10817,1545.29,NN,553.7,-0.74,1,24
beach,5,56.63,3.46,10.19,7,1,5654,1413.5,NN,649.53,-0.49,1,60
beam,4,8.73,2.65,8.97,9,3,3618,1206,NN|VB,633.36,-0.39,0.97,6
bean,4,6.84,2.54,8.18,14,8,6156,2052,NN,660.38,-0.6,1,12
bear,4,57.41,3.47,10.07,19,8,5638,1879.33,VB|NN,565.76,-0.77,1,27
beard,5,12.61,2.81,8.06,3,3,6266,1566.5,NN,575.35,-0.6,0.91,7
beast,5,24.55,3.1,9.7,6,2,7690,1922.5,NN,622.21,-0.64,0.97,6
beat,4,131.69,3.83,10.41,20,1,6854,2284.67,VB|NN,590.16,-0.66,1,25
beautiful,9,279.73,4.15,10.35,0,,10807,1350.88,JJ,700.57,-0.37,0.97,61
bed,3,187.12,3.98,10.35,13,3,5343,2671.5,NN|VB,557.06,-0.82,0.97,59
bedroom,7,36.71,3.27,8.82,0,,10025,1670.83,NN,671.94,-0.43,1,6
bee,3,10.35,2.72,8.1,11,7,1728,864,NN,576.49,-0.65,1,18
beef,4,19.71,3,8.57,6,2,2175,725,NN|VB,590.88,-0.69,0.97,20
beer,4,75.49,3.59,10.11,12,1,7890,2630,NN,587.18,-0.66,1,67
before,6,794.14,4.61,12.75,0,,9191,1838.2,minor|RB|NN,585.06,-0.62,0.97,10
beg,3,50.98,3.42,8.43,13,9,1292,646,VB,627.32,-0.69,0.97,10
begin,5,56.98,3.46,11.02,2,0,8765,2191.25,VB|NN,542.41,-0.83,1,13
beginner,8,1.94,2,8.25,0,,17568,2509.71,NN,695.19,-0.38,0.97,4
beginning,9,63.12,3.51,10.69,0,,21463,2682.88,VB|NN,701.78,-0.31,1,24
behind,6,187.86,3.98,11.08,0,,10734,2146.8,minor|NN,558.47,-0.76,1,13
being,5,485.9,4.39,12.8,1,0,11982,2995.5,VB|NN,567.21,-0.8,0.97,11
belief,6,7.61,2.59,9.87,1,0,7040,1408,NN,587.97,-0.63,1,21
believe,7,625.14,4.5,12.25,1,0,8974,1495.67,VB,613.91,-0.65,1,16
bell,4,39.33,3.3,10.12,13,6,4209,1403,NN,560.75,-0.74,1,17
below,5,28.04,3.16,11.41,0,,4747,1186.75,minor|NN,595.59,-0.64,0.97,12
belt,4,24.35,3.09,9.29,12,4,2963,987.67,NN,595.88,-0.8,1,14
bend,4,15.06,2.89,8.84,12,5,6436,2145.33,NN|VB,545.82,-0.8,1,21
best,4,404.37,4.31,12.51,16,0,8912,2970.67,JJ|RB,540.44,-0.77,0.97,32
better,6,794,4.61,12.56,7,0,13441,2688.2,JJ|RB|NN|VB,557.5,-0.76,1,14
bible,5,18.33,2.97,10.11,0,,5606,1401.5,NN,547.21,-0.68,1,29
bicycle,7,6.61,2.53,8.52,0,,7160,1193.33,NN,679.77,-0.45,1,18
big,3,682.82,4.54,12.09,16,0,1434,717,JJ,534.5,-0.89,0.94,123
bike,4,25.88,3.12,10.02,9,2,1604,534.67,NN|VB,620.65,-0.62,1,18
billy,5,69.12,3.55,9.28,8,1,5209,1302.25,NN,648.22,-0.52,0.97,2
biology,7,4.9,2.4,9.28,0,,6532,1088.67,NN,621.58,-0.56,0.97,23
bird,4,45.45,3.37,9.86,3,0,2053,684.33,NN,596,-0.69,0.97,79
bit,3,235.04,4.08,11.98,16,2,2793,1396.5,NN|VB,603.48,-0.66,1,5
bitch,5,168.8,3.94,9.15,9,1,4549,1137.25,NN|VB,646.25,-0.51,1,17
bite,4,40.78,3.32,9.01,10,3,7188,2396,NN|VB,576.78,-0.7,0.94,37
black,5,167.94,3.93,11.99,4,0,5605,1401.25,JJ|NN|VB,658.03,-0.49,1,137
blame,5,58.78,3.48,9.76,5,1,5885,1471.25,VB|NN,546.31,-0.83,1,10
blanket,7,12.98,2.82,8.25,0,,9220,1536.67,NN,630.48,-0.55,0.97,19
bleach,6,2.31,2.08,7.18,1,1,9392,1878.4,NN|VB,587.15,-0.6,1,10
blonde,6,13.92,2.85,8.8,0,,11618,2323.6,JJ|NN,631.97,-0.49,1,14
blood,5,186.12,3.98,10.86,4,0,4110,1027.5,NN,571.97,-0.73,1,73
blow,4,97.57,3.7,9.74,8,2,3335,1111.67,NN|VB,619.12,-0.68,1,31
blue,4,102.39,3.72,11.4,4,0,2164,721.33,JJ|NN,573.65,-0.78,1,62
blush,5,2.67,2.14,7.13,4,2,4524,1131,VB|NN,555.97,-0.67,1,7
board,5,64.16,3.51,11.28,2,0,4777,1194.25,NN|VB,562.73,-0.69,1,33
boat,4,95.78,3.69,9.67,9,2,5365,1788.33,NN,549.78,-0.82,1,73
body,4,195.53,4,11.66,4,0,1449,483,NN,577.58,-0.63,1,84
bomb,4,53.65,3.44,9.64,4,0,2411,803.67,NN|VB,602.45,-0.7,0.97,25
bone,4,26.06,3.12,9.68,14,4,7645,2548.33,NN|VB,655.85,-0.45,0.97,35
book,4,176.98,3.96,12.16,13,1,1919,639.67,NN|VB,521.94,-0.89,1,150
boots,5,19.16,2.99,9.28,10,2,3601,900.25,NN|VB,563.65,-0.76,1,10
booze,5,10.94,2.75,6.87,0,,2227,556.75,NN|VB,637.74,-0.34,0.97,8
bored,5,20.18,3.01,8.86,5,0,12545,3136.25,VB|JJ,599.65,-0.71,1,7
boring,6,27.41,3.15,9.45,4,0,17206,3441.2,JJ|NN|VB,671.15,-0.51,1,78
borrow,6,29.31,3.17,8.35,4,0,6925,1385,VB,618.06,-0.69,0.94,12
boss,4,124.29,3.8,9.21,9,4,3180,1060,NN|VB,595.69,-0.79,1,29
bother,6,67.37,3.54,9.92,1,1,10903,2180.6,VB|NN|minor,688.88,-0.45,1,17
bow,3,20.27,3.01,8.92,18,8,1450,725,NN,657.29,-0.4,1,15
box,3,89.75,3.66,12.05,10,0,860,430,NN|VB,697.03,-0.58,1,55
boxer,5,3.84,2.29,7.46,5,2,7110,1777.5,NN,574.91,-0.69,0.94,7
boy,3,529.82,4.43,10.66,15,3,903,451.5,NN,532.91,-0.9,0.97,54
boyfriend,9,72.24,3.57,8.45,0,,10999,1374.88,NN,654.84,-0.41,0.97,17
boys,4,224.16,4.06,10.08,7,0,1137,379,NN,688.31,-0.6,0.97,15
bra,3,10.92,2.75,8.22,2,1,3685,1842.5,NN,659.28,-0.46,0.94,10
bracelet,8,7.8,2.6,6.09,0,,13285,1897.86,NN,673.48,-0.46,0.94,6
brain,5,77.02,3.59,10.9,6,0,11499,2874.75,NN,583.88,-0.74,1,39
branch,6,10.08,2.71,9.51,2,0,10083,2016.6,NN|VB,625.55,-0.57,1,10
brave,5,31.71,3.21,8.62,5,2,5969,1492.25,JJ,573.09,-0.83,0.97,17
bravery,7,2.88,2.17,6.12,1,0,12765,2127.5,NN,626.03,-0.62,1,3
bread,5,28.33,3.16,9.11,5,3,7983,1995.75,NN,589.5,-0.77,1,50
break,5,221.08,4.05,10.77,5,0,7263,1815.75,VB|NN,604.15,-0.66,1,80
breakfast,9,66.29,3.53,8.94,0,,12722,1590.25,NN|VB,639.35,-0.47,1,22
breathe,7,48.51,3.39,8.04,3,0,14185,2364.17,VB,661.61,-0.4,1,16
brick,5,10.18,2.72,8.29,6,1,6683,1670.75,NN,586,-0.72,0.97,14
bride,5,24.22,3.09,8.21,3,1,6896,1724,NN,617.12,-0.57,0.97,6
britain,7,4.55,2.37,9.49,0,,15317,2552.83,NN,718.24,-0.31,1,3
broccoli,8,2.27,2.07,6.82,0,,10095,1442.14,NN,762.61,-0.08,0.97,6
broken,6,71.25,3.56,10.15,1,0,7661,1532.2,VB|JJ,568.57,-0.69,0.97,30
brother,7,283.94,4.16,10.07,1,0,12857,2142.83,NN,614.06,-0.61,1,22
brothers,8,47.06,3.38,9.8,1,0,14326,2046.57,NN,684.79,-0.43,1,3
brush,5,14.16,2.86,8.65,3,0,4002,1000.5,NN|VB,639.38,-0.54,1,19
bubble,6,8,2.61,8.68,4,0,5666,1133.2,NN|JJ|VB,618.67,-0.61,1,12
bucket,6,10.02,2.71,8.11,2,0,4156,831.2,NN|VB,595.22,-0.6,0.97,8
buffalo,7,11.9,2.78,9.03,0,,6007,1001.17,NN,643.48,-0.43,0.97,5
bug,3,20.94,3.03,10.38,17,4,835,417.5,NN|VB,600.63,-0.75,0.97,52
build,5,48.08,3.39,10.77,2,0,2715,678.75,VB|NN,596.68,-0.65,1,35
builder,7,0.94,1.69,8.27,1,0,11478,1913,NN,608.38,-0.48,1,10
building,8,99.57,3.71,10.79,0,,15406,2200.86,NN|VB,633.97,-0.54,1,67
bum,3,15.43,2.9,7.44,11,8,1148,574,NN|VB,650.31,-0.35,0.94,19
bump,4,12.35,2.8,7.89,8,3,2026,675.33,NN|VB,615.38,-0.64,1,9
bush,4,14.12,2.86,9.3,10,3,3281,1093.67,NN,599.47,-0.62,1,18
business,8,321,4.21,11.96,1,0,18914,2702,NN,646,-0.58,1,38
busy,4,106.53,3.74,9.88,4,0,2213,737.67,JJ,601.53,-0.64,0.97,12
butter,6,20.43,3.02,8.83,11,1,12689,2537.8,NN|VB,649.79,-0.47,1,30
butterfly,9,5.51,2.45,7.49,0,,14840,1855,NN|RB|JJ,635.03,-0.5,0.94,6
cab,3,35.8,3.26,8.13,15,8,2809,1404.5,NN,644.27,-0.54,0.97,4
cabbage,7,2.9,2.17,7.02,0,,5756,959.33,NN,630.9,-0.51,0.97,8
cabin,5,19.65,3,8.05,0,,10320,2580,NN,644.94,-0.52,1,11
cabinet,7,8.33,2.63,8.77,0,,13949,2324.83,NN,684.91,-0.5,0.97,8
cactus,6,2.9,2.17,7.1,0,,6613,1322.6,NN,729.62,-0.25,1,2
cake,4,45.06,3.36,8.74,18,12,3032,1010.67,NN|VB,563.53,-0.78,1,50
calculate,9,2.08,2.03,8.65,0,,17235,2154.38,VB,637.88,-0.4,1,3
call,4,861.39,4.64,12.4,13,0,6484,2161.33,VB|NN,580.06,-0.71,0.94,26
calm,4,89.04,3.66,8.75,4,1,4972,1657.33,JJ|NN|VB,587.24,-0.68,1,43
camera,6,57,3.46,9.82,0,,13761,2752.2,NN,631.79,-0.5,1,20
camp,4,51.22,3.42,9.68,8,1,3626,1208.67,NN|VB,652.91,-0.54,1,12
can,3,5247.45,5.43,14.3,15,0,5286,2643,VB|NN,596.41,-0.69,1,38
cancer,6,22.33,3.06,9.81,5,1,14478,2895.6,NN,616.53,-0.77,1,20
candle,6,8.02,2.61,7.91,1,1,10776,2155.2,NN,580.65,-0.71,1,14
candy,5,35.78,3.26,8.49,6,3,7198,1799.5,NN,684.19,-0.53,0.97,45
cans,4,7.67,2.59,7.92,11,7,7142,2380.67,NN|VB,576.53,-0.61,1,2
can't,4,,,,,,,,,,,,8
capability,10,1.37,1.85,9.49,0,,12455,1383.89,NN,772.54,-0.11,0.93,4
car,3,483.06,4.39,11.37,15,3,4768,2384,NN,642.09,-0.62,0.94,259
card,4,85.43,3.64,12.31,12,0,5396,1798.67,NN,605.09,-0.59,0.97,31
cards,5,48.02,3.39,12.37,8,0,5811,1452.75,NN,529.06,-0.81,1,17
care,4,485.25,4.39,11.56,24,3,9310,3103.33,NN|VB,580.03,-0.81,0.97,26
careful,7,108.82,3.74,9.95,0,,11201,1866.83,JJ,589.94,-0.7,1,22
caring,6,7.04,2.56,8.5,5,0,18456,3691.2,VB,645.53,-0.49,0.97,22
carpet,6,11.65,2.77,9.14,0,,8053,1610.6,NN|VB,645.24,-0.58,0.97,18
carrot,6,3.82,2.29,7.27,1,1,8394,1678.8,NN,670.85,-0.54,0.94,11
carry,5,65.9,3.53,10.51,7,0,5980,1495,VB|NN,668.79,-0.49,1,25
cars,4,45.63,3.37,10.35,16,2,6237,2079,NN,511.73,-0.89,0.97,5
cash,4,72.43,3.57,10.58,12,1,4550,1516.67,NN|VB,593.2,-0.79,0.97,20
castle,6,21.55,3.04,9.36,1,0,10656,2131.2,NN,615.09,-0.58,0.97,17
cat,3,66.33,3.53,10.56,18,3,5984,2992,NN,520.61,-0.88,0.94,67
catholic,8,12.47,2.8,9.41,0,,14839,2119.86,NN|JJ,635.97,-0.54,1,18
cats,4,19.73,3,9.78,13,1,6990,2330,NN,488.75,-0.88,0.97,3
cause,5,310.04,4.2,11.29,1,0,5770,1442.5,NN|VB,568.24,-0.7,1,18
cautious,8,3.35,2.24,7.58,2,0,13641,1948.71,JJ,631.94,-0.47,1,5
cave,4,13.98,2.85,8.92,16,9,4087,1362.33,NN|VB,603.59,-0.67,0.94,14
cell,4,54.35,3.44,9.69,11,7,4983,1661,NN,625.87,-0.68,1,24
center,6,45.78,3.37,11.38,1,0,19023,3804.6,NN|VB,560.78,-0.78,1,20
cereal,6,6.35,2.51,8.06,0,,17215,3443,NN,649.88,-0.47,1,21
ceremony,8,15.82,2.91,8.53,0,,19073,2724.71,NN,743.64,-0.27,0.97,4
chain,5,21.22,3.03,10.06,1,0,10476,2619,NN|VB,552.33,-0.69,1,22
chair,5,49.24,3.4,9.83,3,1,4390,1097.5,NN|VB,607.03,-0.69,0.97,39
chalk,5,3.59,2.26,7.42,0,,5832,1458,NN|VB,640.79,-0.58,0.97,7
chance,6,241.24,4.09,10.98,2,1,9175,1835,NN|VB,587.42,-0.74,0.97,16
change,6,240.35,4.09,11.96,2,0,11275,2255,NN|VB,629.94,-0.63,0.97,52
chaos,5,9.39,2.68,9.87,1,0,3526,881.5,NN,739.24,-0.18,1,9
characteristic,14,1.18,1.79,8.35,0,,38164,2935.69,NN|JJ,809.44,-0.01,0.97,5
cheap,5,36.24,3.27,10.44,2,0,5954,1488.5,JJ|RB|NN,618.97,-0.61,0.97,24
cheat,5,17.67,2.96,8.72,4,2,9262,2315.5,VB|NN,609.76,-0.74,0.97,26
check,5,278.98,4.15,12.05,4,0,5510,1377.5,VB|NN,596.09,-0.63,0.97,37
cheese,6,39.04,3.3,9.07,0,,10656,2131.2,NN,578.94,-0.64,0.97,39
chemistry,9,8.67,2.65,9.45,0,,14295,1786.88,NN,672.29,-0.37,1,43
chest,5,40.98,3.32,9.47,3,0,11320,2830,NN,619.13,-0.67,0.97,17
chew,4,9.06,2.67,7.96,4,2,3575,1191.67,VB|NN,583.53,-0.52,0.94,15
chicken,7,61.73,3.5,9.35,1,0,10551,1758.5,NN|VB,575.09,-0.76,1,60
chief,5,77.9,3.6,9.85,1,0,4303,1075.75,JJ|NN,540.97,-0.77,0.97,14
child,5,157.65,3.91,11.08,3,0,4364,1091,NN,622.21,-0.74,0.94,101
children,8,175.1,3.95,11.47,0,,13118,1874,NN,636.58,-0.56,1,41
china,5,24.86,3.1,10.42,1,0,10925,2731.25,NN,617.73,-0.65,1,27
chip,4,20.61,3.02,10.48,8,1,3129,1043,NN|VB,579.38,-0.75,1,8
chocolate,9,29.39,3.18,9.16,0,,17726,2215.75,NN,647.56,-0.39,0.97,46
choice,6,97.55,3.7,11.09,0,,6985,1397,NN,550.88,-0.79,1,20
choose,6,48.06,3.39,10.81,1,0,6513,1302.6,VB,664.76,-0.5,1,13
christ,6,90.14,3.66,9.91,0,,10965,2193,NN,568.97,-0.61,1,7
christmas,9,122.43,3.8,9.45,0,,14189,1773.63,NN,716.91,-0.21,1,32
church,6,69.67,3.55,10.8,0,,5110,1022,NN,612.47,-0.74,0.97,85
cigarette,9,26.61,3.13,7.97,0,,16346,2043.25,NN,651.64,-0.45,0.9,25
circle,6,21.51,3.04,9.9,0,,6222,1244.4,NN|VB,634.13,-0.64,0.94,40
circus,6,17.06,2.94,8.14,1,1,4352,870.4,NN,665.68,-0.44,1,12
city,4,169.1,3.94,11.53,2,0,3865,1288.33,NN,578.52,-0.68,0.97,41
clam,4,3.92,2.3,6.64,7,7,3543,1181,NN|VB,635.13,-0.57,0.94,7
class,5,117.35,3.78,11.45,8,0,5621,1405.25,NN|VB,570.55,-0.79,1,95
clay,4,12,2.79,9.29,8,1,3021,1007,NN,581.38,-0.74,1,12
clean,5,121.24,3.79,10.5,3,1,9293,2323.25,JJ|VB|RB,582.83,-0.78,1,109
cleaner,7,6.92,2.55,8.33,3,1,17730,2955,JJ|NN,650.58,-0.54,1,7
clear,5,171.82,3.94,11.26,2,0,8775,2193.75,JJ|VB|RB,552.82,-0.87,0.97,42
cliff,5,21.57,3.04,8.54,0,,4233,1058.25,NN,622.91,-0.58,0.97,11
climate,7,3.53,2.26,8.84,0,,14469,2411.5,NN,603.88,-0.6,0.97,4
