TargetWord,Prime,Length,SubFreq,LogSubFreq,LogHAL,OrthoN,FreqGreater,BGSum,BGMean,POS,ELP NT RT,ELP NT Z,ELP NT Acc,Relation1,Relation2,FAS,BAS,CueFanOut,LSA,NT 200ms RT,NT 200ms Z,NT 200ms Acc,NT 1200ms RT,NT 1200ms Z,NT 1200ms Acc,NT 200ms RT Priming,NT 200ms Z Priming,NT 200ms Acc Priming,NT 1200ms RT Priming,NT 1200ms Z Priming,NT 1200ms Acc Priming
abandon,DISOWN,6,0.41,1.34,5.57,0,,6269,1253.8,VB,737.93,-0.14,0.96,synonym,,0.053,,31,0.08,575.238095238095,0.627039738527682,1,534.269230769231,0.0323493172397266,1,32.3619047619048,-0.0197890603145732,0,47.4807692307693,0.116692665501249,0
ability,CAPABILITY,10,1.37,1.85,9.49,0,,12455,1383.89,NN,714.32,0.2,0.92,synonym,,0.282,0.119,12,0.22,581.965517241379,0.399550407760769,0.96551724137931,562.235294117647,-0.00685609378055127,1,94.807210031348,0.0046578518465259,-0.0344827586206896,22.4705882352941,0.20805545529166,0
abnormal,NORMAL,6,70.37,3.56,11.17,2,0,8880,1776,JJ|RB,577.39,-0.8,1,antonym,,0.34,0.281,15,0.7,562,0.0789397932110197,1,580.411764705882,0.569895811395784,1,-17.3333333333334,0.303834704461526,0,-40.9117647058823,-0.274538435356042,0
above,BELOW,5,28.04,3.16,11.41,0,,4747,1186.75,minor|NN,602.57,-0.56,1,antonym,,0.503,0.564,9,0.79,591.2,0.00742529435502478,1,461.44,-0.575966400513723,1,-34.9352941176471,-0.207887705196282,0,43.4129411764706,0.346379700619246,0
abuse,USE,3,343.84,4.24,13.43,0,,3497,1748.5,VB,618.35,-0.54,1,fpa,,0.192,0.015,22,0.2,581.375,0.286827168516467,0.958333333333333,497.714285714286,-0.207277952318005,1,29.375,0.196302807773572,-0.0416666666666666,112.605714285714,0.214622580702345,0
accept,REJECT,6,4.24,2.34,8.92,1,0,7170,1434,VB,648.7,-0.31,1,antonym,,0.169,0.107,18,0.6,558.205882352941,0.218538346528158,1,536.333333333333,0.132507860519735,1,-27.0987394957983,-0.323629210796638,0.0357142857142857,-30.0641025641026,-0.419737375960679,0.0384615384615384
account,CHECKING,8,32.47,3.22,9.71,0,,16750,2392.86,VB|NN,630.89,-0.44,1,fpa,,0.44,0.035,10,0.42,550,-0.00464111155763788,0.96969696969697,499.25,-0.187149137884786,1,-34.4285714285714,-0.0400098117496797,-0.0303030303030303,46.8552631578947,0.264402065686896,0
accuse,BLAME,5,58.78,3.48,9.76,5,1,5885,1471.25,VB|NN,576.12,-0.61,0.96,synonym,,0.185,0.159,22,0.22,560.851851851852,0.161644194698273,1,549.692307692308,0.166452402923227,1,59.5767195767196,0.737651618183946,0.0476190476190477,-33.3423076923077,-0.0794909943810615,0
ache,STOMACH,7,33.82,3.24,8.95,0,,10809,1801.5,NN|VB,670.96,-0.22,1,fpa,,0.284,0,17,0.19,503.444444444444,-0.301039177377615,0.972222222222222,569.325581395349,0.19355589750184,1,65.0198412698412,0.498273820732869,-0.0277777777777778,-63.0055813953489,-0.155753203865055,0
achieve,GOAL,4,16.75,2.93,10.17,4,0,3845,1281.67,NN,631.32,-0.55,1,script,,0.174,0.22,21,0.65,618.138888888889,0.187426117858366,1,494.571428571429,0.032414407258225,1,-59.4444444444445,-0.173844349140451,0,20.0035714285715,-0.14798657902006,0
act,PERFORM,7,16.1,2.91,10.11,0,,11886,1981,VB,639.42,-0.4,1,synonym,,0.291,0.02,15,0.2,528.357142857143,-0.414365284329226,0.964285714285714,472.6,-0.422611038487107,1,-5.07936507936506,0.0900636229286629,-0.0357142857142857,5.76842105263154,-0.052779681019185,0.0263157894736842
action,REACTION,8,16.27,2.92,9.72,0,,20851,2978.71,NN,608.42,-0.61,1,unclassified,,0.103,0.094,21,0.14,510.047619047619,-0.184726833404921,1,490.76,-0.368731172706919,1,-7.40056022408965,-0.203605417265404,0.0294117647058824,30.5220512820513,0.256494690116708,0.0256410256410257
active,HYPER,5,,,,,,,,,,,,synonym,fpa,0.295,0.02,19,-0.02,575.617647058824,-0.135933539945232,0.970588235294118,501.722222222222,-0.226414773074171,1,-41.4176470588235,-0.0406227297242534,-0.0294117647058824,25.7929292929293,0.00885997272633657,0
actor,ACTRESS,7,16.02,2.91,8.52,0,,14893,2482.17,NN,611.85,-0.56,0.96,category,,0.507,0.578,11,0.59,528.1875,-0.0914357838432351,1,519.111111111111,-0.230946377137861,1,-39.9970238095238,-0.0625744831030331,0,-48.5611111111111,-0.283951701000458,0
actress,ACTOR,5,26.33,3.13,9.26,0,,6723,1680.75,NN,555.71,-0.74,1,category,,0.578,0.507,14,0.59,528.153846153846,-0.150753371582569,1,553.037037037037,-0.116780898731504,1,21.8461538461538,0.191311326776416,0.0333333333333333,-63.7293447293447,-0.182979877326901,0
add,SUM,3,10.25,2.72,9.52,10,3,1490,745,NN|VB,642.07,-0.37,1,synonym,,0.284,0.017,11,0.25,523.058823529412,-0.194019503697851,1,631,0.28470247060077,1,-17.5403050108932,-0.168459511184265,0,-133.321428571429,-0.597495844421344,0.0357142857142857
addition,SUBTRACTION,11,0.2,1.04,5.95,0,,20576,2057.6,NN,704.11,-0.03,1,antonym,,0.507,0.621,7,0.26,541,0.277066212658326,0.85,538.666666666667,-0.0127408522763159,1,12.5945945945946,-0.0892253833621853,-0.122972972972973,42.0256410256411,0.323034242055725,0
adjective,ADVERB,6,0.2,1.04,5,1,1,9447,1889.4,NN,632.71,-0.39,1,category,,0.274,0.152,12,0.94,635.818181818182,0.445480992977981,0.954545454545455,609.724137931035,0.405535556055937,0.896551724137931,129.866028708134,1.64602954298912,0.270334928229665,26.4240102171136,0.425171256688102,0.15581098339719
adolescent,PUBERTY,7,2.2,2.05,6.92,0,,9498,1583,NN,670.78,-0.19,1,script,,0.138,0.041,24,0.56,604.107142857143,0.551296033235626,1,565.59375,0.234023014762881,1,4.46428571428567,0.131751727285005,0.0571428571428572,5.17548076923072,0.488216564995435,0.0256410256410257
adventure,EXPLORER,8,1.9,1.99,8.68,2,0,16486,2355.14,NN,670.93,-0.24,0.96,unclassified,,0.196,0,20,0.37,628.785714285714,-0.049064427453381,1,593.888888888889,0.241285009876668,1,-117.324175824176,-0.0689296806686337,0,-53.281746031746,-0.318800511861722,0
advice,SUGGEST,7,39.24,3.3,10.83,0,,10681,1780.17,VB,661.56,-0.18,1,synonym,,0.072,0,23,0.32,605.352941176471,0.158905014583928,1,586.1,0.200827696044122,1,-49.0566448801743,-0.104638355947453,0,23.1916666666666,-0.156696447687508,0
africa,CONTINENT,9,3.67,2.27,8.21,0,,30878,3859.75,NN,741.9,0.14,0.78,supraordinate,,0.169,0.234,16,0.63,515.939393939394,-0.0193464654426607,1,527.310344827586,-0.10122043381365,1,-7.4130781499203,-0.48051931440265,0,-16.5696040868454,-0.0012378977834434,0
after,BEFORE,6,794.14,4.61,12.75,0,,9191,1838.2,minor|RB|NN,665.57,-0.37,1,antonym,,0.859,0.571,4,0.81,496.685714285714,-0.453862532653536,0.971428571428571,497.192307692308,-0.311927229774102,1,,,,-82.6208791208791,-0.161648594445698,0.0714285714285714
again,REPEAT,6,33.02,3.23,10,3,0,12875,2575,VB|NN,602.83,-0.56,1,synonym,,0.289,0.336,18,0.33,555.25,-0.154839115083413,1,527.714285714286,-0.145993415898985,1,19.15,0.201309488828671,0.05,31.8241758241759,-0.0260302346298186,0.0384615384615384
against,FOR,3,6895.1,5.55,15.42,7,0,3344,1672,minor,588.9,-0.58,1,antonym,,0.27,0.312,13,0.49,625.428571428571,-0.0139432226489462,1,506.5,-0.0312274069038336,1,-125.709821428571,-0.35628914414838,0.03125,115.22,0.366246037420449,0
age,YEARS,5,568.69,4.46,12.76,10,0,6431,1607.75,NN,608.43,-0.38,1,category,,0.19,0,12,0.53,525.333333333333,-0.383773911030089,1,463.842105263158,-0.218512843961512,1,-18.7142857142858,0.139609014350167,0,9.4912280701754,-0.162403639582792,0
agreement,CONTRACT,8,32.35,3.22,10.76,1,0,17498,2499.71,NN,652.56,-0.26,1,synonym,,0.212,0.151,17,0.7,523.785714285714,0.126144714369706,1,596,0.444367223354532,1,9.24131274131264,-0.266806140011491,0,-7.91999999999996,0.239463179520246,0
air,FAN,3,35.14,3.25,10.53,14,6,3911,1955.5,NN|VB,608.29,-0.57,1,instrument,,0.236,0,17,0.31,535.948717948718,-0.280979694485941,1,492,-0.206974885040436,1,7.53776853776856,-0.0380437381971425,0,-6.39999999999998,-0.198898603162132,0
airplane,FLYING,6,50.57,3.41,10.26,0,,12975,2595,VB|NN,619.93,-0.41,1,functional property,,0.434,0,14,0.78,511.56,-0.0908078151838406,1,544.705882352941,-0.168331291588874,1,23.89,0.117146178090659,0,-25.8169934640523,0.0501334656245798,0
