"index","TargetWord","Prime","PLength","PSubFreq","PLogSubFreq","PLogHAL","POrthoN","PFreqGreater","PBGSum","PBGMean","PPOS","PELP.NT.RT","PELP.NT.Z","PELP.NT.Acc","Relation1","Relation2","FAS","BAS","CueFanOut","LSA","NT.200ms.RT","NT.200ms.Z","NT.200ms.Acc","NT.1200ms.RT","NT.1200ms.Z","NT.1200ms.Acc","NT.200ms.RT.Priming","NT.200ms.Z.Priming","NT.200ms.Acc.Priming","NT.1200ms.RT.Priming","NT.1200ms.Z.Priming","NT.1200ms.Acc.Priming","TLength","TSubFreq","TLogSubFreq","TLogHAL","TOrthoN","TFreqGreater","TBGSum","TBGMean","TPOS","TELP_LDT_RT","TELP_LDT_Z","TELP_LDT_Acc","TargetFanIn","first","second","root","raw","affix","old","jcn.x","lsa.x","fsg.x","bsg.x","word_1","word_2","distance","CUE","TARGET","FSG","BSG","MSG","OSG","QSS","QFR","QCON","QPS","TSS","TFR","TCON","TPS","cue","target","fsg.y","bsg.y","msg","qcon","tcon","qfr","tfr","jcn.y","lsa.y"
"calories.few","few","calories",8,1.55,1.9,7.86,0,NA,17706,2529.43,"NN",671.61,-0.28,1,"bpa","",0.013,0,11,0.07,532.727272727273,0.285357882421616,1,548.4,0.0148256324096199,1,136.717171717172,0.279762946812615,0,-33.25,-0.0891855032430185,0,3,301.82,4.19,12.49,10,1,880,440,"JJ|NN|RB",554.88,-0.73,0.94,20,NA,NA,0,0,0,NA,NA,NA,NA,NA,"few","calories",0.884142,"calories","few",0.013,"0","0","0",11,7,"NULL","N","12","601","3.02","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camel.egypt","egypt","camel",5,5.02,2.41,8.12,1,0,6223,1555.75,"NN",611.89,-0.33,1,"script","",0.02,0,11,0.34,620.324324324324,0.711387205906008,0.945945945945946,576.333333333333,0.171655571986539,1,-75.1814671814673,-0.20806689922092,0.0183397683397684,-16.1904761904763,0.359622705893118,-0.0357142857142857,5,5.29,2.43,8.61,0,NA,1046,261.5,"NN",617.87,-0.57,1,6,"egypt","camel",0.12165035116641,0.129364881522131,0,"0.111807949","NULL","NULL","NULL","NULL","egypt","camel",0.661117,"camel","egypt",0.02,"0","0","6.4000000000000003E-3",11,1,"5.93","N","16","14","NULL","N","camel","egypt",0.02,0,0,"5.93","NULL",1,14,23.841312,0.242259
"camp.ground","ground","camp",4,51.22,3.42,9.68,8,1,3626,1208.67,"NN|VB",620.93,-0.54,1,"fpa","",0.026,0,19,0.24,601.793103448276,0.299963416186931,1,543.64,-0.151312866257853,1,-49.7306034482758,-0.403901705164128,0,-10.10875,0.204377256264238,0,6,72.47,3.57,10.79,1,1,8184,1636.8,"NN|VB",547.16,-0.78,0.97,39,NA,NA,0,0,0,NA,NA,NA,NA,NA,"ground","camp",0.796718,"camp","ground",0.026,"0","0","0",19,75,"5.69","N","14","186","5.44","N","camp","ground",0.026,0,0,"5.69","5.44",75,186,12.135628,0.177147
"can.coke","coke","can",3,5247.45,5.43,14.3,15,0,5286,2643,"VB|NN",626.62,-0.38,1,"perceptual property","",0.061,0,20,0.19,545.222222222222,0.127162926374109,1,510.923076923077,-0.354851447669167,1,-4.11111111111109,-0.0888864050181832,0,20.2587412587412,0.20984047297807,0,4,18.59,2.98,8.36,12,5,3600,1200,"NN",560.15,-0.73,0.97,24,NA,NA,0,0,0,NA,NA,NA,NA,NA,"coke","can",0.732226,"can","coke",0.061,"0","2.3E-2","2.5100000000000001E-2",20,1772,"3.61","V","9","4","5.68","N","can","coke",0.061,0,0.023,"3.61","5.68",1772,4,13.708771,0.164814
"canal.stream","stream","canal",5,6.39,2.51,7.93,1,0,9777,2444.25,"NN",714.52,-0.13,0.92,"category","",0.016,0,18,0.03,527.7,-0.180363706568575,0.9,517.75,-0.246678987027479,1,9.63333333333333,0.118518309451035,0.1,38.4924242424242,0.0410858521658702,-0.0606060606060606,6,8.04,2.61,9.36,2,0,12555,2511,"NN|VB",627.78,-0.58,1,15,"canal","stream",0.790653384607569,0.826271278019511,0,"NULL","8.46697","0.016068","0.016","0","stream","canal",0.880876,"canal","stream",0.016,"0","1.4E-2","0.1159",18,3,"5.73","N","10","51","6.24","N","canal","stream",0.016,0,0.014,"5.73","6.24",3,51,8.46697,0.016068
"candy.gum","gum","candy",5,35.78,3.26,8.49,6,3,7198,1799.5,"NN",627.85,-0.44,1,"supraordinate","",0.049,0.081,14,0.4,477.5,-0.520895242973196,1,506.923076923077,-0.3356537622853,1,82.3666666666667,0.476299919976373,0,30.3626373626374,0.203362665851577,0,3,13.39,2.84,7.87,11,8,1007,503.5,"NN",626.06,-0.6,0.91,14,"candy","gum",0.126669936009663,0.0746381319509691,0.320229431567032,"0.167354985","3.6843","0.338986","0.049","0.081","gum","candy",0.588059,"candy","gum",0.049,"8.1000000000000003E-2","0","0",14,16,"6.56","N","9","14","6.05","N","candy","gum",0.049,0.081,0,"6.56","6.05",16,14,3.6843,0.338986
"canvas.shoes","shoes","canvas",6,4.24,2.34,7.96,0,NA,7436,1487.2,"NN|JJ",713.12,-0.06,0.96,"unclassified ","",0.124,0,16,0.36,501.885714285714,-0.239063011830255,1,530.85,-0.404043727389442,1,20.7571428571428,-0.0456194790067296,0,-38.2346153846154,0.116008483810103,-0.0384615384615384,5,74.16,3.58,9.36,4,2,7124,1781,"NN|VB",574.5,-0.67,1,37,"canvas","shoes",0.0410568201172827,0,0,"NULL","12.414958","0.325782","0.124","0","shoes","canvas",0.842723,"canvas","shoes",0.124,"0","0","0",16,19,"NULL","N","12","44","6.63","N","canvas","shoes",0.124,0,0,"NULL","6.63",19,44,12.414958,0.325782
"cape.coral","coral","cape",4,8.24,2.62,8.6,14,9,4339,1446.33,"NN",606.73,-0.52,1,"script","",0.026,0,20,0.12,552.193548387097,0.258738014443402,0.903225806451613,557.458333333333,0.159716111724443,0.958333333333333,-48.3006912442397,-0.34020099739895,-0.0460829493087558,23.0916666666666,0.00498332604980972,0.0416666666666666,5,2.37,2.09,8.48,1,1,11401,2850.25,"JJ|NN",661.5,-0.37,0.91,2,NA,NA,0,0,0,NA,NA,NA,NA,NA,"coral","cape",0.864848,"cape","coral",0.026,"0","0","0",20,20,"5.86","N","11","5","5.69","N","cape","coral",0.026,0,0,"5.86","5.69",20,5,19.921112,0.100862
"captain.boss","boss","captain",7,208.27,4.03,9.96,0,NA,12730,2121.67,"NN|VB",647.86,-0.4,1,"unclassified","",0.014,0,13,0.07,505.575757575758,-0.434827957412,1,520.484848484849,-0.0942747915412532,0.96969696969697,-41.2816399286987,-0.177879397534627,0,-36.5681818181818,-0.335316238921404,0.0303030303030303,4,124.29,3.8,9.21,9,4,3180,1060,"NN|VB",595.69,-0.79,1,29,"boss","captain",0.315724830177839,0.3807523338878,0,"NULL","NULL","NULL","NULL","NULL","boss","captain",0.709983,"captain","boss",0.014,"0","5.0000000000000001E-3","2.8999999999999998E-3",13,85,"5.23","N","19","20","6.35","N","captain","boss",0.014,0,0.005,"5.23","6.35",85,20,9.468442,0.043274
"capture.kidnap","kidnap","capture",7,10.59,2.73,9.22,1,0,9674,1612.33,"NN|VB",598.29,-0.55,1,"unclassified","",0.046,0,24,0.12,550.107142857143,0.064556191842283,1,555.65,0.0512378977124098,1,8.72142857142853,0.122941541866272,-0.0285714285714286,18.7900000000001,0.314276202447514,0,6,6.49,2.52,6.44,0,NA,3636,727.2,"VB",626.73,-0.59,0.97,4,NA,NA,0,0,0,NA,NA,NA,NA,NA,"kidnap","capture",0.638161,"capture","kidnap",0.046,"0","0","2.46E-2",24,17,"NULL","V","12","0","NULL","V","capture","kidnap",0.046,0,0,"NULL","NULL",17,0,5.527855,0.082522
"caravan.desert","desert","caravan",7,1.45,1.88,7.52,0,NA,12211,2035.17,"NN",711.86,0.05,1,"script","",0.034,0,21,0.59,700.730769230769,0.888929327533455,0.884615384615385,572.9,0.349841259873989,0.9,-135.619658119658,-0.454200145008373,-0.0698005698005698,181.164516129032,0.241096147451351,-0.158064516129032,6,27.98,3.15,9.77,0,NA,16286,3257.2,"NN",608.65,-0.63,1,24,NA,NA,0,0,0,NA,NA,NA,NA,NA,"desert","caravan",0.80939,"caravan","desert",0.034,"0","1.2999999999999999E-2","0",21,18,"6.15","N","8","21","5.9","N","caravan","desert",0.034,0,0.013,"6.15","5.9",18,21,15.445208,0.576738
"carbon.atom","atom","carbon",6,5.24,2.43,8.71,1,0,10400,2080,"NN|JJ",615.89,-0.54,0.96,"fpa","",0.013,0,12,0.18,537.590909090909,0.0614134305851674,1,507.096774193548,0.0122351389255802,1,41.2139689578713,0.113970747136623,0,62.0796963946868,0.143095292539783,-0.0294117647058824,4,2.75,2.15,8.13,1,0,6764,2254.67,"NN",636.33,-0.5,0.97,14,"atom","carbon",0.209343277202431,0.107719928276491,0.115319530635329,"NULL","NULL","NULL","NULL","NULL","atom","carbon",0.776173,"carbon","atom",0.013,"0","0","5.9999999999999995E-4",12,30,"5.07","N","12","37","4.7699999999999996","N","carbon","atom",0.013,0,0,"5.07","4.77",30,37,10.828136,0.17055
"cardboard.stiff","stiff","cardboard",9,2.71,2.14,8.12,1,0,10225,1278.13,"NN",679.36,-0.34,1,"perceptual property","",0.016,0,6,0.3,519.948717948718,-0.174302827320259,1,526.95652173913,-0.119137184941446,1,-5.80056980056975,0.151581032232164,-0.0370370370370371,-55.2765217391304,-0.221470451720887,0,5,10.25,2.72,8.73,3,2,9248,2312,"JJ|NN",639.45,-0.45,0.97,15,NA,NA,0,0,0,NA,NA,NA,NA,NA,"stiff","cardboard",0.790155,"cardboard","stiff",0.016,"0","0","0",6,5,"6.42","N","18","21","4.7699999999999996","AJ","cardboard","stiff",0.016,0,0,"6.42","4.77",5,21,18.43216,0.252832
"cardinal.rule","rule","cardinal",8,4.08,2.32,7.74,0,NA,18659,2665.57,"NN|JJ",687.15,-0.19,1,"fpa","",0.05,0,12,0.06,561.291666666667,0.371005589384995,1,611.72,0.364894223255377,0.96,-20.5416666666666,-0.366792026475381,0,-115.796923076923,-0.243222693256828,0.04,4,48.14,3.39,10.72,6,0,5115,1705,"NN|VB",557.69,-0.77,0.97,28,NA,NA,0,0,0,NA,NA,NA,NA,NA,"rule","cardinal",0.814731,"cardinal","rule",0.05,"0","0","0",12,16,"5.79","AJ","21","73","2.79","N","cardinal","rule",0.05,0,0,"5.79","2.79",16,73,16.347081,0.06996
"career.goal","goal","career",6,45.2,3.36,10.17,3,0,16342,3268.4,"NN|VB",620.96,-0.44,0.97,"fpa","",0.025,0,12,0.38,531.380952380952,-0.0107065881363861,0.952380952380952,508.857142857143,-0.0869221853886137,1,-32.1409523809524,-0.112953828584008,0.0476190476190477,82.8095238095238,0.392173737073667,0,4,16.75,2.93,10.17,4,0,3845,1281.67,"NN",544.28,-0.79,0.97,29,NA,NA,0,0,0,NA,NA,NA,NA,NA,"goal","career",0.760566,"career","goal",0.025,"0","0","0",12,67,"3.63","N","21","60","3.4","N","career","goal",0.025,0,0,"3.63","3.4",67,60,12.922067,0.345869
"careless.messy","messy","careless",8,4.92,2.4,7.05,0,NA,20520,2931.43,"JJ",653.32,-0.37,1,"unclassified","",0.02,0,15,0.24,507.35,-0.0885479518965594,1,541.25,-0.0467027754652426,0.96875,20.2796296296297,-0.0460247536755818,0,-28.5,-0.103221843401246,0.03125,5,6.86,2.55,7.8,2,0,8028,2007,"JJ",597.84,-0.54,1,19,NA,NA,0,0,0,NA,NA,NA,NA,NA,"messy","careless",0.75246,"careless","messy",0.02,"0","0.02","5.3E-3",15,8,"NULL","AJ","17","3","3.3","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"caress.soft","soft","caress",6,1.35,1.85,7.03,0,NA,15370,3074,"VB",739.7,-0.02,0.82,"unclassified","",0.039,0,17,0.16,552.307692307692,-0.198951459217464,1,555.642857142857,-0.247922961713519,0.964285714285714,53.1737891737893,0.0596817641502469,0,-91.7095238095238,-0.240245363937836,0.0357142857142857,4,32.02,3.21,10.01,5,1,1142,380.67,"JJ|RB",593.81,-0.52,0.97,97,NA,NA,0,0,0,NA,NA,NA,NA,NA,"soft","caress",0.559241,"caress","soft",0.039,"0","2.8000000000000001E-2","5.4000000000000003E-3",17,1,"NULL","N","19","61","4.0999999999999996","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carnival.party","party","carnival",8,7.12,2.56,7.56,0,NA,11163,1594.71,"NN",685.5,-0.12,0.96,"category","",0.033,0,14,0.05,513.421052631579,-0.174213723120814,1,477.111111111111,-0.220266466450081,1,35.4189473684211,0.147510467074038,-0.02,75.7070707070708,0.139382696786057,0,5,233.14,4.08,11.14,6,0,5768,1442,"NN|VB",539.71,-0.8,0.94,84,NA,NA,0,0,0,NA,NA,NA,NA,NA,"party","carnival",0.677687,"carnival","party",0.033,"0","0.03","3.49E-2",14,9,"NULL","N","22","216","5.5","N","carnival","party",0.033,0,0.03,"NULL","5.5",9,216,17.214963,0.047966
"carpenter.hammer","hammer","carpenter",9,6,2.49,7.76,0,NA,24090,3011.25,"NN",642.25,-0.4,1,"script","",0.13,0,18,0.37,533.136363636364,0.0530008539692862,1,532.333333333333,0.0140427220240448,0.916666666666667,31.700371057514,0.0544997783037261,-0.0204081632653061,21.1416666666667,0.0675372741575783,0.0833333333333334,6,12.47,2.8,8.81,2,0,10375,2075,"NN|VB",618,-0.46,1,20,"carpenter","hammer",0.334222205452435,0.176987941425286,0.108628556317864,"NULL","19.593628","0.313263","0.13","0","hammer","carpenter",0.706827,"carpenter","hammer",0.13,"0","4.4999999999999998E-2","2E-3",18,6,"NULL","N","7","9","5.77","N","carpenter","hammer",0.13,0,0.045,"NULL","5.77",6,9,19.593628,0.313263
"casual.comfortable","comfortable","casual",6,7.31,2.57,8.53,0,NA,7616,1523.2,"JJ",625.4,-0.48,0.89,"synonym","",0.054,0,20,0.41,542.76,0.184518434609504,0.96,568.692307692308,0.232506040680435,1,-15.4742857142857,0.0744408183330949,-0.0314285714285714,0.598014888337389,0.108949005471935,0,11,47.22,3.38,9.7,1,0,15538,1553.8,"JJ",789.47,-0.24,0.97,19,NA,NA,0,0,0,NA,NA,NA,NA,NA,"comfortable","casual",0.693593,"casual","comfortable",0.054,"0","4.0000000000000001E-3","4.0000000000000002E-4",20,22,"NULL","AJ","23","37","NULL","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"catastrophe.tornado","tornado","catastrophe",11,2.47,2.1,6.93,0,NA,19761,1976.1,"NN",805.6,0.4,0.8,"supraordinate","",0.027,0,19,-0.02,660.47619047619,0.726629027847417,1,550.6,0.14296274791086,1,-73.4761904761905,-0.536366014417095,0,-42.9,-0.168995411629003,-0.025,7,2.55,2.12,7.42,0,NA,7659,1276.5,"NN",617.42,-0.58,1,10,NA,NA,0,0,0,NA,NA,NA,NA,NA,"tornado","catastrophe",0.836609,"catastrophe","tornado",0.027,"0","1.2999999999999999E-2","1.66E-2",19,11,"3.58","N","13","1","6.4","N","catastrophe","tornado",0.027,0,0.013,"3.58","6.4",11,1,14.136873,-0.005906
"catch.ball","ball","catch",5,135.51,3.84,10.03,6,3,7740,1935,"VB|NN",608.33,-0.54,1,"unclassified","",0.155,0,19,0.34,496.236842105263,-0.393606102621775,0.973684210526316,533.666666666667,-0.030952856263057,1,11.4904306220096,-0.203370754432084,0.0263157894736842,20.75,0.0626539308657424,0,4,104.96,3.73,10.56,19,4,5458,1819.33,"NN",643.9,-0.6,0.94,85,NA,NA,0,0,0,NA,NA,NA,NA,NA,"ball","catch",0.656411,"catch","ball",0.155,"0","3.9E-2","1.24E-2",19,43,"4.0199999999999996","V","17","110","6.08","N","catch","ball",0.155,0,0.039,"4.02","6.08",43,110,9.038568,0.309377
"cattle.horse","horse","cattle",6,13.22,2.83,8.25,4,2,10492,2098.4,"NN",654.89,-0.34,1,"category","",0.02,0,14,0.18,569.72,-0.154523292450178,1,498.30303030303,-0.221179035279036,1,-37.168275862069,0.332995812247506,0,-29.4935064935065,-0.0732768944342204,0,5,92.88,3.68,10.08,6,2,7448,1862,"NN|VB",626.21,-0.64,1,79,NA,NA,0,0,0,NA,NA,NA,NA,NA,"horse","cattle",0.582759,"cattle","horse",0.02,"0","3.5999999999999997E-2","4.0399999999999998E-2",14,97,"6.79","N","16","117","6.03","N","cattle","horse",0.02,0,0.036,"6.79","6.03",97,117,2.514762,0.102557
"cause.why","why","cause",5,310.04,4.2,11.29,1,0,5770,1442.5,"NN|VB",565.18,-0.63,1,"unclassified ","",0.033,0,19,0.24,495.454545454545,-0.591329603787693,0.96969696969697,542.233333333333,-0.132209582405356,1,28.2597402597402,0.322315869017501,0.0303030303030303,33.5814814814814,0.089025538792568,0,3,2248.76,5.06,12.8,5,2,481,240.5,"minor",561.65,-0.82,0.91,14,NA,NA,0,0,0,NA,NA,NA,NA,NA,"why","cause",0.449934,"cause","why",0.033,"0","2.3E-2","7.7000000000000002E-3",19,130,"2.9","N","6","404","2.63","AD","cause","why",0.033,0,0.023,"2.9","2.63",130,404,11.151504,0.163452
"cave.opening","opening","cave",4,13.98,2.85,8.92,16,9,4087,1362.33,"NN|VB",589.61,-0.56,1,"fpa","",0.026,0,11,0.19,504.744186046512,-0.497681666556542,1,498.5,-0.164313554868356,1,40.608755129959,0.263342235252207,0,10.2777777777778,0.147731702859528,0,7,38.43,3.29,10.33,0,NA,18562,3093.67,"NN|VB",556.78,-0.7,0.97,10,NA,NA,0,0,0,NA,NA,NA,NA,NA,"opening","cave",0.88159,"cave","opening",0.026,"0","0","1.54E-2",11,9,"5.79","N","13","34","NULL","N","cave","opening",0.026,0,0,"5.79","NULL",9,34,17.053497,0.152758
"cavity.cave","cave","cavity",6,2.98,2.18,6.99,0,NA,5832,1166.4,"NN",663.62,-0.28,1,"unclassified","",0.014,0,9,0.08,545.659574468085,-0.167729734099387,1,579.58064516129,-0.0753838295831231,1,-44.0806270996641,-0.185074062560416,-0.0526315789473685,-112.853372434018,-0.381958587265039,0,4,13.98,2.85,8.92,16,9,4087,1362.33,"NN|VB",603.59,-0.67,0.94,14,NA,NA,0,0,0,NA,NA,NA,NA,NA,"cave","cavity",0.765656,"cavity","cave",0.014,"0","0","1.6799999999999999E-2",9,12,"5.6","N","11","9","5.79","N","cavity","cave",0.014,0,0,"5.6","5.79",12,9,19.017915,0.044736
"ceiling.wall","wall","ceiling",7,8.35,2.63,8.52,2,0,16936,2822.67,"NN",699.46,-0.02,1,"category","",0.041,0.077,10,0.71,519.95,-0.0686450828328518,1,491,-0.327381546254144,0.96,-2.67000000000007,-0.313523439598183,0,21,0.211636391846242,0.04,4,70.69,3.56,11.43,13,3,5345,1781.67,"NN|VB",613.45,-0.55,1,45,"ceiling","wall",0.419296210757563,0.417800412762921,0.843380295347624,"0.305282074","14.934512","0.62667","0.041","0.077","wall","ceiling",0.541509,"ceiling","wall",0.041,"7.6999999999999999E-2","2E-3","2.8299999999999999E-2",10,31,"6.02","N","23","160","5.85","N","ceiling","wall",0.041,0.077,0.002,"6.02","5.85",31,160,14.934512,0.62667
"cellar.attic","attic","cellar",6,9.37,2.68,7.04,1,1,9967,1993.4,"NN",700.41,-0.2,1,"antonym","",0.047,0.04,10,0.62,534.851851851852,-0.0158352966468372,1,654.461538461538,0.613961308757532,1,42.8789173789174,-0.0184375017221218,-0.0769230769230769,-130.415026833631,-0.570657167402714,-0.0697674418604651,5,7.84,2.6,7.24,1,0,11922,2980.5,"NN",716.19,-0.27,0.94,6,"attic","cellar",0.604973366947387,0.340316459861374,0.3017586616664,"0.667547171","5.974537","0.488051","0.04","0.047","attic","cellar",0.524915,"cellar","attic",0.047,"0.04","4.1000000000000002E-2","6.0999999999999999E-2",10,26,"6.83","N","21","16","NULL","N","cellar","attic",0.047,0.04,0.041,"6.83","NULL",26,16,5.974537,0.488051
"cello.bass","bass","cello",5,1.86,1.98,7.28,3,2,6452,1613,"NN",812.25,0.19,0.92,"category","",0.04,0.014,13,0.24,714.285714285714,0.82858816012777,0.952380952380952,574.054054054054,0.303595436994763,0.918918918918919,-92.329192546584,-0.349470164206836,-0.082815734989648,-12.6254826254826,-0.0307208370383584,0.00965250965250963,4,7.55,2.59,9.75,14,3,3800,1266.67,"NN",612.61,-0.62,0.97,10,"bass","cello",0.328594516222186,0.138481313981246,0,"0.39452082","11.209631","0.219012","0.014","0.04","bass","cello",0.638079,"cello","bass",0.04,"1.4E-2","3.0000000000000001E-3","1.6899999999999998E-2",13,0,"NULL","N","14","16","5.43","N","cello","bass",0.04,0.014,0.003,"NULL","5.43",0,16,11.209631,0.219012
"cement.concrete","concrete","cement",6,4.59,2.37,7.64,1,0,11218,2243.6,"NN|VB",764.22,0.08,0.92,"synonym","",0.085,0.103,12,0.66,513.153846153846,-0.400937339380406,1,549.926829268293,0.0425962315307862,0.975609756097561,23.9548494983277,0.49120637799472,0,11.3324299909666,0.30472412733204,0.024390243902439,8,7.43,2.58,8.98,0,NA,19564,2794.86,"JJ|NN|VB",725.36,-0.33,0.97,15,"cement","concrete",0.680700519986084,0.592643726607046,0.774257265411373,"NULL","1.593308","0.619195","0.085","0.103","concrete","cement",0.478456,"cement","concrete",0.085,"0.10299999999999999","6.0000000000000001E-3","7.3599999999999999E-2",12,11,"6.42","N","15","48","5.5","AJ","cement","concrete",0.085,0.103,0.006,"6.42","5.5",11,48,1.593308,0.619195
"cemetery.grave","grave","cemetery",8,8.69,2.65,7.3,0,NA,16929,2418.43,"NN",764.96,0.16,0.88,"script","",0.146,0.022,11,0.4,653.764705882353,0.391043325416465,1,512.380952380952,-0.163759042234168,1,-120.764705882353,-0.32871519099575,0,81.5735930735931,0.202880162532946,0,5,26.27,3.13,8.93,9,2,6142,1535.5,"JJ|NN|VB",632.47,-0.67,0.97,13,"cemetery","grave",0.715652020143517,0.397945152953593,0.557752347574802,"NULL","15.546297","0.355906","0.146","0.022","grave","cemetery",0.407598,"cemetery","grave",0.146,"2.1999999999999999E-2","0.02","0.12239999999999999",11,15,"NULL","N","22","33","5.27","N","cemetery","grave",0.146,0.022,0.02,"NULL","5.27",15,33,15.546297,0.355906
"central.center","center","central",7,24.75,3.1,10.66,0,NA,16328,2721.33,"JJ|NN",634.59,-0.43,1,"synonym","",0.041,0,18,0.28,507.971428571429,-0.204252568615599,1,611.906976744186,0.324246025247819,1,-16.4,-0.166215002409956,0,-92.6964504283966,-0.435142599535574,0,6,45.78,3.37,11.38,1,0,19023,3804.6,"NN|VB",560.78,-0.78,1,20,NA,NA,0,0,0,NA,NA,NA,NA,NA,"center","central",0.695167,"central","center",0.041,"0","4.2000000000000003E-2","0.15290000000000001",18,164,"NULL","AJ","11","224","3.63","N","central","center",0.041,0,0.042,"NULL","3.63",164,224,7.846091,0.206254
"ceramics.crafts","crafts","ceramics",8,0.57,1.48,6.44,0,NA,15614,2230.57,"NN",781.19,0.37,1,"category","",0.02,0.013,15,0.19,607.428571428571,0.557996376366012,1,540.96875,0.0886121962956595,1,-39.0285714285715,-0.0206329457726984,0,87.0697115384615,0.513930110397488,0,6,1.37,1.85,7.81,2,0,5304,1060.8,"NN|VB",614.31,-0.65,0.97,3,"ceramics","crafts",0.426655318668389,0.199563926722218,0.116167721002852,"NULL","NULL","NULL","0.02","0.013","crafts","ceramics",0.609747,"ceramics","crafts",0.02,"1.2999999999999999E-2","0","2.7199999999999998E-2",15,3,"NULL","N","13","3","NULL","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ceremony.graduation","graduation","ceremony",8,15.82,2.91,8.53,0,NA,19073,2724.71,"NN",710.76,-0.04,1,"bpa","",0.065,0.039,16,0.17,564.609756097561,-0.0422145968196017,1,586.352941176471,0.231838826169419,1,65.0569105691056,0.450266260050162,0,-1.37468030690536,0.196049948684996,0,10,9.8,2.7,7.87,0,NA,21777,2419.67,"NN",705.68,-0.19,1,2,NA,NA,0,0,0,NA,NA,NA,NA,NA,"ceremony","graduation",0.572883,"ceremony","graduation",0.065,"3.9E-2","0","5.0000000000000001E-4",16,18,"4.58","N","27","11","4.28","N","ceremony","graduation",0.065,0.039,0,"4.58","4.28",18,11,3.311763,0.154683
"chalk.crayon","crayon","chalk",5,3.59,2.26,7.42,0,NA,5832,1458,"NN|VB",603.68,-0.55,1,"category","",0.02,0,7,0.33,520.85,-0.0894455148360541,0.95,531.761904761905,0.102336329517055,1,97.86875,0.80294760172792,0.05,50.0413739266198,0.388683760620535,-0.0163934426229508,6,0.41,1.34,5.73,0,NA,9023,1804.6,"NN|VB",725.42,-0.34,1,6,"chalk","crayon",0.302609334834184,0.0686182867955637,0.17310816395982,"0.180562585","7.665831","0.286107","0.02","0","crayon","chalk",0.65535,"chalk","crayon",0.02,"0","0","0",7,3,"6.21","N","12","1","6.12","N","chalk","crayon",0.02,0,0,"6.21","6.12",3,1,7.665831,0.286107
"chalkboard.write","write","chalkboard",10,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"functional property","",0.04,0,11,0.36,551.142857142857,0.527580118189064,0.928571428571429,547.454545454546,0.0825726387541218,0.96969696969697,-58.936974789916,-0.794715732490387,0.042016806722689,-36.9045454545455,-0.144571395100738,0.0303030303030303,5,126.8,3.81,11.8,4,2,9565,2391.25,"VB",608,-0.68,1,54,NA,NA,0,0,0,NA,NA,NA,NA,NA,"write","chalkboard",0.726946,"chalkboard","write",0.04,"0","1.9E-2","0",11,0,"NULL","N","16","106","4.42","V",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"champagne.beer","beer","champagne",9,31.29,3.2,7.26,0,NA,8886,1110.75,"NN",779.74,0.12,1,"category","",0.031,0,14,0.49,576.1,0.184461159355768,1,549.47619047619,-0.262214921748442,0.952380952380952,-6.83529411764709,-0.150041347580983,-0.0294117647058824,60.5238095238095,0.419668668347723,0.0476190476190477,4,75.49,3.59,10.11,12,1,7890,2630,"NN",587.18,-0.66,1,67,"beer","champagne",0.671808381179078,0.626122977041756,0,"NULL","NULL","NULL","NULL","NULL","beer","champagne",0.52794,"champagne","beer",0.031,"0","6.0999999999999999E-2","3.85E-2",14,13,"6.12","N","22","34","5.83","N","champagne","beer",0.031,0,0.061,"6.12","5.83",13,34,7.216205,0.43848
"champion.boxer","boxer","champion",8,20.92,3.03,9.02,0,NA,12420,1774.29,"NN|VB",740.54,-0.03,1,"unclassifed","",0.014,0.013,14,0.2,514.346153846154,-0.344620347147791,1,491.137931034483,-0.120362540565944,1,37.5338461538462,0.265035468844037,-0.04,6.57174638487209,-0.122409015782268,0,5,3.84,2.29,7.46,5,2,7110,1777.5,"NN",574.91,-0.69,0.94,7,"boxer","champion",0.155285452535932,0.0928108951960548,0.051508102475971,"NULL","12.84373","0.176617","0.013","0.014","boxer","champion",0.492175,"champion","boxer",0.014,"1.2999999999999999E-2","0","0",14,23,"NULL","N","14","1","NULL","N","champion","boxer",0.014,0.013,0,"NULL","NULL",23,1,12.84373,0.176617
"channel.marker","marker","channel",7,24.41,3.1,10.6,1,0,10520,1753.33,"NN|VB",642.08,-0.28,1,"unclassified","",0.013,0,13,0.05,535.884615384615,0.0040004618282059,1,540.611111111111,-0.140971732327778,1,8.90705128205127,0.0291285045823908,0,66.8703703703704,0.278538834813305,0,6,5.24,2.43,8.23,4,2,11975,2395,"NN",591.37,-0.65,1,5,NA,NA,0,0,0,NA,NA,NA,NA,NA,"marker","channel",0.923963,"channel","marker",0.013,"0","0","0",13,16,"4.79","N","20","5","NULL","N","channel","marker",0.013,0,0,"4.79","NULL",16,5,16.14622,0.014934
