"index","TargetWord","Prime","PLength","PSubFreq","PLogSubFreq","PLogHAL","POrthoN","PFreqGreater","PBGSum","PBGMean","PPOS","PELP.NT.RT","PELP.NT.Z","PELP.NT.Acc","Relation1","Relation2","FAS","BAS","CueFanOut","LSA","NT.200ms.RT","NT.200ms.Z","NT.200ms.Acc","NT.1200ms.RT","NT.1200ms.Z","NT.1200ms.Acc","NT.200ms.RT.Priming","NT.200ms.Z.Priming","NT.200ms.Acc.Priming","NT.1200ms.RT.Priming","NT.1200ms.Z.Priming","NT.1200ms.Acc.Priming","TLength","TSubFreq","TLogSubFreq","TLogHAL","TOrthoN","TFreqGreater","TBGSum","TBGMean","TPOS","TELP_LDT_RT","TELP_LDT_Z","TELP_LDT_Acc","TargetFanIn","first","second","root","raw","affix","old","jcn.x","lsa.x","fsg.x","bsg.x","word_1","word_2","distance","CUE","TARGET","FSG","BSG","MSG","OSG","QSS","QFR","QCON","QPS","TSS","TFR","TCON","TPS","cue","target","fsg.y","bsg.y","msg","qcon","tcon","qfr","tfr","jcn.y","lsa.y"
"addict.dependent","dependent","addict",6,5.35,2.44,7.54,0,NA,6565,1313,"NN",667.04,-0.31,0.93,"synonym","",0.013,0,9,0.41,667.8,0.266956915597331,1,596,0.414884364392925,1,-28.2242424242423,0.296386747309179,-0.0606060606060606,-49.5172413793103,-0.236641297587688,0,9,2.24,2.06,9.11,1,0,19951,2493.88,"JJ|NN",671.25,-0.42,0.97,4,"addict","dependent",0.3694304458258,0.20194875157628,0.107066173359459,"NULL","15.316047","0.358522","0.013","0","dependent","addict",0.802247,"addict","dependent",0.013,"0","0","9.5999999999999992E-3",9,1,"NULL","N","12","40","NULL","AJ","addict","dependent",0.013,0,0,"NULL","NULL",1,40,15.316047,0.358522
"addiction.habit","habit","addiction",9,3.9,2.3,8.14,0,NA,18456,2307,"NN",637.41,-0.48,1,"supraordinate","",0.014,0.021,8,0.43,507.769230769231,-0.11785375387731,1,500.857142857143,-0.219212968252632,1,-4.67548076923077,-0.123217626345437,0,129.260504201681,0.39030941060648,0,5,14.47,2.87,8.78,0,NA,4944,1236,"NN",636.56,-0.57,0.94,11,NA,NA,0,0,0,NA,NA,NA,NA,NA,"habit","addiction",0.623422,"addiction","habit",0.014,"2.1000000000000001E-2","0","3.0000000000000001E-3",8,3,"NULL","N","17","23","3.45","N","addiction","habit",0.014,0.021,0,"NULL","3.45",3,23,17.661916,0.393575
"addition.plus","plus","addition",8,7.75,2.6,10.76,1,0,17202,2457.43,"NN",718.68,-0.24,1,"synonym","",0.078,0,8,0.44,551.84,0.1159752052853,1,516.371428571429,-0.0192141969634379,1,3.98608695652172,-0.0304522218194222,0,21.1285714285714,-0.0529694496805205,-0.025,4,47.04,3.38,11.51,2,0,2826,942,"minor",585.44,-0.68,1,9,"addition","plus",0.580609815538887,0.402263854574883,0.481290079986336,"0.499583116","0","0.364258","0.078","0","plus","addition",0.711098,"addition","plus",0.078,"0","1.0999999999999999E-2","4.5999999999999999E-3",8,142,"3.42","N","4","52","2.1800000000000002","PP","addition","plus",0.078,0,0.011,"3.42","2.18",142,52,0,0.364258
"adjective.blue","blue","adjective",9,0.49,1.42,6.95,0,NA,11226,1403.25,"NN",749.14,0.25,0.75,"supraordinate","",0.014,0,11,0.07,583.074074074074,0.213631011401609,1,505.6,0.0071064552000743,0.95,82.3830687830689,0.480458602862607,0,-22.8307692307692,-0.239672618246234,0.05,4,102.39,3.72,11.4,4,0,2164,721.33,"JJ|NN",573.65,-0.78,1,62,NA,NA,0,0,0,NA,NA,NA,NA,NA,"blue","adjective",0.938742,"adjective","blue",0.014,"0","0","0",11,2,"2.92","N","14","143","4.49","N","adjective","blue",0.014,0,0,"2.92","4.49",2,143,17.152953,0.033292
"adjourn.finish","finish","adjourn",7,1.29,1.83,5.12,0,NA,4733,788.83,"VB",657.08,-0.34,0.93,"synonym","",0.04,0,16,0,560.230769230769,0.169077660411699,1,520,-0.0160599977898739,1,-44.8623481781377,-0.0143455811179515,0,28.36,-0.0607018593087567,-0.04,6,98.92,3.7,9.82,0,NA,13267,2653.4,"VB|NN",617.59,-0.64,0.97,32,NA,NA,0,0,0,NA,NA,NA,NA,NA,"finish","adjourn",0.751801,"adjourn","finish",0.04,"0","2.3E-2","4.2700000000000002E-2",16,2,"NULL","V","8","39","2.78","V","adjourn","finish",0.04,0,0.023,"NULL","2.78",2,39,5.580451,-0.019503
"adjustment.bra","bra","adjustment",10,3.1,2.2,8.45,0,NA,14967,1663,"NN",594.92,-0.51,0.96,"unclassifed","",0.02,0,14,0.06,577.714285714286,0.00482256829350011,1,515.060606060606,0.0726001142060345,0.96969696969697,-69.7809523809523,-0.379847174490968,-0.0333333333333333,20.3177723177723,0.0694692124613024,0.0303030303030303,3,10.92,2.75,8.22,2,1,3685,1842.5,"NN",659.28,-0.46,0.94,10,NA,NA,0,0,0,NA,NA,NA,NA,NA,"bra","adjustment",0.825392,"adjustment","bra",0.02,"0","0","0",14,35,"NULL","N","15","0","6.25","N","adjustment","bra",0.02,0,0,"NULL","6.25",35,0,23.072309,0.044656
"adolescent.juvenile","juvenile","adolescent",10,1.84,1.98,7.33,0,NA,20185,2242.78,"NN|JJ",689.15,-0.19,1,"synonym","",0.014,0.013,8,0.33,559.631578947368,-0.247513824760648,0.947368421052632,531.64,0.188826945579989,1,33.46519524618,0.874165257898475,0.0526315789473685,126.73037037037,0.290749430112201,-0.0370370370370371,8,5.12,2.42,7.62,0,NA,12292,1756,"JJ",718.22,-0.17,0.97,2,"adolescent","juvenile",0.761265532450196,0.712045556531405,0.370949594598126,"0.721281428","2.437069","0.31405","0.014","0.013","juvenile","adolescent",0.606574,"adolescent","juvenile",0.014,"1.2999999999999999E-2","0","6.2799999999999995E-2",8,18,"5.32","AJ","12","18","NULL","ADJ","adolescent","juvenile",0.014,0.013,0,"5.32","NULL",18,18,2.437069,0.31405
"adventure.journey","journey","adventure",9,13.43,2.84,9.46,0,NA,16492,2061.5,"NN",629.75,-0.47,1,"synonym","",0.045,0.014,18,0.56,583.535714285714,-0.214066236521773,1,501.56,-0.0254055051230225,1,-56.6357142857144,0.29593334775646,0,-9.26588235294116,-0.232667490919921,0,7,19.94,3.01,8.81,1,0,6157,1026.17,"NN|VB",641.47,-0.55,1,8,NA,NA,0,0,0,NA,NA,NA,NA,NA,"journey","adventure",0.535119,"adventure","journey",0.045,"1.4E-2","1E-3","2.3900000000000001E-2",18,14,"NULL","N","12","28","NULL","N","adventure","journey",0.045,0.014,0.001,"NULL","NULL",14,28,13.341694,0.483023
"advertisement.newspaper","newspaper","advertisement",13,1.2,1.79,8.49,0,NA,29341,2445.08,"NN",686.83,-0.02,0.92,"script","",0.118,0,18,0.57,628.615384615385,0.543227289670163,0.961538461538462,558.928571428571,0.155762001769261,1,-73.151098901099,-0.375800158968405,0.00274725274725274,14.8133640552995,0.265437161233737,0,9,23.69,3.08,9.73,0,NA,13321,1665.13,"NN",600.12,-0.56,1,37,NA,NA,0,0,0,NA,NA,NA,NA,NA,"newspaper","advertisement",0.543527,"advertisement","newspaper",0.118,"0","1.6E-2","1.11E-2",18,2,"NULL","N","23","65","6.56","N","advertisement","newspaper",0.118,0,0.016,"NULL","6.56",2,65,17.239299,0.504453
"advise.advice","advice","advise",6,12.2,2.79,9.11,1,1,6679,1335.8,"VB",612.79,-0.57,1,"unclassifed","",0.02,0,19,0.52,624,0.399090350977327,1,537.15625,0.187875299365338,1,-64.7741935483871,-0.488468903880258,0,31.8794642857143,-0.360160445006198,0,6,47.98,3.39,10.7,1,0,5813,1162.6,"NN",599.59,-0.67,1,10,"advice","advise",0.464267755126601,0.397018081171953,0.353116289483336,"0.523419319","NULL","NULL","NULL","NULL","advice","advise",0.53084,"advise","advice",0.02,"0","5.0000000000000001E-3","7.3300000000000004E-2",19,10,"NULL","V","20","51","2.08","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aim.toothpaste","toothpaste","aim",3,14.86,2.88,8.97,9,6,1805,902.5,"NN|VB",595.96,-0.53,1,"supraordinate","",0.068,0,13,0.08,571.695652173913,0.153235788247829,1,593.75,0.385370917086631,1,37.4581939799332,0.0955725323013994,0,-1.32142857142856,0.120865789266481,0,10,3.14,2.21,6.57,0,NA,15042,1671.33,"NN",641.54,-0.41,1,5,NA,NA,0,0,0,NA,NA,NA,NA,NA,"toothpaste","aim",0.996011,"aim","toothpaste",0.068,"0","0","0",13,37,"3.4","V","13","1","NULL","N","aim","toothpaste",0.068,0,0,"3.4","NULL",37,1,20.579096,0.074926
"aircraft.pilot","pilot","aircraft",8,9.45,2.68,9.75,0,NA,6458,922.57,"NN",582.25,-0.6,1,"script","",0.054,0,12,0.8,565.625,-0.017710604146073,1,533.787878787879,-0.178667477691171,1,-19.5215517241379,0.012745363028852,0,-42.6340326340326,0.0346142236618812,0,5,26.67,3.13,9.68,1,0,4627,1156.75,"NN|VB",573.77,-0.81,1,10,"aircraft","pilot",0.612429707201747,0.488032334022208,0.647101068315302,"NULL","12.427609","0.777834","0.054","0","pilot","aircraft",0.467582,"aircraft","pilot",0.054,"0","5.0000000000000001E-3","0.2999",12,70,"NULL","N","8","44","5.95","N","aircraft","pilot",0.054,0,0.005,"NULL","5.95",70,44,12.427609,0.777834
"alarm.morning","morning","alarm",5,29.84,3.18,8.63,0,NA,8631,2157.75,"NN|VB",589.32,-0.76,1,"unclassified","",0.042,0,12,0.49,552.5,0.125724253696596,1,515.923076923077,0.0782605973919775,1,7.5689655172414,-0.119907650659299,0,112.236013986014,0.291265450485949,0,7,439,4.35,10.5,1,0,16523,2753.83,"NN",596.39,-0.68,0.97,28,"alarm","morning",0.352524155540583,0.354956299257894,0.321141602739662,"NULL","14.197689","0.440926","0.042","0","morning","alarm",0.754663,"alarm","morning",0.042,"0","1E-3","0",12,16,"4.8600000000000003","N","18","211","5.1100000000000003","N","alarm","morning",0.042,0,0.001,"4.86","5.11",16,211,14.197689,0.440926
"alcohol.drink","drink","alcohol",7,16.57,2.93,9.56,0,NA,8157,1359.5,"NN",585.64,-0.57,1,"supraordinate","",0.151,0.049,12,0.79,587.8,0.0931639396945451,1,459.2,-0.340036453952804,0.933333333333333,-45.8285714285714,-0.180489763495631,0,8.52000000000004,-0.0949329747137306,0.0666666666666667,5,247.39,4.1,9.9,3,0,10451,2612.75,"VB|NN",560.18,-0.73,1,101,NA,NA,0,0,0,NA,NA,NA,NA,NA,"drink","alcohol",0.475699,"alcohol","drink",0.151,"4.9000000000000002E-2","5.5E-2","3.2099999999999997E-2",12,13,"6.87","N","20","82","4.95","V","alcohol","drink",0.151,0.049,0.055,"6.87","4.95",13,82,0.336332,0.743693
"algae.pool","pool","algae",5,0.43,1.36,7.73,0,NA,3790,947.5,"NN",767.37,0.25,0.96,"script","",0.041,0,16,0.18,679.857142857143,0.683247593634407,1,498.833333333333,-0.219166042998172,1,-88.0879120879122,-0.695156153823754,0,103.630952380952,0.568636141260441,0,4,46.98,3.38,9.69,9,3,3299,1099.67,"NN|VB",581.06,-0.74,1,31,NA,NA,0,0,0,NA,NA,NA,NA,NA,"pool","algae",0.783315,"algae","pool",0.041,"0","2E-3","1.5100000000000001E-2",16,7,"NULL","N","13","111","6.29","N","algae","pool",0.041,0,0.002,"NULL","6.29",7,111,17.515282,0.199612
