"Prime","TargetWord","index","PLength","PSubFreq","PLogSubFreq","PLogHAL","POrthoN","PFreqGreater","PBGSum","PBGMean","PPOS","PELP.LDT.RT","PELP.LDT.Z","PELP.LDT.Acc","Relation1","Relation2","FAS","BAS","CueFanOut","LSA","LDT.200ms.RT","LDT.200ms.Z","LDT.200ms.Acc","LDT.1200ms.RT","LDT.1200ms.Z","LDT.1200ms.Acc","LDT.200ms.RT.Priming","LDT.200ms.Z.Priming","LDT.200ms.Acc.Priming","LDT.1200ms.RT.Priming","LDT.1200ms.Z.Priming","LDT.1200ms.Acc.Priming","TLength","TSubFreq","TLogSubFreq","TLogHAL","TOrthoN","TFreqGreater","TBGSum","TBGMean","TPOS","TELP_LDT_RT","TELP_LDT_Z","TELP_LDT_Acc","TargetFanIn","first","second","root","raw","affix","old","jcn.x","lsa.x","fsg.x","bsg.x","word_1","word_2","distance","CUE","TARGET","FSG","BSG","MSG","OSG","QSS","QFR","QCON","QPS","TSS","TFR","TCON","TPS","cue","target","fsg.y","bsg.y","msg","qcon","tcon","qfr","tfr","jcn.y","lsa.y","X.x","TCosine_Set","Traw_feat_set","Troot_feat_set","X.y","PCosine_Set","Praw_feat_set","Proot_feat_set"
"abdomen","body","abdomen.body",7,3.35,2.24,7.15,0,NA,8382,1397,"NN",806.13,0.01,0.89,"category","",0.072,0,12,0.46,528.5625,-0.579275105850387,0.96875,601.606060606061,-0.477008707325188,1,105.90625,0.233611832137254,0.03125,80.0501893939394,0.210615366276603,0,4,195.53,4,11.66,4,0,1449,483,"NN",577.58,-0.63,1,84,NA,NA,0,0,0,NA,NA,NA,NA,NA,"body","abdomen",0.61687,"abdomen","body",0.072,"0","0.02","4.5999999999999999E-3",12,6,"6.83","N","31","276","6.58","N","abdomen","body",0.072,0,0.02,"6.83","6.58",6,276,10.106829,0.379092,423,86,15,6,2,41,8,6
"abnormal","insane","abnormal.insane",8,2.9,2.17,7.7,0,NA,9895,1413.57,"JJ",684.91,-0.19,1,"unclassified","",0.014,0,13,0.11,804.8125,0.236569505414998,0.96875,645.1875,0.0289077821613342,0.9375,8.4375,0.147972274466555,0,3,-0.00709058446758632,-0.03125,6,38.69,3.3,8.79,0,NA,15260,3052,"JJ|NN",627.15,-0.64,0.97,3,NA,NA,0,0,0,NA,NA,NA,NA,NA,"insane","abnormal",0.726013,"abnormal","insane",0.014,"0","6.0000000000000001E-3","1.54E-2",13,3,"NULL","AJ","11","13","NULL","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2077,13,18,9,6,14,7,5
"abstract","thought","abstract.thought",8,2.18,2.05,9.06,0,NA,12196,1742.29,"JJ|NN|VB",667.91,-0.4,0.97,"fpa","",0.021,0,18,0.19,594.939393939394,-0.346072799431247,1,716.645161290323,-0.0657883469088718,1,12.654356060606,0.207668656501335,-0.03125,58.6275659824047,0.0695643100317023,-0.0303030303030303,7,808.47,4.62,12.07,0,NA,5320,886.67,"VB|NN",606.5,-0.62,1,46,NA,NA,0,0,0,NA,NA,NA,NA,NA,"thought","abstract",0.94462,"abstract","thought",0.021,"0","8.9999999999999993E-3","7.0000000000000001E-3",18,34,"NULL","AJ","9","442","1.28","N","abstract","thought",0.021,0,0.009,"NULL","1.28",34,442,2.250899,0.17161,3986,21,13,5,8,5,9,5
"accept","understand","accept.understand",6,52.78,3.43,10.81,1,0,4357,871.4,"VB",556.39,-0.86,0.97,"unclassified ","",0.047,0,18,0.36,612.645161290323,-0.127051556894503,0.967741935483871,742.0625,0.0926880509813553,0.9375,55.8387096774194,0.165445686905931,0.032258064516129,-30.65625,0.00275664930406655,0.03125,10,482.45,4.39,11.59,0,NA,24535,2726.11,"VB",743.09,-0.22,0.94,40,NA,NA,0,0,0,NA,NA,NA,NA,NA,"understand","accept",0.553681,"accept","understand",0.047,"0","2E-3","0",18,72,"NULL","V","12","137","2.33","V","accept","understand",0.047,0,0.002,"NULL","2.33",72,137,2.668702,0.278368,4166,9,12,5,13,227,21,21
"account","for","account.for",7,44.71,3.36,11.02,0,NA,10710,1785,"NN|VB",619.38,-0.68,1,"fpa","",0.021,0,14,0.2,808.5,0.26286623850952,0.96875,677,0.381724378023376,0.8125,-77.65625,-0.296109360071894,0,-8.90625,-0.356960753964729,0.03125,3,6895.1,5.55,15.42,7,0,3344,1672,"minor",595.21,-0.73,0.97,7,NA,NA,0,0,0,NA,NA,NA,NA,NA,"for","account",0.880695,"account","for",0.021,"0","0","0",14,117,"3.63","N","13","9489","2.36","PRP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1595,9,16,5,17,32,22,11
"accurate","precise","accurate.precise",8,7.84,2.6,9.98,0,NA,15385,2197.86,"JJ",728.24,-0.22,1,"synonym","",0.134,0.167,15,0.62,731.645161290323,0.626640774110493,0.870967741935484,784.34375,0.395192628255592,0.875,47.4798387096774,0.0296874818980125,0.00403225806451613,71.0501893939394,0.337774835039824,0.0643939393939394,7,5.2,2.42,8.82,1,0,12964,2160.67,"JJ",665.72,-0.41,1,8,"accurate","precise",0.439493258186705,0.446473846949609,0,"0.399117251","NULL","NULL","0.134","0.167","precise","accurate",0.413735,"accurate","precise",0.134,"0.16700000000000001","0.01","2.3800000000000002E-2",15,35,"NULL","AJ","8","33","NULL","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3027,4,7,5,20,9,5,5
"accuse","court","accuse.court",6,5.69,2.46,8.24,0,NA,5844,1168.8,"VB",626.36,-0.52,1,"script","",0.03,0,20,0.4,761.75,-0.0209430306569441,1,687.59375,-0.00480787204364776,1,-104.28125,0.155101539314028,-0.03125,-73.4969758064516,-0.111899158361084,0,5,100.73,3.71,10.96,1,0,6505,1626.25,"NN|VB",586.84,-0.71,0.94,49,NA,NA,0,0,0,NA,NA,NA,NA,NA,"court","accuse",0.822334,"accuse","court",0.03,"0","2.4E-2","6.7999999999999996E-3",20,10,"NULL","V","17","230","5.05","N","accuse","court",0.03,0,0.024,"NULL","5.05",10,230,16.675282,0.333672,957,79,28,10,21,7,9,5
"ace","poker","ace.poker",3,14.73,2.88,8.85,11,5,3096,1548,"NN",579.03,-0.61,1,"script","",0.028,0,15,0.17,657.96875,0.0733754654545749,0.96875,654.3125,-0.328520530785328,0.96875,-27.2590725806451,-0.235849919222269,-0.001008064516129,30.53125,0.213454583467363,0,5,16.06,2.91,8.42,5,1,8364,2091,"NN",636.56,-0.53,0.94,11,NA,NA,0,0,0,NA,NA,NA,NA,NA,"poker","ace",0.679721,"ace","poker",0.028,"0","4.3999999999999997E-2","0",15,15,"3.78","N","10","6","4.92","N","ace","poker",0.028,0,0.044,"3.78","4.92",15,6,15.696123,0.162376,2978,2,8,5,22,7,7,5
"achieve","succeed","achieve.succeed",7,7.33,2.57,9.65,0,NA,7701,1283.5,"VB",702.82,-0.49,0.97,"unclassified","",0.038,0.017,17,0.44,612.151515151515,-0.173499196082419,1,695.548387096774,-0.130892396889154,1,41.13880742913,0.22087880724828,0,22.633431085044,0.266888801248898,-0.0303030303030303,7,9.45,2.68,9,0,NA,8515,1419.17,"VB",619.56,-0.58,0.97,10,"achieve","succeed",0.51710305010798,0.545737738488161,0.133005329571143,"0.416725948","0.668787","0.41737","0.038","0.017","succeed","achieve",0.504388,"achieve","succeed",0.038,"1.7000000000000001E-2","8.0000000000000002E-3","2.6100000000000002E-2",17,51,"NULL","V","21","15","3","V","achieve","succeed",0.038,0.017,0.008,"NULL","3",51,15,0.668787,0.41737,3830,8,14,5,24,12,13,5
"achievement","success","achievement.success",11,3.49,2.25,8.28,0,NA,17287,1728.7,"NN",746.68,-0.21,1,"synonym","",0.161,0.02,17,0.58,583.03125,-0.47179466450359,0.96875,657.40625,-0.165798768403672,1,45.625,0.349039421631238,0,35.9808467741935,0.288181387339608,0,7,27.25,3.14,10.52,0,NA,9220,1536.67,"NN",591.5,-0.68,0.97,19,"achievement","success",0.651160227585043,0.497933309236947,0.409561290891636,"NULL","2.351176","0.532572","0.161","0.02","success","achievement",0.520151,"achievement","success",0.161,"0.02","1.0999999999999999E-2","2.0899999999999998E-2",17,65,"3.15","N","13","93","2.88","N","achievement","success",0.161,0.02,0.011,"3.15","2.88",65,93,2.351176,0.532572,3831,8,18,5,25,12,14,5
