"index","TargetWord","Prime","PLength","PSubFreq","PLogSubFreq","PLogHAL","POrthoN","PFreqGreater","PBGSum","PBGMean","PPOS","PELP.LDT.RT","PELP.LDT.Z","PELP.LDT.Acc","Relation1","Relation2","FAS","BAS","CueFanOut","LSA","LDT.200ms.RT","LDT.200ms.Z","LDT.200ms.Acc","LDT.1200ms.RT","LDT.1200ms.Z","LDT.1200ms.Acc","LDT.200ms.RT.Priming","LDT.200ms.Z.Priming","LDT.200ms.Acc.Priming","LDT.1200ms.RT.Priming","LDT.1200ms.Z.Priming","LDT.1200ms.Acc.Priming","TLength","TSubFreq","TLogSubFreq","TLogHAL","TOrthoN","TFreqGreater","TBGSum","TBGMean","TPOS","TELP_LDT_RT","TELP_LDT_Z","TELP_LDT_Acc","TargetFanIn","first","second","root","raw","affix","old","jcn.x","lsa.x","fsg.x","bsg.x","word_1","word_2","distance","CUE","TARGET","FSG","BSG","MSG","OSG","QSS","QFR","QCON","QPS","TSS","TFR","TCON","TPS","cue","target","fsg.y","bsg.y","msg","qcon","tcon","qfr","tfr","jcn.y","lsa.y"
"drunk.alcohol","alcohol","drunk",5,76.55,3.59,8.89,3,1,3202,800.5,"JJ",588.94,-0.63,0.97,"unclassified","",0.126,0.11,19,0.81,613,-0.313796068123909,0.96969696969697,715.28125,-0.160209394644612,1,120.25,0.555878298163181,-0.0303030303030303,-24.375,0.130341623947662,0,7,16.57,2.93,9.56,0,NA,8157,1359.5,"NN",668.84,-0.47,0.97,44,"alcohol","drunk",0.365222894564536,0.0974492583915721,0.409143511543187,"0.178046766","12.924739","0.775554","0.11","0.126","alcohol","drunk",0.496009,"drunk","alcohol",0.126,"0.11","1.7999999999999999E-2","3.5700000000000003E-2",19,37,"4.6500000000000004","AJ","12","13","6.87","N","drunk","alcohol",0.126,0.11,0.018,"4.65","6.87",37,13,12.924739,0.775554
"ducks.quack","quack","ducks",5,8.47,2.64,7.71,6,2,1985,496.25,"NN|VB",616.12,-0.64,1,"","",0.233,0,19,0.09,767.25,0.284498386758426,0.8125,728.40625,0.264960453645871,0.90625,123.233870967742,0.566104558605762,0.00604838709677424,-16.5,0.300380763175187,0.1875,5,4.63,2.37,6.44,2,2,3385,846.25,"NN|minor|VB",692.32,-0.28,0.91,2,NA,NA,0,0,0,NA,NA,NA,NA,NA,"quack","ducks",0.595983,"ducks","quack",0.233,"0","0","0",19,4,"5.68","N","5","9","4.55","V",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dump.garbage","garbage","dump",4,28.82,3.17,9.22,8,3,1867,622.33,"VB|NN",633.79,-0.53,0.97,"bpa","",0.326,0,9,0.85,722.212121212121,0.0742153078790997,1,576.9375,-0.315075015729205,0.9375,45.8846529814272,0.280259570123243,0.0645161290322581,183.456439393939,0.691562934295072,-0.0321969696969697,7,26.1,3.12,9.44,0,NA,6613,1102.17,"NN",646.5,-0.45,1,22,"dump","garbage",0.51090110585804,0.536357426219159,0,"NULL","22.62597","0.806658","0.326","0","garbage","dump",0.48938,"dump","garbage",0.326,"0","0.121","0.1038",9,4,"3.36","V","14","7","5.68","N","dump","garbage",0.326,0,0.121,"3.36","5.68",4,7,22.62597,0.806658
"dunk.basketball","basketball","dunk",4,2.59,2.12,6.97,12,8,2501,833.67,"VB|NN",715.5,-0.19,0.73,"unclassifed","",0.218,0,16,NA,667.121212121212,-0.0714520256988783,1,646.387096774194,0.0498373226975653,1,34.1515151515151,0.352386269306533,0,146.451612903226,0.332812329471848,0,10,21.39,3.04,9.19,0,NA,10226,1136.22,"NN",602.74,-0.59,0.97,33,NA,NA,0,0,0,NA,NA,NA,NA,NA,"basketball","dunk",0.631036,"dunk","basketball",0.218,"0","1E-3","2.0999999999999999E-3",16,1,"NULL","V","13","9","5.88","N","dunk","basketball",0.218,0,0.001,"NULL","5.88",1,9,19.561433,NA
"dynamite.explosion","explosion","dynamite",8,10.1,2.71,7.45,0,NA,10561,1508.71,"NN",813.14,0.07,0.94,"functional property","",0.205,0.078,16,0.3,648.1875,-0.0646380996327953,0.9375,692.709677419355,0.0689602458665607,0.903225806451613,158.875,0.272923439532049,0,54.0090725806451,0.529249010218545,-0.0655241935483871,9,16.49,2.93,8.68,0,NA,12685,1585.63,"NN",733.3,-0.26,0.94,9,NA,NA,0,0,0,NA,NA,NA,NA,NA,"explosion","dynamite",0.63511,"dynamite","explosion",0.205,"7.8E-2","1.7000000000000001E-2","2.0299999999999999E-2",16,5,"5.86","N","15","15","NULL","N","dynamite","explosion",0.205,0.078,0.017,"5.86","NULL",5,15,23.155652,0.274516
"earnestness.honesty","honesty","earnestness",11,0.06,0.6,4.23,0,NA,23981,2398.1,"NN",1159.32,0.89,0.76,"synonym","",0.178,0,20,0.12,628.8125,0.134409961277264,0.9375,737.71875,0.0160221133935731,0.96875,-1.55443548387098,-0.202945222622555,-0.030241935483871,-55.9375,-0.133140343052399,0.03125,7,7.22,2.57,8.59,0,NA,16831,2805.17,"NN",596.58,-0.63,0.94,12,NA,NA,0,0,0,NA,NA,NA,NA,NA,"honesty","earnestness",0.687294,"earnestness","honesty",0.178,"0","0","2.5999999999999999E-3",20,3,"2.63","N","16","10","2.69","N","earnestness","honesty",0.178,0,0,"2.63","2.69",3,10,14.788305,0.110176
"east.west","west","east",4,49.55,3.4,10.8,10,4,6832,2277.33,"NN|JJ|RB",639,-0.62,0.97,"category","",0.886,0.78,4,0.83,606.9375,-0.339735063717139,1,613.75,-0.7143944996243,1,148.5,0.394383674389018,0.09375,38.96875,0.52292786973214,0.15625,4,60.55,3.49,11.05,12,4,8538,2846,"NN|JJ|RB",582.74,-0.65,0.97,12,NA,NA,0,0,0,NA,NA,NA,NA,NA,"east","west",0.227133,"east","west",0.886,"0.78","2E-3","0",4,183,"3.59","AJ","6","235","4.03","N","east","west",0.886,0.78,0.002,"3.59","4.03",183,235,3.113907,0.814779
"easter.sunday","sunday","easter",6,7.49,2.58,8.08,5,3,17389,3477.8,"NN",637.55,-0.44,0.97,"fpa","",0.253,0,11,0.41,647.875,-0.0736572603320098,0.96875,730.363636363636,0.0337245118360531,1,-21.1975806451613,-0.0388007223843343,-0.03125,82.0426136363636,0.303425639448676,0.03125,6,43.25,3.34,10.18,3,0,5435,1087,"NN",656.12,-0.51,1,7,NA,NA,0,0,0,NA,NA,NA,NA,NA,"sunday","easter",0.584738,"easter","sunday",0.253,"0","0","0",11,11,"4.1399999999999997","N","17","101","4.45","N","easter","sunday",0.253,0,0,"4.14","4.45",11,101,7.19264,0.384276
"effect.cause","cause","effect",6,23.9,3.09,11.11,1,0,3862,772.4,"NN|VB",602.63,-0.6,0.94,"bpa","",0.349,0.356,13,0.49,652.606060606061,-0.333095673942015,0.939393939393939,623.806451612903,-0.150867428007326,1,39.4876893939394,0.088564229173179,-0.0606060606060606,92.0372983870968,0.0566087149629483,0.03125,5,310.04,4.2,11.29,1,0,5770,1442.5,"NN|VB",568.24,-0.7,1,18,"cause","effect",0.252412078074417,0.158035537698326,0.846780394789053,"NULL","1.173311","0.447479","0.356","0.349","cause","effect",0.766888,"effect","cause",0.349,"0.35599999999999998","1.7000000000000001E-2","2.0999999999999999E-3",13,213,"2.2200000000000002","N","19","130","2.9","N","effect","cause",0.349,0.356,0.017,"2.22","2.9",213,130,1.173311,0.447479
"effort.try","try","effort",6,19.35,2.99,10.54,0,NA,5197,1039.4,"NN",631.75,-0.62,0.97,"synonym","",0.462,0.062,18,0.37,596.030303030303,-0.33793473496018,0.96969696969697,684.870967741935,-0.225441420848297,0.967741935483871,-49.5151515151515,-0.299738808649046,-0.0303030303030303,70.0040322580645,0.238966911766081,-0.032258064516129,3,476.75,4.39,12.52,7,0,2322,1161,"VB|NN",553.88,-0.81,1,25,NA,NA,0,0,0,NA,NA,NA,NA,NA,"try","effort",0.637597,"effort","try",0.462,"6.2E-2","2E-3","3.3E-3",18,145,"2.2200000000000002","N","16","140","2.5","V","effort","try",0.462,0.062,0.002,"2.22","2.5",145,140,0,0.273674
"eggs.bacon","bacon","eggs",4,38.65,3.29,9.01,0,NA,946,315.33,"NN|VB",565.68,-0.74,1,"category","",0.176,0.517,21,0.35,711.03125,-0.0502512010731658,0.96875,734.033333333333,-0.0716171432939729,1,-95.3538306451613,0.180839981079734,0.001008064516129,-19.0333333333333,0.215095958223888,0,5,11.86,2.78,8.05,2,0,9320,2330,"NN",693.56,-0.38,1,13,NA,NA,0,0,0,NA,NA,NA,NA,NA,"bacon","eggs",0.562656,"eggs","bacon",0.176,"0.51700000000000002","2E-3","4.4000000000000003E-3",21,35,"5.79","N","10","10","6.46","N","eggs","bacon",0.176,0.517,0.002,"5.79","6.46",35,10,17.451702,0.327424
"ego.id","id","ego",3,7.49,2.58,8.73,2,2,795,397.5,"NN",580,-0.65,1,"antonym","",0.086,NA,27,0.94,951.0625,1.06381713238684,0.46875,793.28125,0.839682045516745,0.375,-99.4818548387096,0.112211198813287,0.210685483870968,-4.0625,0.915026269571293,0.09375,2,3.31,2.23,11.31,6,4,861,861,"NN",788.91,0.09,0.71,3,NA,NA,0,0,0,NA,NA,NA,NA,NA,"id","ego",0.853042,"ego","id",0.086,"NULL","NULL","NULL",27,13,"1.93","N","NULL","NULL","NULL","NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"egypt.pyramid","pyramid","egypt",5,5.29,2.43,8.61,0,NA,1046,261.5,"NN",617.87,-0.57,1,"script","",0.341,0.347,16,0.53,672.064516129032,-0.285035275740698,1,606.1875,-0.182767517733068,0.9375,70.0604838709677,0.615039588665677,0,185.875,0.445359816308112,-0.0625,7,4,2.31,8.45,0,NA,6418,1069.67,"NN",706.03,-0.35,1,7,NA,NA,0,0,0,NA,NA,NA,NA,NA,"egypt","pyramid",0.584186,"egypt","pyramid",0.341,"0.34699999999999998","4.0000000000000001E-3","1.5E-3",16,14,"NULL","N","10","2","NULL","N","egypt","pyramid",0.341,0.347,0.004,"NULL","NULL",14,2,23.841312,0.521737
"elaborate.explain","explain","elaborate",9,4.75,2.39,8.49,0,NA,19963,2495.38,"JJ",714.21,-0.3,0.97,"synonym","",0.145,0,25,0.13,639.575757575758,-0.230998669683645,1,686.1875,0.145477491057087,0.96875,53.2629521016618,0.121033742887359,0,9.8125,0.0801696236960421,-0.03125,7,111.18,3.75,10.68,0,NA,11392,1898.67,"VB",586.16,-0.71,1,13,NA,NA,0,0,0,NA,NA,NA,NA,NA,"explain","elaborate",0.696056,"elaborate","explain",0.145,"0","1E-3","4.0000000000000001E-3",25,32,"NULL","AJ","17","64","2.6","V","elaborate","explain",0.145,0,0.001,"NULL","2.6",32,64,0.569071,0.111326
"electrician.wire","wire","electrician",11,1.49,1.89,5.88,0,NA,20034,2003.4,"NN",869.91,-0.02,0.97,"script","",0.112,0,22,0.36,615.0625,-0.367895917132161,0.9375,672.625,0.0428630694758606,0.96875,6.5,0.211869311739281,-0.03125,2.16287878787875,-0.102634492939338,-0.03125,4,27.51,3.15,9.72,16,4,5819,1939.67,"NN|VB",600.67,-0.57,1,17,NA,NA,0,0,0,NA,NA,NA,NA,NA,"wire","electrician",0.715057,"electrician","wire",0.112,"0","1E-3","5.9999999999999995E-4",22,0,"NULL","N","20","42","5.81","N","electrician","wire",0.112,0,0.001,"NULL","5.81",0,42,20.537255,0.328728
"electron.neutron","neutron","electron",8,0.73,1.58,8.27,1,1,16028,2289.71,"NN",792.26,0.18,0.97,"category","",0.265,0.2,15,0.34,842.03125,0.821917127870415,0.9375,703.866666666667,-0.0287440435658978,0.933333333333333,-26.59375,0.536321026101969,0.0625,196.197849462366,1.11925977183611,0.159139784946237,7,1.24,1.81,7.72,0,NA,11803,1967.17,"NN",823.53,0.28,0.88,3,"electron","neutron",0.417725422819196,0.364729988291263,0.191086497058818,"NULL","3.689002","0.308671","0.265","0.2","neutron","electron",0.519975,"electron","neutron",0.265,"0.2","9.7000000000000003E-2","5.9799999999999999E-2",15,30,"NULL","N","11","1","NULL","N","electron","neutron",0.265,0.2,0.097,"NULL","NULL",30,1,3.689002,0.308671
"elements.chemistry","chemistry","elements",8,6.9,2.55,9.77,0,NA,15742,2248.86,"NN",628.36,-0.54,0.97,"unclassifed","",0.32,0,17,0.39,671.757575757576,0.378741177061177,0.878787878787879,748.709677419355,0.043148489089208,1,0.545454545454504,-0.288394577606468,-0.121212121212121,-71.4596774193549,0.0718462620350652,0,9,8.67,2.65,9.45,0,NA,14295,1786.88,"NN",672.29,-0.37,1,43,"chemistry","elements",0.180411464487768,0.22526418076211,0,"NULL","NULL","NULL","NULL","NULL","chemistry","elements",0.776783,"elements","chemistry",0.32,"0","7.0000000000000001E-3","3.5000000000000003E-2",17,107,"NULL","N","16","16","3.65","N","elements","chemistry",0.32,0,0.007,"NULL","3.65",107,16,21.295172,0.319261
"elf.santa","santa","elf",3,3.78,2.29,8.89,2,0,1835,917.5,"NN",672.91,-0.46,1,"unclassified","",0.217,0,22,0.06,695.25,0.243785325318073,0.96875,713.903225806452,-0.154060286079187,0.967741935483871,88.8125,0.27991404183326,0.09375,148.003024193548,0.375351496730663,0.155241935483871,5,46.69,3.38,10.05,0,NA,9114,2278.5,"NN",615.76,-0.57,1,9,NA,NA,0,0,0,NA,NA,NA,NA,NA,"santa","elf",0.626469,"elf","santa",0.217,"0","2E-3","2.5399999999999999E-2",22,0,"NULL","N","7","28","NULL","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"elimination.destruction","destruction","elimination",11,1.29,1.83,8.07,0,NA,31134,3113.4,"NN",744.59,-0.16,0.85,"unclassifed","",0.072,0,24,0.22,760.53125,0.651828002361875,0.96875,845.424242424242,0.583105612507864,0.96969696969697,31.1875,0.101730433718746,-0.03125,-11.8617424242424,0.0703009133564895,-0.0303030303030303,11,11.51,2.77,9.45,0,NA,26481,2648.1,"NN",718.15,-0.18,1,16,NA,NA,0,0,0,NA,NA,NA,NA,NA,"destruction","elimination",0.777812,"elimination","destruction",0.072,"0","0","2.5000000000000001E-3",24,9,"NULL","N","19","38","3.61","N","elimination","destruction",0.072,0,0,"NULL","3.61",9,38,6.847298,0.215009
"embarrass.blush","blush","embarrass",9,8.82,2.65,6.6,0,NA,11894,1486.75,"VB",816.94,0.1,0.94,"perceptual property","",0.22,0.411,10,0.15,726.612903225806,0.132006334949072,0.870967741935484,746.5625,0.30636870574611,0.9375,70.0120967741935,0.214993019553164,-0.0977822580645161,47.3492647058823,-0.00479015067763344,-0.00367647058823528,5,2.67,2.14,7.13,4,2,4524,1131,"VB|NN",555.97,-0.67,1,7,"blush","embarrass",0.464231504817211,0.542257321278028,0,"0.279114326","19.526292","0.177268","0.411","0.22","blush","embarrass",0.68505,"embarrass","blush",0.22,"0.41099999999999998","0","8.4900000000000003E-2",10,8,"NULL","V","10","2","4.59","V","embarrass","blush",0.22,0.411,0,"NULL","4.59",8,2,19.526292,0.177268
"embrace.hug","hug","embrace",7,7.57,2.59,8.06,0,NA,8222,1370.33,"VB|NN",675,-0.32,0.97,"synonym","",0.589,0.056,4,0.23,592.375,-0.248425063506621,0.96875,643.375,-0.216475394720056,1,46.5037878787879,0.0460379232132916,-0.000946969696969724,-0.4375,0.191633182678071,0,3,19.33,2.99,8.24,15,4,607,303.5,"NN|VB",559.81,-0.75,0.94,13,"embrace","hug",0.312330320955732,0.303551029981283,0.760144458377636,"NULL","0","0.212276","0.589","0.056","hug","embrace",0.579106,"embrace","hug",0.589,"5.6000000000000001E-2","1.9E-2","3.0499999999999999E-2",4,13,"NULL","V","13","3","5.34","V","embrace","hug",0.589,0.056,0.019,"NULL","5.34",13,3,0,0.212276
"emergency.ambulance","ambulance","emergency",9,54.43,3.44,9.5,1,0,15821,1977.63,"NN",693.97,-0.27,0.97,"script","",0.13,0.174,23,0.76,727.0625,0.629538148494579,0.9375,756.125,0.377826421853964,0.96875,122.711693548387,0.76124739968613,0.00201612903225812,16.9375,0.0536653212647111,0,9,22.41,3.06,7.24,0,NA,11460,1432.5,"NN",863.5,0.01,1,4,NA,NA,0,0,0,NA,NA,NA,NA,NA,"emergency","ambulance",0.460134,"emergency","ambulance",0.13,"0.17399999999999999","1E-3","2.1899999999999999E-2",23,29,"3.25","N","18","6","7","N","emergency","ambulance",0.13,0.174,0.001,"3.25","7",29,6,16.367684,0.689525
"emotion.feeling","feeling","emotion",7,8.29,2.63,8.42,0,NA,14771,2461.83,"NN",679.33,-0.52,1,"synonym","",0.273,0.241,11,0.54,632.65625,-0.541304124464682,0.96875,574,-0.370718255034932,1,119.21875,0.452021816761061,0,49.25,0.0325427597971943,0,7,168.18,3.93,10.53,4,0,16737,2789.5,"NN|VB",688.36,-0.37,0.97,43,"emotion","feeling",0.298628722150722,0.391354540106485,0.180971787473262,"0.48089514","1.047648","0.489999","0.273","0.241","emotion","feeling",0.556906,"emotion","feeling",0.273,"0.24099999999999999","4.0000000000000001E-3","2.0400000000000001E-2",11,34,"2.4","N","18","172","2.33","N","emotion","feeling",0.273,0.241,0.004,"2.4","2.33",34,172,1.047648,0.489999
"employee.employer","employer","employee",8,11.57,2.77,9.31,2,1,5326,760.86,"NN",668.31,-0.33,0.94,"antonym","",0.196,0.218,9,0.77,683.878787878788,0.166054579337237,1,763.8125,0.237872801821422,0.9375,44.4962121212121,-0.0311491146220735,0,-99.375,-0.39478838162513,0,8,5.37,2.44,10.23,2,0,10618,1516.86,"NN",620.91,-0.54,1,6,"employee","employer",0.691521525745381,0.271451845081352,0.231520884751074,"NULL","11.277008","0.704724","0.196","0.218","employer","employee",0.297911,"employee","employer",0.196,"0.218","2.1000000000000001E-2","9.4100000000000003E-2",9,24,"5.78","N","7","15","6.04","N","employee","employer",0.196,0.218,0.021,"5.78","6.04",24,15,11.277008,0.704724
"ending.beginning","beginning","ending",6,15.92,2.91,9.56,0,NA,18269,3653.8,"VB|NN",601.48,-0.61,0.97,"antonym","",0.486,0,11,0.56,653.75,-0.0976468018833428,0.96875,672.290322580645,0.147335528726459,1,103.088709677419,0.324296211436723,0.001008064516129,-10.6028225806451,-0.0112751112516059,0,9,63.12,3.51,10.69,0,NA,21463,2682.88,"VB|NN",701.78,-0.31,1,24,"beginning","ending",0.114205225449572,0.130956666527786,0,"0.078548807","NULL","NULL","NULL","NULL","beginning","ending",0.467328,"ending","beginning",0.486,"0","0","2.47E-2",11,31,"2.9","N","4","164","2.4300000000000002","N","ending","beginning",0.486,0,0,"2.9","2.43",31,164,2.478339,0.489711
"energy.electricity","electricity","energy",6,32.9,3.23,10.98,0,NA,12694,2538.8,"NN",644.61,-0.46,1,"unclassifed","",0.108,0.014,22,0.3,761.387096774194,0.943882330568922,1,899.3125,1.0779150870462,1,60.2691532258065,-0.0303668627635924,0.03125,20.375,-0.367467464290682,0.125,11,11.45,2.77,8.52,0,NA,18310,1831,"NN",757.97,-0.2,1,18,"electricity","energy",0.79353579266719,0.639917458252719,0.328327238629447,"0.797560118","2.984113","0.274912","0.014","0.108","electricity","energy",0.470996,"energy","electricity",0.108,"1.4E-2","4.0000000000000001E-3","2.0500000000000001E-2",22,100,"3.44","N","15","26","4.51","N","energy","electricity",0.108,0.014,0.004,"3.44","4.51",100,26,2.984113,0.274912
"england.britain","britain","england",7,35.22,3.25,10.51,0,NA,15435,2572.5,"NN",663.32,-0.5,1,"synonym","",0.164,NA,12,0.31,808.75,0.524398342087322,0.8125,826.709677419355,1.00802846976087,0.806451612903226,44.6875,1.77957537075808,0.28125,90.8064516129032,1.14119466957624,0.129032258064516,7,4.55,2.37,9.49,0,NA,15317,2552.83,"NN",718.24,-0.31,1,3,"britain","england",0.702882361800859,0.671525531053949,0.761739662668935,"NULL","NULL","NULL","NULL","NULL","britain","england",0.511222,"england","britain",0.164,"NULL","NULL","NULL",12,157,"NULL","N","NULL","NULL","NULL","NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entertain.amuse","amuse","entertain",9,6.14,2.5,7.84,0,NA,28085,3510.63,"VB",768.71,0.01,0.97,"synonym","",0.275,0.15,20,0.52,701.787878787879,0.299766600888267,0.939393939393939,696.967741935484,0.162569402439359,0.935483870967742,27.7575757575758,0.565071803741265,0.151515151515152,75.9677419354838,0.0441745363477638,0.129032258064516,5,2.61,2.13,6.47,1,1,4800,1200,"VB",749.36,-0.41,0.97,2,NA,NA,0,0,0,NA,NA,NA,NA,NA,"amuse","entertain",0.434152,"entertain","amuse",0.275,"0.15","0","1.4500000000000001E-2",20,14,"3.93","V","14","3","3.17","V","entertain","amuse",0.275,0.15,0,"3.93","3.17",14,3,1.680534,0.472648
"entertainment.television","television","entertainment",13,12.55,2.81,9.72,0,NA,36747,3062.25,"NN",806.12,-0.03,1,"fpa","",0.216,0.036,9,0.72,692.69696969697,-0.0370904074945396,1,630.75,-0.095187819379849,1,11.3655303030303,-0.0712703679917978,0.03125,96.34375,0.115860046254349,0,10,33.9,3.24,10.02,0,NA,22363,2484.78,"NN",671.62,-0.45,1,70,NA,NA,0,0,0,NA,NA,NA,NA,NA,"television","entertainment",0.564107,"entertainment","television",0.216,"3.5999999999999997E-2","8.0000000000000002E-3","7.0000000000000001E-3",9,29,"NULL","N","19","50","6.4","N","entertainment","television",0.216,0.036,0.008,"NULL","6.4",29,50,16.971302,0.656641
"entrance.exit","exit","entrance",8,15.69,2.9,8.76,0,NA,18145,2592.14,"NN",640.2,-0.61,0.97,"antonym","",0.615,0.101,8,0.42,639.969696969697,-0.197071799944413,0.96969696969697,630.21875,-0.229978066845499,0.9375,7.686553030303,-0.0883419075953861,-0.0303030303030303,-18.03125,-0.103762055662642,-0.03125,4,15.57,2.9,10.15,2,0,2926,975.33,"NN|VB",543.56,-0.86,1,12,"entrance","exit",0.279778471679267,0.228720417289568,0.299319373319145,"NULL","9.401589","0.340418","0.615","0.101","exit","entrance",0.431765,"entrance","exit",0.615,"0.10100000000000001","3.3000000000000002E-2","3.4299999999999997E-2",8,57,"4.92","N","8","7","4.25","N","entrance","exit",0.615,0.101,0.033,"4.92","4.25",57,7,9.401589,0.340418
"erect.hard","hard","erect",5,1.18,1.79,7.9,2,1,13145,3286.25,"VB|JJ",688.52,-0.21,0.91,"synonym","",0.134,0,17,0.22,781.5,0.337834242320805,1,747.0625,-0.149444620037232,0.9375,-151.1875,-0.495427342608767,0.0625,-30.28125,0.384247264043476,-0.03125,4,307.84,4.2,12.08,11,1,4738,1579.33,"JJ|RB",582.19,-0.66,1,148,NA,NA,0,0,0,NA,NA,NA,NA,NA,"hard","erect",0.952972,"erect","hard",0.134,"0","7.0000000000000001E-3","0",17,13,"2.13","AJ","10","202","4.21","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"escalator.elevator","elevator","escalator",9,1.29,1.83,5.24,0,NA,20553,2569.13,"NN",718.31,-0.32,1,"category","",0.279,0.108,7,0.28,624.875,-0.349412953989998,0.96875,699.875,0.000367169181533525,1,-26.15625,0.0892523653291819,-0.03125,-102.21875,-0.282959868605319,0,8,24.41,3.1,8.08,0,NA,14398,2056.86,"NN",642.63,-0.4,0.94,8,"elevator","escalator",0.600544083765725,0.600544083765725,0.537071803653356,"0.627120264","21.290639","0.194235","0.108","0.279","elevator","escalator",0.605614,"escalator","elevator",0.279,"0.108","2.5000000000000001E-2","8.2199999999999995E-2",7,0,"NULL","N","14","12","6.23","N","escalator","elevator",0.279,0.108,0.025,"NULL","6.23",0,12,21.290639,0.194235
"escargot.snail","snail","escargot",8,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"synonym","",0.629,0.062,10,NA,802.935483870968,0.410492904159273,0.935483870967742,637.6875,-0.140152798446814,1,-113.322580645161,-0.288899685091071,0,17.71875,0.23135297928247,0.0625,5,1.76,1.96,9.23,1,0,3945,986.25,"NN",614.39,-0.62,0.97,6,NA,NA,0,0,0,NA,NA,NA,NA,NA,"snail","escargot",0.65729,"escargot","snail",0.629,"6.2E-2","0","0",10,0,"NULL","N","8","1","5.75","N","escargot","snail",0.629,0.062,0,"NULL","5.75",0,1,0,NA
"essay.write","write","essay",5,6.14,2.5,8.44,1,0,7219,1804.75,"NN|VB",674.64,-0.37,0.97,"unclassified","",0.336,0.011,17,0.53,549.09375,-0.499077337464331,1,568.40625,-0.654257674493875,1,59.46875,0.125857231808655,0.03125,123.125,0.444012616062631,0.03125,5,126.8,3.81,11.8,4,2,9565,2391.25,"VB",608,-0.68,1,54,"essay","write",0.208118978517679,0.258389574555769,0,"NULL","8.412976","0.435341","0.336","0.011","write","essay",0.616021,"essay","write",0.336,"1.0999999999999999E-2","2.1000000000000001E-2","1.44E-2",17,19,"5.22","N","16","106","4.42","V","essay","write",0.336,0.011,0.021,"5.22","4.42",19,106,8.412976,0.435341
"esteem.self","self","esteem",6,1.69,1.94,7.13,0,NA,14330,2866,"NN",661.67,-0.47,0.97,"bpa","",0.584,0.028,9,0.86,637.375,-0.437328526306639,1,613.823529411765,-0.451823348472912,0.970588235294118,1.65625,0.217895730023376,0.03125,111.238970588235,0.349149618133166,0.00183823529411764,4,14.16,2.86,10.29,2,1,3866,1288.67,"NN",593.85,-0.71,0.97,23,NA,NA,0,0,0,NA,NA,NA,NA,NA,"self","esteem",0.593483,"esteem","self",0.584,"2.8000000000000001E-2","1E-3","2.8E-3",9,5,"2.6","V","13","40","4.33","N","esteem","self",0.584,0.028,0.001,"2.6","4.33",5,40,11.557888,0.852165
"etiquette.manners","manners","etiquette",9,1.88,1.99,7.79,0,NA,13530,1691.25,"NN",816.81,-0.08,0.91,"category","",0.444,0.166,11,0.19,684.5625,0.265369030055025,1,728.454545454546,0.124430706397126,0.939393939393939,122.892045454545,0.5506145375198,0.0606060606060606,114.99706744868,0.364754289291852,0.00391006842619757,7,12.76,2.81,8,1,0,15435,2572.5,"NN",658.77,-0.46,0.94,12,"etiquette","manners",0.480968598912256,0.473126852231526,0.500626174298298,"NULL","21.535943","0.136736","0.444","0.166","manners","etiquette",0.465523,"etiquette","manners",0.444,"0.16600000000000001","6.0000000000000001E-3","8.6999999999999994E-3",11,3,"NULL","N","15","15","NULL","N","etiquette","manners",0.444,0.166,0.006,"NULL","NULL",3,15,21.535943,0.136736
"europe.asia","asia","europe",6,26.82,3.14,10.63,0,NA,6060,1212,"NN",613.88,-0.64,1,"category","",0.108,0.026,24,0.56,630.625,0.0585510590996755,0.96875,711.709677419355,-0.338753278420339,0.967741935483871,77.5625,0.298048051332011,0.0625,69.9465725806451,0.48039264259498,-0.032258064516129,4,5.29,2.43,9.54,1,0,4270,1423.33,"NN",563.41,-0.8,0.97,6,"asia","europe",0.76764402664892,0.738094705032782,0.42438879268399,"NULL","1.887295","0.522348","0.026","0.108","asia","europe",0.465882,"europe","asia",0.108,"2.5999999999999999E-2","6.0000000000000001E-3","1.78E-2",24,118,"5.76","N","19","44","NULL","N","europe","asia",0.108,0.026,0.006,"5.76","NULL",118,44,1.887295,0.522348
"even.odd","odd","even",4,875.92,4.65,13.1,3,0,6197,2065.67,"RB|JJ|NN|VB",594.27,-0.7,0.91,"antonym","",0.621,0.558,9,0.54,665.59375,-0.181203779796033,1,639,-0.136546091834295,0.96969696969697,-42.46875,-0.159751614090579,0,-60.258064516129,-0.0385663469430552,0.00195503421309873,3,24.04,3.09,9.7,3,2,741,370.5,"JJ",615.38,-0.58,0.97,17,NA,NA,0,0,0,NA,NA,NA,NA,NA,"odd","even",0.66985,"even","odd",0.621,"0.55800000000000005","0","0",9,1171,"2.75","AJ","7","44","2.6","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
