"index","TargetWord","Prime","PLength","PSubFreq","PLogSubFreq","PLogHAL","POrthoN","PFreqGreater","PBGSum","PBGMean","PPOS","PELP.LDT.RT","PELP.LDT.Z","PELP.LDT.Acc","Relation1","Relation2","FAS","BAS","CueFanOut","LSA","LDT.200ms.RT","LDT.200ms.Z","LDT.200ms.Acc","LDT.1200ms.RT","LDT.1200ms.Z","LDT.1200ms.Acc","LDT.200ms.RT.Priming","LDT.200ms.Z.Priming","LDT.200ms.Acc.Priming","LDT.1200ms.RT.Priming","LDT.1200ms.Z.Priming","LDT.1200ms.Acc.Priming","TLength","TSubFreq","TLogSubFreq","TLogHAL","TOrthoN","TFreqGreater","TBGSum","TBGMean","TPOS","TELP_LDT_RT","TELP_LDT_Z","TELP_LDT_Acc","TargetFanIn","first","second","root","raw","affix","old","jcn.x","lsa.x","fsg.x","bsg.x","word_1","word_2","distance","CUE","TARGET","FSG","BSG","MSG","OSG","QSS","QFR","QCON","QPS","TSS","TFR","TCON","TPS","cue","target","fsg.y","bsg.y","msg","qcon","tcon","qfr","tfr","jcn.y","lsa.y"
"acquire.get","get","acquire",7,2.65,2.13,8.78,0,NA,7818,1303,"VB",673.94,-0.3,0.94,"synonym","",0.397,0.039,17,0.16,628.84375,-0.260450572451932,0.96875,653.516129032258,-0.275710706240073,0.967741935483871,148.96875,0.307102154626901,0.0625,-37.7036290322581,0.124892756988956,0.030241935483871,3,4583.76,5.37,13.79,14,0,2565,1282.5,"VB",629.94,-0.52,0.97,32,"acquire","get",0.724258626526592,0.724258626526592,0.761329522289418,"0.724258627","0","0.130352","0.397","0.039","get","acquire",0.77492,"acquire","get",0.397,"3.9E-2","3.1E-2","1.18E-2",17,27,"NULL","V","23","750","2.86","V","acquire","get",0.397,0.039,0.031,"NULL","2.86",27,750,0,0.130352
"acre.land","land","acre",4,1.82,1.97,7.35,3,0,6802,2267.33,"NN",723,-0.2,0.97,"supraordinate","",0.675,0.02,9,0.58,565.25,-0.547192364188472,0.96875,617.0625,-0.446768987207564,0.96875,63.4274193548387,0.438067361040688,-0.03125,32.875,0.225016924522204,-0.03125,4,88.12,3.65,11.23,11,1,7264,2421.33,"NN|VB",594.15,-0.68,0.97,53,NA,NA,0,0,0,NA,NA,NA,NA,NA,"land","acre",0.502234,"acre","land",0.675,"0.02","8.9999999999999993E-3","1.1000000000000001E-3",9,9,"5.91","N","25","217","6.07","N","acre","land",0.675,0.02,0.009,"5.91","6.07",9,217,9.1457,0.561832
"act.play","play","act",3,109.12,3.75,11.19,5,0,2603,1301.5,"NN|VB",635.18,-0.56,1,"unclassified","",0.182,0,16,0.18,551.354838709677,-0.502572111834174,1,659.30303030303,-0.217398588369673,1,104.832661290323,0.393373234004363,0,-93.0127077223851,-0.0645079056000586,0.032258064516129,4,354.53,4.26,11.92,6,0,3219,1073,"VB|NN",537.91,-0.96,1,96,NA,NA,0,0,0,NA,NA,NA,NA,NA,"play","act",0.616915,"act","play",0.182,"0","4.7E-2","1.8E-3",16,283,"3.79","N","21","200","4.22","V","act","play",0.182,0,0.047,"3.79","4.22",283,200,0,0.135837
"actor.actress","actress","actor",5,26.33,3.13,9.26,0,NA,6723,1680.75,"NN",539.97,-0.83,0.97,"category","",0.578,0.507,14,0.59,666.1875,-0.0460542017214821,0.96875,658.548387096774,0.135308583714011,1,50.5700757575758,0.257329245119453,-0.000946969696969724,17.7096774193549,0.0345456525438008,0.0967741935483871,7,16.02,2.91,8.52,0,NA,14893,2482.17,"NN",687.53,-0.49,1,3,"actor","actress",0.555309569976801,0.300187372781219,0.460301645917163,"0.336859256","0.847032","0.568679","0.578","0.507","actor","actress",0.275584,"actor","actress",0.578,"0.50700000000000001","1E-3","6.6E-3",14,24,"5.45","N","11","6","NULL","N","actor","actress",0.578,0.507,0.001,"5.45","NULL",24,6,0.847032,0.568679
"actress.actor","actor","actress",7,16.02,2.91,8.52,0,NA,14893,2482.17,"NN",687.53,-0.49,1,"category","",0.507,0.578,11,0.59,640.65625,-0.119594822331046,0.96875,679.181818181818,-0.280668254490467,0.96969696969697,-55.595643939394,-0.205770140311815,-0.03125,-20.4721407624633,-0.0313211217325905,-0.0303030303030303,5,26.33,3.13,9.26,0,NA,6723,1680.75,"NN",539.97,-0.83,0.97,25,"actor","actress",0.555309569976801,0.300187372781219,0.460301645917163,"0.336859256","0.847032","0.568679","0.578","0.507","actress","actor",0.275584,"actress","actor",0.507,"0.57799999999999996","1E-3","6.6E-3",11,6,"NULL","N","14","24","5.45","N","actress","actor",0.507,0.578,0.001,"NULL","5.45",6,24,0.847032,0.568679
"add.subtract","subtract","add",3,33.06,3.23,11.64,6,1,1257,628.5,"VB",657.55,-0.58,1,"antonym","",0.685,0.692,11,0.36,704.636363636364,0.147531338562774,0.96969696969697,703.6875,0.165804912275972,1,89.3958944281525,0.675470974350356,0.0342130987292278,128.5,0.337938929331878,0.03125,8,0.55,1.46,7.51,0,NA,8685,1240.71,"VB",678.88,-0.42,0.97,9,"add","subtract",0.217309283093124,0.105324256879788,0.401682899072269,"0.25623097","8.470915","0.353388","0.685","0.692","subtract","add",0.567689,"add","subtract",0.685,"0.69199999999999995","7.0000000000000001E-3","5.5999999999999999E-3",11,88,"2.95","V","6","2","2.86","V","add","subtract",0.685,0.692,0.007,"2.95","2.86",88,2,8.470915,0.353388
"admission.ticket","ticket","admission",9,3.55,2.26,8.7,0,NA,15647,1955.88,"NN",694.71,-0.33,0.97,"script","",0.245,0.048,16,0.1,539.58064516129,-0.453663829946335,0.967741935483871,659.806451612903,-0.272679086672825,0.967741935483871,127.45060483871,0.560027750950929,0.030241935483871,101.322580645161,0.349513549842843,0.0322580645161291,6,45.57,3.37,9.56,4,0,10263,2052.6,"NN|VB",629.32,-0.64,1,20,NA,NA,0,0,0,NA,NA,NA,NA,NA,"ticket","admission",0.67185,"admission","ticket",0.245,"4.8000000000000001E-2","0","2.2000000000000001E-3",16,33,"NULL","N","19","16","7","N","admission","ticket",0.245,0.048,0,"NULL","7",33,16,15.042797,0.058032
"admit.confess","confess","admit",5,59.2,3.48,10.21,0,NA,4682,1170.5,"VB",574.65,-0.62,1,"synonym","",0.131,0.119,18,0.4,749.84375,0.30206260399128,0.96875,702.625,0.0738868244157647,0.96875,-40.6619318181819,-0.0617882523127655,-0.03125,-16.0120967741935,0.0569988798130497,-0.03125,7,15.84,2.91,7.9,1,0,14046,2341,"VB",660.75,-0.38,1,2,NA,NA,0,0,0,NA,NA,NA,NA,NA,"confess","admit",0.406908,"admit","confess",0.131,"0.11899999999999999","0","2.93E-2",18,37,"NULL","V","15","11","NULL","V","admit","confess",0.131,0.119,0,"NULL","NULL",37,11,1.518354,0.350349
"adorable.cute","cute","adorable",8,10.53,2.73,6.84,0,NA,13105,1872.14,"JJ",787.06,-0.04,0.97,"synonym","",0.689,0.064,8,0.39,572.59375,-0.328111680315918,1,727.03125,-0.336314786246755,1,57.9546370967742,0.283724647218781,0.032258064516129,-85.1875,0.0995121437138035,0.03125,4,87.75,3.65,9.31,6,1,5994,1998,"JJ|NN",582.79,-0.71,0.97,37,"adorable","cute",0.180853307758283,0.148486694132385,0.400142298114833,"0.229071064","NULL","NULL","0.689","0.064","cute","adorable",0.294693,"adorable","cute",0.689,"6.4000000000000001E-2","6.0000000000000001E-3","1.18E-2",8,3,"NULL","AJ","18","5","3.1","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"advance.forward","forward","advance",7,15.98,2.91,11.28,0,NA,8102,1350.33,"NN|VB",626.66,-0.62,1,"synonym","",0.23,0,21,0.29,636.151515151515,-0.214964440260663,0.96969696969697,615.225806451613,-0.203443936093244,1,-10.4952651515151,0.121296620457314,0.000946969696969724,103.524193548387,0.303072810914315,0,7,72.33,3.57,10.97,0,NA,7673,1278.83,"RB|JJ|VB|NN",577.84,-0.61,1,15,"advance","forward",0.625114677796701,0.412119345512498,0.670182538222555,"NULL","12.841916","0.223671","0.23","0","forward","advance",0.801829,"advance","forward",0.23,"0","1.0999999999999999E-2","9.7999999999999997E-3",21,60,"NULL","V","13","115","NULL","AJ","advance","forward",0.23,0,0.011,"NULL","NULL",60,115,12.841916,0.223671
