type,TargetWord,Prime,jcn,root,raw,affix,PLength,PSubFreq,PLogSubFreq,PLogHAL,POrthoN,PFreqGreater,PBGSum,PBGMean,PPOS,PELP LDT RT,PELP LDT Z,PELP LDT Acc,Relation1,Relation2,FAS,BAS,PCueFanOut,LSA,LDT 200ms RT,LDT 200ms Z,LDT 200ms Acc,LDT 1200ms RT,LDT 1200ms Z,LDT 1200ms Acc,LDT 200ms RT Priming,LDT 200ms Z Priming,LDT 200ms Acc Priming,LDT 1200ms RT Priming,LDT 1200ms Z Priming,LDT 1200ms Acc Priming,ELP NT RT,ELP NT Z,ELP NT Acc,NT 200ms RT,NT 200ms Z,NT 200ms Acc,NT 1200ms RT,NT 1200ms Z,NT 1200ms Acc,NT 200ms RT Priming,NT 200ms Z Priming,NT 200ms Acc Priming,NT 1200ms RT Priming,NT 1200ms Z Priming,NT 1200ms Acc Priming,TLength,TSubFreq,TLogSubFreq,TLogHAL,TOrthoN,TFreqGreater,TBGSum,TBGMean,TPOS,TELP_LDT_RT,TELP_LDT_Z,TELP_LDT_Acc,TTargetFanIn,combined, MSG, OSG, QSS, TSS,bow_cos,f_ldt_RT_ELP,f_ldt_Z_ELP,f_ldt_acc_ELP,f_name_RT_ELP,f_name_Z_ELP,f_name_acc_ELP,t_ldt_RT,t_ldt_Z,t_ldt_acc,t_name_RT,t_name_Z,t_name_acc,BEAGLE_RPs,BEAGLE_PMI,BEAGLEcosine,BEAGLEWIKININ,BEAGLEWIKICosine
first_assoc,abandon,DISOWN,,0,0,0,6,0.41,1.34,5.57,0,,6269,1253.8,VB,843.05,0.23,0.57,synonym,,0.053,,31,0.08,834.46875,0.877487496,0.90625,758.34375,0.197948172,0.9375,46.25,0.440731545,0,31.375,0.255110359,-0.0625,737.93,-0.14,0.96,575.2380952,0.627039739,1,534.2692308,0.032349317,1,32.36190476,-0.01978906,0,47.48076923,0.116692666,0,7,8.1,2.62,8.232,0,,12222,2037,VB|NN,695.719,-0.312,0.97,5,abandonDISOWN,,,,,0.6196,843.05,0.23,0.57,737.93,-0.14,0.96,695.719,-0.312,0.97,623.963,-0.516,1,0.0281,0.1387,0.0071,NA,NA
first_assoc,ability,CAPABILITY,1.42,0.36,0.36,0.21,10,1.37,1.85,9.49,0,,12455,1383.89,NN,772.54,-0.11,0.93,synonym,,0.282,0.119,12,0.22,711.21875,0.180364232,1,643.8484848,-0.102459083,0.96969697,20.84375,0.075349835,0.0625,40.02248289,0.50788035,0.001955034,714.32,0.2,0.92,581.9655172,0.399550408,0.965517241,562.2352941,-0.006856094,1,94.80721003,0.004657852,-0.034482759,22.47058824,0.208055455,0,7,19.22,2.99,10.949,1,0,8681,1446.833,NN,619.677,-0.481,0.97,18,abilityCAPABILITY,0.006,0.0194,22,12,0.606663,772.54,-0.11,0.93,714.32,0.2,0.92,619.677,-0.481,0.97,580.393,-0.718,1,0.2335,0.4889,0.2861,26,0.7192
first_assoc,abnormal,NORMAL,,0.09,0.09,0.09,6,70.37,3.56,11.17,2,0,8880,1776,JJ|RB,638.53,-0.62,1,antonym,,0.34,0.281,15,0.7,708.2903226,0.476727365,0.967741935,744.75,0.490616175,0.9375,73.83467742,0.148191706,0.030241935,43.44354839,0.102399663,0.066532258,577.39,-0.8,1,562,0.078939793,1,580.4117647,0.569895811,1,-17.33333333,0.303834704,0,-40.91176471,-0.274538435,0,8,2.9,2.17,7.698,0,,9895,1413.571,JJ,684.909,-0.185,1,10,abnormalNORMAL,0.013,0.0224,13,15,0.473661,638.53,-0.62,1,577.39,-0.8,1,684.909,-0.185,1,673.385,-0.312,1,0.2184,3.087,0.3842,719,0.6028
first_assoc,above,BELOW,,0,0,0,5,28.04,3.16,11.41,0,,4747,1186.75,minor|NN,595.59,-0.64,0.97,antonym,,0.503,0.564,9,0.79,696.7419355,0.264470064,0.967741935,610.03125,-0.458474667,0.96875,-13.74193548,-0.366977078,-0.032258065,-14.375,0.081029065,0,602.57,-0.56,1,591.2,0.007425294,1,461.44,-0.575966401,1,-34.93529412,-0.207887705,0,43.41294118,0.346379701,0,5,48.88,3.4,12.089,1,0,4212,1053,minor|JJ|NN,564.333,-0.855,0.94,15,aboveBELOW,0,0.0006,9,9,0.337824,595.59,-0.64,0.97,602.57,-0.56,1,564.333,-0.855,0.94,561.393,-0.717,1,0.5649,0.7796,NA,NA,NA
first_assoc,abuse,USE,3.31,0,0,0,3,343.84,4.24,13.43,0,,3497,1748.5,VB,576.71,-0.74,0.94,fpa,,0.192,0.015,22,0.2,690.9354839,-0.017903837,0.967741935,637,-0.153709152,0.96875,29.15826613,0.496497093,-0.032258065,-16.58064516,0.069581419,-0.03125,618.35,-0.54,1,581.375,0.286827169,0.958333333,497.7142857,-0.207277952,1,29.375,0.196302808,-0.041666667,112.6057143,0.214622581,0,5,10.25,2.72,10.163,2,0,5023,1255.75,VB,608.688,-0.703,0.97,12,abuseUSE,0.001,0,15,22,0.79224,576.71,-0.74,0.94,618.35,-0.54,1,608.688,-0.703,0.97,581.2,-0.691,1,0.1787,0.1022,NA,NA,NA
first_assoc,accept,REJECT,4.81,0,0,0,6,4.24,2.34,8.92,1,0,7170,1434,VB,625.9,-0.62,0.94,antonym,,0.169,0.107,18,0.6,654.3225806,-0.229563491,0.935483871,588.2121212,-0.361933785,1,-12.13508065,0.241013309,-0.033266129,160.969697,0.652654724,0,648.7,-0.31,1,558.2058824,0.218538347,1,536.3333333,0.132507861,1,-27.0987395,-0.323629211,0.035714286,-30.06410256,-0.419737376,0.038461538,6,52.78,3.43,10.808,1,0,4357,871.4,VB,556.394,-0.86,0.97,17,acceptREJECT,0.004,0.0102,18,18,0.376721,625.9,-0.62,0.94,648.7,-0.31,1,556.394,-0.86,0.97,628.077,-0.422,1,0.2861,0.8563,0.3261,2,0.745
first_assoc,account,CHECKING,,0.41,0.41,0.38,8,32.47,3.22,9.71,0,,16750,2392.86,VB|NN,638.71,-0.54,1,fpa,,0.44,0.035,10,0.42,640.40625,-0.063253033,0.9375,692.5806452,-0.290119332,0.967741935,14.46875,-0.044368667,-0.0625,80.98185484,0.351559196,0.030241935,630.89,-0.44,1,550,-0.004641112,0.96969697,499.25,-0.187149138,1,-34.42857143,-0.040009812,-0.03030303,46.85526316,0.264402066,0,7,44.71,3.36,11.018,0,,10710,1785,NN|VB,619.382,-0.679,1,7,accountCHECKING,0,0.0405,14,10,0.730179,638.71,-0.54,1,630.89,-0.44,1,619.382,-0.679,1,605.893,-0.569,0.966,0.2946,0.5954,0.6291,4,0.5297
first_assoc,accuse,BLAME,2.24,0.06,0.06,0.04,5,58.78,3.48,9.76,5,1,5885,1471.25,VB|NN,546.31,-0.83,1,synonym,,0.185,0.159,22,0.22,695.9677419,0.02619214,0.903225806,699.34375,0.192053968,0.96875,35.48387097,0.21325518,0,39.34375,0.123460202,0.03125,576.12,-0.61,0.96,560.8518519,0.161644195,1,549.6923077,0.166452403,1,59.57671958,0.737651618,0.047619048,-33.34230769,-0.079490994,0,6,5.69,2.46,8.242,0,,5844,1168.8,VB,626.364,-0.522,1,7,accuseBLAME,0.002,0.0038,20,22,0.486718,546.31,-0.83,1,576.12,-0.61,0.96,626.364,-0.522,1,635.115,-0.446,0.963,0.0964,0.5465,0.1307,6416,0.5342
first_assoc,ache,STOMACH,13.86,0,0,0,7,33.82,3.24,8.95,0,,10809,1801.5,NN|VB,584.1,-0.66,0.91,fpa,,0.284,0,17,0.19,627.25,0.155524558,0.90625,839.9375,0.310188973,0.9375,55.5,0.230384183,0.125,-103.25,-0.259852371,-0.0625,670.96,-0.22,1,503.4444444,-0.301039177,0.972222222,569.3255814,0.193555898,1,65.01984127,0.498273821,-0.027777778,-63.0055814,-0.155753204,0,4,2.49,2.11,6.741,3,2,4730,1576.667,VB|NN,631.655,-0.496,0.91,15,acheSTOMACH,,,,,0.54828,584.1,-0.66,0.91,670.96,-0.22,1,631.655,-0.496,0.91,663.5,-0.422,1,0.1387,16.3273,0.1604,2621,0.4351
first_assoc,achieve,GOAL,,0.14,0.14,0.13,4,16.75,2.93,10.17,4,0,3845,1281.67,NN,544.28,-0.79,0.97,script,,0.174,0.22,21,0.65,621.8181818,-0.205432478,0.96969697,784.6875,0.356544547,1,88.66568915,0.643929898,0.034213099,39.0625,-0.109786252,0.0625,631.32,-0.55,1,618.1388889,0.187426118,1,494.5714286,0.032414407,1,-59.44444444,-0.173844349,0,20.00357143,-0.147986579,0,7,7.33,2.57,9.65,0,,7701,1283.5,VB,702.82,-0.49,0.97,13,achieveGOAL,0.012,0.0043,17,21,0.570644,544.28,-0.79,0.97,631.32,-0.55,1,702.82,-0.49,0.97,651.17,-0.3,1,0.1373,1.103,0.5163,4,0.6019
